DateTime,AddedIPs,RemovedIPs
1514355626,173,179
1514360426,134,162
1514364627,160,182
1514369427,149,125
1514375427,176,161
1514380228,139,150
1514386227,162,170
1514391626,159,197
1514396428,183,185
1514401827,142,145
1514407227,169,178
1514412627,194,129
1514418027,185,161
1514424026,152,185
1514428826,199,185
1514434827,201,214
1514440227,176,173
1514445627,168,202
1514450428,148,142
1514456427,222,195
1514461828,144,125
1514467827,198,231
1514472627,131,170
1514477427,145,122
1514481028,137,105
1514485227,166,156
1514490027,158,128
1514495428,193,179
1514500829,165,159
1514506827,155,185
1514512226,155,167
1514517627,166,176
1514522427,154,165
1514528426,173,226
1514533827,173,168
1514539306,157,162
1514544027,154,148
1514550027,187,190
1514555428,158,155
1514560827,181,185
1514566227,159,153
1514571627,175,176
1514577027,229,176
1514581826,139,156
1514587228,166,191
1514593827,185,200
1514598630,162,146
1514604027,183,180
1514610027,186,218
1514614226,108,142
1514620227,184,215
1514625026,158,154
1514629834,146,153
1514634027,103,93
1514639427,190,157
1514645426,129,137
1514650229,143,138
1514653824,104,92
1514657427,120,85
1514661025,121,98
1514667027,170,188
1514671827,159,159
1514677228,140,141
1514682626,184,176
1514688027,147,167
1514694027,154,187
1514698826,138,135
1514704826,208,170
1514709626,159,173
1514715627,203,188
1514721628,191,190
1514726426,132,138
1514731227,181,201
1514737229,143,126
1514742027,169,149
1514747428,165,156
1514753428,190,169
1514758832,183,184
1514764227,129,165
1514769027,156,162
1514775027,210,180
1514780427,118,131
1514785827,159,189
1514790027,132,104
1514794230,144,108
1514797824,128,102
1514801428,120,112
1514806827,184,206
1514812827,162,187
1514818227,151,129
1514823027,168,146
1514829027,198,202
1514834428,157,169
1514839228,140,149
1514844627,175,186
1514850627,234,148
1514856027,172,176
1514866827,336,298
1514871627,178,180
1514877170,131,125
1514883628,214,167
1514888427,141,137
1514893828,134,170
1514899229,187,183
1514904027,176,210
1514910028,126,139
1514914828,132,104
1514918425,116,129
1514923828,154,159
1514929227,125,117
1514935227,144,165
1514940626,148,235
1514946027,105,179
1514951427,161,171
1514956227,114,122
1514961627,145,159
1514965224,98,100
1514970627,156,134
1514976028,137,147
1514981427,176,178
1514986827,132,126
1514992227,188,179
1514997627,171,112
1515003027,157,136
1515006625,120,118
1515012027,161,144
1515018028,158,168
1515022827,153,166
1515028827,146,157
1515034227,149,165
1515039027,100,135
1515044427,158,196
1515049872,109,98
1515055227,179,149
1515061227,173,164
1515066031,150,156
1515072027,153,170
1515076828,149,203
1515082227,194,157
1515087627,119,114
1515091224,95,125
1515096627,171,160
1515100225,129,122
1515104427,94,104
1515109229,119,142
1515114627,162,144
1515119426,120,117
1515123626,103,147
1515129026,149,153
1515134427,144,160
1515140427,179,158
1515144627,144,136
1515152424,233,205
1515158427,173,198
1515163827,169,196
1515168627,162,146
1515174027,127,121
1515179430,209,171
1515183025,116,121
1515186628,107,80
1515190224,96,94
1515193827,107,109
1515199227,131,157
1515204630,169,180
1515209429,123,112
1515213629,120,124
1515219026,143,156
1515224427,130,174
1515229827,111,129
1515235227,175,157
1515241227,167,167
1515246027,184,182
1515251427,124,129
1515256827,151,133
1515260425,96,100
1515265227,150,154
1515268825,120,92
1515273029,87,95
1515279027,148,160
1515283228,127,114
1515287427,87,85
1515293426,139,135
1515298227,140,166
1515301824,116,108
1515306627,130,104
1515310827,92,107
1515314424,89,83
1515318027,126,109
1515321630,119,109
1515327026,147,168
1515332427,156,164
1515338426,118,152
1515343227,162,159
1515346825,94,84
1515350427,108,89
1515354025,96,85
1515357627,100,86
1515361224,101,99
1515364227,92,109
1515372024,199,198
1515376227,111,129
1515381626,129,162
1515386438,143,158
1515391826,136,132
1515397227,161,161
1515401426,122,148
1515405627,131,129
1515409224,105,112
1515412827,79,82
1515416424,87,98
1515420026,117,115
1515423624,86,111
1515427226,86,99
1515430825,110,65
1515435028,119,89
1515439826,122,130
1515443425,97,96
1515447026,94,80
1515454225,176,219
1515461425,191,173
1515465027,124,127
1515468624,85,88
1515472226,87,84
1515475824,111,95
1515479427,145,124
1515483627,151,127
1515487225,104,109
1515490827,81,110
1515496227,130,157
1515499825,114,103
1515503427,88,112
1515509427,129,143
1515514228,135,119
1515519627,151,131
1515522624,81,91
1515526826,143,98
1515530430,103,91
1515535228,163,122
1515543024,195,204
1515546627,127,113
1515552026,167,175
1515558027,214,190
1515563427,172,208
1515568827,132,179
1515573627,126,155
1515578427,202,168
1515583227,107,99
1515588627,162,179
1515594027,106,130
1515598827,104,154
1515604227,163,131
1515607824,127,76
1515612628,162,147
1515619824,214,196
1515624027,133,141
1515629427,160,145
1515633024,121,117
1515638426,156,173
1515643826,167,217
1515649226,123,124
1515654028,191,153
1515657625,114,85
1515661828,145,127
1515667828,156,134
1515672628,184,180
1515678029,132,154
1515683429,153,192
1515688230,134,124
