DateTime,Entries,UniqueIPs
1514355626,1261,1261
1514360426,1233,1233
1514364627,1211,1211
1514369427,1235,1235
1514375427,1250,1250
1514380228,1239,1239
1514386227,1231,1231
1514391626,1193,1193
1514396428,1191,1191
1514401827,1188,1188
1514407227,1179,1179
1514412627,1244,1244
1514418027,1268,1268
1514424026,1235,1235
1514428826,1249,1249
1514434827,1236,1236
1514440227,1239,1239
1514445627,1205,1205
1514450428,1211,1211
1514456427,1238,1238
1514461828,1257,1257
1514467827,1224,1224
1514472627,1185,1185
1514477427,1208,1208
1514481028,1240,1240
1514485227,1250,1250
1514490027,1280,1280
1514495428,1294,1294
1514500829,1300,1300
1514506827,1270,1270
1514512226,1258,1258
1514517627,1248,1248
1514522427,1237,1237
1514528426,1184,1184
1514533827,1189,1189
1514539306,1184,1184
1514544027,1190,1190
1514550027,1187,1187
1514555428,1190,1190
1514560827,1186,1186
1514566227,1192,1192
1514571627,1191,1191
1514577027,1244,1244
1514581826,1227,1227
1514587228,1202,1202
1514593827,1187,1187
1514598630,1203,1203
1514604027,1206,1206
1514610027,1174,1174
1514614226,1140,1140
1514620227,1109,1109
1514625026,1113,1113
1514629834,1106,1106
1514634027,1116,1116
1514639427,1149,1149
1514645426,1141,1141
1514650229,1146,1146
1514653824,1158,1158
1514657427,1193,1193
1514661025,1216,1216
1514667027,1198,1198
1514671827,1198,1198
1514677228,1197,1197
1514682626,1205,1205
1514688027,1185,1185
1514694027,1152,1152
1514698826,1155,1155
1514704826,1193,1193
1514709626,1179,1179
1514715627,1194,1194
1514721628,1195,1195
1514726426,1189,1189
1514731227,1169,1169
1514737229,1186,1186
1514742027,1206,1206
1514747428,1215,1215
1514753428,1236,1236
1514758832,1235,1235
1514764227,1199,1199
1514769027,1193,1193
1514775027,1223,1223
1514780427,1210,1210
1514785827,1180,1180
1514790027,1208,1208
1514794230,1244,1244
1514797824,1270,1270
1514801428,1278,1278
1514806827,1256,1256
1514812827,1231,1231
1514818227,1253,1253
1514823027,1275,1275
1514829027,1271,1271
1514834428,1259,1259
1514839228,1250,1250
1514844627,1239,1239
1514850627,1325,1325
1514856027,1321,1321
1514866827,1359,1359
1514871627,1357,1357
1514877170,1363,1363
1514883628,1410,1410
1514888427,1414,1414
1514893828,1378,1378
1514899229,1382,1382
1514904027,1348,1348
1514910028,1335,1335
1514914828,1363,1363
1514918425,1350,1350
1514923828,1345,1345
1514929227,1353,1353
1514935227,1332,1332
1514940626,1245,1245
1514946027,1171,1171
1514951427,1161,1161
1514956227,1153,1153
1514961627,1139,1139
1514965224,1137,1137
1514970627,1159,1159
1514976028,1149,1149
1514981427,1147,1147
1514986827,1153,1153
1514992227,1162,1162
1514997627,1221,1221
1515003027,1242,1242
1515006625,1244,1244
1515012027,1261,1261
1515018028,1251,1251
1515022827,1238,1238
1515028827,1227,1227
1515034227,1211,1211
1515039027,1176,1176
1515044427,1138,1138
1515049872,1149,1149
1515055227,1179,1179
1515061227,1188,1188
1515066031,1182,1182
1515072027,1165,1165
1515076828,1111,1111
1515082227,1148,1148
1515087627,1153,1153
1515091224,1123,1123
1515096627,1134,1134
1515100225,1141,1141
1515104427,1131,1131
1515109229,1108,1108
1515114627,1126,1126
1515119426,1129,1129
1515123626,1085,1085
1515129026,1081,1081
1515134427,1065,1065
1515140427,1086,1086
1515144627,1094,1094
1515152424,1122,1122
1515158427,1097,1097
1515163827,1070,1070
1515168627,1086,1086
1515174027,1092,1092
1515179430,1130,1130
1515183025,1125,1125
1515186628,1152,1152
1515190224,1154,1154
1515193827,1152,1152
1515199227,1126,1126
1515204630,1115,1115
1515209429,1126,1126
1515213629,1122,1122
1515219026,1109,1109
1515224427,1065,1065
1515229827,1047,1047
1515235227,1065,1065
1515241227,1065,1065
1515246027,1067,1067
1515251427,1062,1062
1515256827,1080,1080
1515260425,1076,1076
1515265227,1072,1072
1515268825,1100,1100
1515273029,1092,1092
1515279027,1080,1080
1515283228,1093,1093
1515287427,1095,1095
1515293426,1099,1099
1515298227,1073,1073
1515301824,1081,1081
1515306627,1107,1107
1515310827,1092,1092
1515314424,1098,1098
1515318027,1115,1115
1515321630,1125,1125
1515327026,1104,1104
1515332427,1096,1096
1515338426,1062,1062
1515343227,1065,1065
1515346825,1075,1075
1515350427,1094,1094
1515354025,1105,1105
1515357627,1119,1119
1515361224,1121,1121
1515364227,1104,1104
1515372024,1105,1105
1515376227,1087,1087
1515381626,1054,1054
1515386438,1039,1039
1515391826,1043,1043
1515397227,1043,1043
1515401426,1017,1017
1515405627,1019,1019
1515409224,1012,1012
1515412827,1009,1009
1515416424,998,998
1515420026,1000,1000
1515423624,975,975
1515427226,962,962
1515430825,1007,1007
1515435028,1037,1037
1515439826,1029,1029
1515443425,1030,1030
1515447026,1044,1044
1515454225,1001,1001
1515461425,1019,1019
1515465027,1016,1016
1515468624,1013,1013
1515472226,1016,1016
1515475824,1032,1032
1515479427,1053,1053
1515483627,1077,1077
1515487225,1072,1072
1515490827,1043,1043
1515496227,1016,1016
1515499825,1027,1027
1515503427,1003,1003
1515509427,989,989
1515514228,1005,1005
1515519627,1025,1025
1515522624,1015,1015
1515526826,1060,1060
1515530430,1072,1072
1515535228,1113,1113
1515543024,1104,1104
1515546627,1118,1118
1515552026,1110,1110
1515558027,1134,1134
1515563427,1098,1098
1515568827,1051,1051
1515573627,1022,1022
1515578427,1056,1056
1515583227,1064,1064
1515588627,1047,1047
1515594027,1023,1023
1515598827,973,973
1515604227,1005,1005
1515607824,1056,1056
1515612628,1071,1071
1515619824,1089,1089
1515624027,1081,1081
1515629427,1096,1096
1515633024,1100,1100
1515638426,1083,1083
1515643826,1033,1033
1515649226,1032,1032
1515654028,1070,1070
1515657625,1099,1099
1515661828,1117,1117
1515667828,1139,1139
1515672628,1143,1143
1515678029,1121,1121
1515683429,1082,1082
1515688230,1092,1092
1515692429,1103,1103
1515697829,1159,1159
1515702630,1170,1170
1515706226,1160,1160
1515709829,1134,1134
1515714029,1115,1115
1515719430,1134,1134
1515724828,1133,1133
1515728425,1125,1125
1515733828,1149,1149
1515738028,1158,1158
1515743428,1106,1106
1515747629,1052,1052
1515754826,1095,1095
1515759029,1111,1111
1515764429,1081,1081
1515769828,1072,1072
1515774631,1087,1087
1515778225,1100,1100
1515785425,1157,1157
1515789628,1146,1146
1515793225,1147,1147
1515796828,1179,1179
1515802229,1369,1369
1515807630,1619,1619
1515813030,1703,1703
