DateTime,AddedIPs,RemovedIPs
1511035228,6,7
1511045427,1,9
1511057427,2,8
1511067627,5,5
1511079029,171,4
1511093429,21,4
1511107828,3,5
1511122228,3,4
1511132428,27,5
1511143226,6,0
1511154027,10,9
1511165428,7,1
1511179828,4,9
1511193629,10,10
1511206828,7,3
1511217028,4,2
1511227226,3,13
1511238626,4,3
1511249427,4,3
1511260228,2,5
1511271628,6,8
1511281828,2,4
1511292627,0,8
1511302827,3,7
1511313626,9,0
1511325026,3,8
1511335825,4,7
1511346628,2,12
1511357427,2,13
1511368228,3,7
1511379028,1,6
1511389227,2,5
1511400627,1,6
1511411426,1,7
1511422225,2,3
1511433028,2,8
1511443828,4,9
1511454628,8,4
1511464828,2,8
1511475627,1,6
1511487026,3,6
1511498426,3,0
1511508632,1,6
1511519429,0,11
1511530829,2,11
1511542829,1,7
1511553028,2,8
1511563828,3,3
1511574626,1,2
1511586026,1,11
1511596828,2,4
1511607029,1,5
1511620827,6,3
1511630427,6,5
1511641227,34,0
1511652026,5,3
1511663426,8,11
1511674225,7,8
1511684429,3,10
1511695829,6,20
1511707229,2,11
1511717428,2,11
1511728228,2,17
1511739028,3,24
1511749827,3,12
1511760627,2,15
1511771430,1,5
1511781628,4,5
1511793028,32,13
1511804428,11,10
1511815827,3,8
1511826627,3,2
1511838627,6,10
1511848826,12,12
1511859628,4,12
1511871028,7,12
1511883628,1,7
1511893828,2,6
1511904030,8,15
1511915429,1,0
1511926228,1,17
1511936428,0,4
1511947232,1,9
1511958030,1,13
1511969430,1,17
1511979624,3,8
1511991023,3,12
1512001823,15,8
1512012622,8,16
1512023421,10,9
1512034224,3,0
1512045028,4,23
1512055824,1,16
1512066624,5,10
1512076824,2,9
1512087624,7,0
1512099022,2,8
1512109221,8,6
1512120625,32,6
1512130825,12,8
1512142226,3,6
1512152424,3,7
1512163224,2,3
1512174024,1,13
1512185425,10,6
1512196223,3,3
1512205824,2,10
1512217224,4,9
1512228628,0,2
1512238829,1,8
1512249024,3,7
1512260423,5,7
1512270624,1,10
1512282023,69,10
1512292824,4,3
1512303624,4,8
1512315024,3,11
1512330622,1,9
1512341421,4,6
1512352221,4,4
1512363620,0,6
1512373820,51,6
1512385222,12,4
1512395421,11,3
1512406222,6,4
1512416421,5,5
1512427821,10,2
1512438620,2,3
1512450019,14,9
1512460219,4,5
1512471022,0,3
1512481822,3,0
1512492622,0,5
1512503422,2,6
1512513622,0,4
1512525021,11,6
1512536421,4,11
1512546619,29,4
1512558024,7,14
1512568838,2,10
1512584421,1,8
1512600621,2,20
1512611420,1,5
1512621620,3,8
1512633020,24,9
1512643222,11,10
1512654622,2,26
1512665423,2,18
1512675622,2,26
1512687022,2,32
1512697822,3,24
1512709220,8,20
1512720023,4,18
1512730222,2,0
1512741021,1,12
1512751827,2,27
1512762027,2,19
1512773423,2,27
1512784221,4,11
1512795020,1,11
1512805820,2,12
1512816623,1,23
1512827423,0,11
1512838224,2,0
1512848423,1,5
1512859226,4,9
1512870021,49,10
1512880821,4,30
1512891621,35,27
1512902422,13,24
1512913822,57,16
1512925224,17,14
1512935423,6,7
1512946221,9,0
1512957620,4,3
1512968421,1,28
1512978619,10,0
1512988825,22,17
1513000823,88,26
1513011024,8,16
1513022429,9,16
1513036223,11,7
1513047021,1,6
1513057820,46,19
1513068023,4,29
1513079425,8,28
1513090224,8,15
1513101024,5,14
1513111822,2,4
1513122623,1,15
1513133421,4,20
1513144821,16,0
1513155025,8,43
1513165823,3,34
1513177222,6,65
1513187421,3,31
1513198221,3,16
1513209021,1,15
1513220423,4,0
1513230622,3,29
1513241427,8,24
1513252222,1,23
1513263623,3,27
1513273822,3,11
1513285221,2,14
1513294821,341,23
1513302620,173,21
1513317023,71,0
1513330822,29,77
1513342226,16,20
1513356622,9,11
1513367421,5,10
1513378821,3,9
1513389621,37,36
1513400420,9,24
1513411222,12,0
1513422022,1,31
1513435222,5,28
1513445422,3,31
1513456221,1,20
1513467021,7,19
1513477220,21,16
1513488619,8,9
1513498822,2,22
1513509023,3,19
1513520423,4,0
1513531222,4,17
1513541421,0,23
1513552822,1,6
1513564221,3,15
1513574420,8,14
1513585222,13,8
1513596023,2,20
1513607422,8,11
1513617621,2,11
1513628422,3,7
1513639821,0,10
1513650021,5,10
1513661420,4,15
1513671623,0,96
1513682423,2,35
1513693224,2,0
1513704024,4,20
1513714823,2,11
1513725621,3,14
1513736421,32,19
1513747221,6,27
1513758023,4,32
1513769422,3,24
