DateTime,AddedIPs,RemovedIPs
1514317825,5,5
1514322624,2,3
1514329226,2,2
1514334027,6,4
1514338824,3,4
1514344825,1,5
1514349626,7,4
1514355624,2,2
1514360424,3,4
1514364624,1,4
1514369425,3,5
1514375424,2,3
1514380225,2,0
1514386225,5,2
1514391624,3,4
1514396426,3,4
1514401825,5,0
1514407225,1,6
1514412625,2,0
1514418025,2,5
1514424024,0,2
1514428824,6,7
1514434825,2,0
1514440225,1,3
1514445625,3,1
1514450425,2,3
1514456425,1,5
1514461825,6,8
1514467824,5,0
1514472625,2,2
1514477425,5,4
1514481026,4,0
1514485224,2,7
1514490025,2,0
1514495426,4,3
1514500826,2,3
1514506824,5,2
1514512224,3,3
1514517624,2,6
1514522425,2,0
1514528424,2,1
1514533824,2,6
1514539291,4,5
1514544025,5,0
1514550024,1,6
1514555425,4,7
1514560824,2,0
1514566224,3,2
1514571625,7,4
1514577025,3,6
1514581824,2,0
1514587225,2,2
1514593825,0,4
1514598625,3,11
1514604024,2,0
1514610025,5,1
1514614224,2,7
1514620224,3,0
1514625024,1,4
1514629831,2,1
1514634024,0,2
1514639424,2,6
1514645424,1,5
1514650227,2,4
1514653821,1,0
1514657425,2,4
1514661022,1,0
1514667025,0,3
1514671825,3,5
1514677225,3,5
1514682624,1,3
1514688025,2,3
1514694024,2,5
1514698824,1,3
1514704824,3,4
1514709624,2,3
1514715625,1,7
1514721625,4,3
1514726424,2,4
1514731225,2,6
1514737226,2,2
1514742025,3,3
1514747426,6,7
1514753425,0,5
1514758829,3,2
1514764225,4,5
1514769024,1,3
1514775025,4,2
1514780425,1,4
1514785824,3,2
1514790025,4,2
1514794227,2,4
1514797822,3,0
1514801425,4,4
1514806824,2,4
1514812825,4,4
1514818225,2,3
1514823025,1,5
1514829025,2,1
1514834425,2,5
1514839225,0,3
1514844625,0,5
1514850624,3,3
1514856024,1,1
1514861504,2,2
1514866824,1,4
1514871624,9,5
1514877167,1,3
1514883625,5,3
1514888425,0,3
1514893825,4,4
1514899226,3,4
1514904025,4,0
1514910025,7,1
1514914825,2,1
1514918423,3,0
1514923825,4,7
1514929225,1,0
1514935225,0,4
1514940624,3,4
1514946024,4,5
1514951425,3,4
1514956225,3,4
1514961625,2,0
1514965221,1,0
1514970625,4,3
1514976025,4,6
1514981424,1,4
1514986825,1,4
1514992225,6,1
1514997624,1,5
1515003025,1,8
1515006623,1,3
1515012024,3,4
1515018025,1,4
1515022824,2,3
1515028825,1,4
1515034224,1,3
1515039024,2,1
1515044424,4,4
1515049851,1,3
1515055224,3,1
1515061224,2,0
1515066028,2,4
1515072024,3,3
1515076826,2,1
1515082224,7,3
1515087625,1,5
1515091222,3,0
1515096625,4,9
1515100222,1,0
1515104425,3,6
1515109227,2,0
1515114624,2,3
1515119424,1,5
1515123624,0,3
1515129024,3,3
1515134425,5,2
1515140424,2,6
1515144625,4,4
1515152422,6,6
1515158425,0,2
1515163824,2,2
1515168624,0,2
1515174025,2,2
1515179428,3,6
1515186625,4,1
1515190222,7,0
1515193825,7,7
1515199224,1,3
1515204628,1,2
1515209427,2,5
1515213626,2,0
1515219024,3,4
1515224425,5,4
1515229824,1,0
1515235225,1,15
1515241225,3,0
1515246025,2,5
1515251425,3,0
1515256825,4,11
1515260422,2,0
1515265224,4,3
1515268822,4,0
1515273027,2,8
1515279025,4,0
1515283225,3,5
1515287425,3,0
1515293424,0,3
1515298225,1,5
1515301821,3,0
1515306624,2,6
1515310825,4,0
1515314422,5,4
1515318024,4,0
1515321627,4,5
1515327024,1,7
1515332425,3,4
1515338424,1,2
