DateTime,AddedIPs,RemovedIPs
1514360424,22,25
1514364624,23,22
1514369425,22,23
1514375424,23,22
1514380225,26,24
1514386225,26,27
1514391624,23,26
1514396426,25,22
1514401825,22,23
1514407225,22,23
1514412625,20,21
1514418025,24,22
1514424024,21,24
1514428824,24,22
1514434825,24,24
1514440225,19,21
1514445625,23,20
1514450425,22,23
1514456425,23,22
1514461825,23,23
1514467824,23,23
1514472625,22,24
1514477425,25,21
1514481026,23,26
1514485224,25,24
1514490025,25,25
1514495426,22,24
1514500826,23,22
1514506824,24,24
1514512224,25,24
1514517624,23,23
1514522425,25,24
1514528424,24,25
1514533824,22,24
1514539291,22,21
1514544025,22,22
1514550024,18,22
1514555425,24,18
1514560824,20,23
1514566224,22,20
1514571625,22,22
1514577025,22,23
1514581824,21,22
1514587225,22,21
1514593825,19,20
1514598625,23,20
1514604024,24,24
1514610025,24,25
1514614224,21,23
1514620224,24,22
1514625024,24,24
1514629831,24,24
1514634024,23,23
1514639424,23,23
1514645424,23,23
1514650227,21,22
1514653821,22,21
1514657425,22,21
1514661022,22,24
1514667025,21,22
1514671825,22,21
1514677225,24,23
1514682624,20,23
1514688025,18,18
1514694024,22,20
1514698824,24,22
1514704824,22,24
1514709624,25,23
1514715625,24,25
1514721625,22,23
1514726424,23,23
1514731225,24,23
1514737226,23,24
1514742025,22,23
1514747426,20,22
1514753425,22,20
1514758829,22,22
1514764225,21,19
1514769024,20,22
1514775025,23,22
1514780425,26,24
1514785824,24,24
1514790025,22,24
1514794227,23,24
1514797822,25,21
1514801425,25,27
1514806824,22,23
1514812825,22,22
1514818225,19,21
1514823025,25,21
1514829025,22,24
1514834425,25,23
1514839225,25,25
1514844625,21,24
1514850624,22,21
1514856024,24,23
1514861504,22,24
1514866824,20,22
1514871624,24,20
1514877167,22,23
1514883625,22,21
1514888425,23,23
1514893825,22,24
1514899226,23,22
1514904025,24,23
1514910025,26,24
1514914825,22,26
1514918423,22,22
1514923825,23,21
1514929225,23,24
1514935225,20,22
1514940624,23,21
1514946024,22,22
1514951425,20,20
1514956225,22,23
1514961625,22,21
1514965221,24,23
1514970625,24,25
1514976025,23,24
1514981424,23,21
1514986825,22,23
1514992225,22,22
1514997624,23,23
1515003025,24,22
1515006623,22,25
1515012024,22,21
1515018025,23,22
1515022824,23,24
1515028825,22,23
1515034224,20,22
1515039024,21,20
1515044424,22,19
1515049851,25,25
1515055224,24,24
1515061224,22,25
1515066028,26,21
1515072024,25,27
1515076826,26,25
1515082224,24,25
1515087625,23,23
1515091222,22,23
1515096625,25,22
1515100222,23,25
1515104425,23,22
1515109227,23,24
1515114624,19,22
1515119424,23,20
1515123624,18,23
1515129024,21,18
1515134425,22,21
1515140424,24,22
1515144625,24,25
1515152422,23,23
1515158425,20,21
1515163824,23,21
1515168624,21,23
1515174025,22,21
1515179428,20,22
1515183023,19,18
1515186625,24,23
1515190222,23,23
1515193825,22,24
1515199224,23,23
1515204628,23,23
1515209427,24,23
1515213626,23,21
1515219024,22,24
1515224425,24,22
1515229824,24,25
1515235225,23,25
1515241225,24,22
1515246025,20,23
1515251425,22,21
1515256825,23,21
1515260422,22,23
1515265224,23,22
1515268822,18,22
1515273027,20,17
1515279025,22,21
1515283225,24,23
1515287425,24,25
1515293424,23,24
1515298225,24,22
1515301821,22,23
1515306624,21,23
1515310825,23,21
1515314422,24,23
1515318024,23,24
1515321627,20,21
1515327024,24,23
1515332425,22,22
1515338424,22,23
1515343225,22,22
1515346823,23,21
1515350425,17,21
1515354023,23,20
1515357625,22,23
1515361222,25,23
1515364225,23,25
1515372021,19,21
1515376224,26,21
1515381624,23,26
1515386436,23,23
1515391824,24,24
1515397224,21,21
1515401424,19,22
1515405625,25,20
1515409222,22,24
1515412825,22,20
1515416422,21,23
1515420024,23,21
1515423622,23,25
1515427224,19,21
1515430823,22,21
1515435025,22,21
1515439824,22,22
1515443422,23,22
1515447024,23,22
1515454223,23,25
1515461422,25,23
1515465024,20,23
1515468622,20,20
1515472224,20,21
1515475822,23,19
1515479425,22,25
1515483625,23,22
1515487222,24,24
1515490825,25,23
1515496225,22,25
1515499823,23,23
1515503424,22,20
1515509425,23,24
1515514225,22,22
1515519625,26,24
1515522622,22,23
1515526824,24,25
1515530428,24,22
1515535226,21,24
1515543022,24,22
1515546625,23,24
1515552024,22,21
1515558025,23,23
1515563425,26,24
1515568825,21,24
1515573625,22,22
1515578425,21,22
1515583225,22,21
1515588625,21,21
1515594025,23,23
1515598825,24,21
1515604225,23,24
1515607822,23,23
1515612626,23,24
1515619822,22,22
1515624025,23,23
1515629424,23,24
1515633022,24,23
1515638424,22,23
1515643824,22,21
1515649224,25,25
1515654025,24,25
1515657623,23,22
1515661826,24,24
1515667826,24,25
1515672626,23,23
1515678027,26,24
1515683426,27,26
1515688227,24,27
1515692427,20,22
1515697826,26,22
1515702627,24,25
1515706224,24,25
1515709826,26,23
1515714027,24,26
1515719426,21,24
1515724826,23,22
1515728423,22,21
1515733826,22,23
1515738025,24,20
1515743426,18,25
1515747626,24,18
1515754824,23,24
1515759026,22,23
1515764426,22,23
1515769826,24,22
1515774628,20,24
1515778223,17,15
1515785423,20,18
1515789626,21,22
1515793223,23,22
1515796826,22,23
1515802226,24,21
1515807626,24,25
1515813026,22,24
1515818427,22,22
1515823826,21,22
1515829226,22,21
1515832823,24,22
1515838226,22,26
1515841823,20,19
1515847231,22,20
1515852628,23,22
1515857427,22,22
1515861024,22,22
1515868823,23,25
1515871827,22,23
1515875424,18,17
1515879027,22,21
1515883227,24,23
1515886824,20,23
1515892826,22,21
1515897625,20,22
1515903626,21,19
1515908425,23,22
1515912023,22,23
1515917425,26,24
1515922826,23,26
1515928226,22,22
1515931223,21,21
1515935426,24,22
1515939023,24,24
1515945025,23,24
1515949225,24,23
1515952823,21,23
1515956427,20,19
1515960024,21,22
1515963627,24,21
1515971424,21,21
1515975025,22,23
1515980425,23,23
1515985826,23,22
1515989423,22,23
1515994825,21,22
1515997823,24,23
1516001426,24,23
1516005023,21,23
1516009226,25,22
1516014025,26,26
1516018226,23,24
1516023626,24,24
1516029026,21,25
1516032023,25,22
1516035626,20,22
1516043423,22,19
1516046426,26,25
1516050626,23,26
1516055426,22,23
1516059024,22,22
1516063225,23,23
1516068625,23,20
1516073425,23,24
1516077626,21,22
1516083025,23,22
1516088426,22,22
1516093227,24,22
1516100424,21,23
1516108224,21,23
1516113026,24,22
1516116624,22,21
1516120226,19,24
1516123823,20,19
1516127426,24,20
1516131023,22,23
1516134627,20,22
1516138826,21,20
1516144226,25,22
1516147224,21,24
1516151426,21,19
1516155626,21,23
1516161027,22,21
1516167027,20,21
1516171826,23,21
1516177226,19,24
1516182632,21,18
1516187426,19,21
1516192856,21,21
1516198226,26,22
1516204226,22,24
1516209026,22,22
1516214426,23,23
1516219826,21,22
1516225227,19,20
1516228824,25,22
1516234826,25,25
1516240226,25,23
1516245026,19,25
1516251026,24,20
1516256425,23,24
1516261226,24,23
1516267226,24,24
1516272025,23,25
1516275623,19,20
1516281626,23,19
1516286425,23,25
1516291826,26,23
1516296025,23,24
1516300826,24,23
1516305626,22,26
1516309826,24,20
1516314626,26,27
1516318223,20,23
1516321827,22,22
1516326026,21,22
1516330826,21,19
1516335026,22,22
1516340426,22,22
1516344626,24,22
1516349426,21,24
1516354825,24,22
1516360226,21,22
1516365626,23,23
1516368625,19,20
1516372226,23,22
1516375823,19,19
1516380031,21,21
1516383623,22,21
1516387226,20,21
1516392626,23,21
1516397426,21,23
1516401626,19,21
1516406426,22,20
1516410625,24,21
1516414825,22,25
1516420225,24,21
1516425626,20,24
1516430425,24,21
1516435826,21,23
1516441226,21,21
1516444823,19,22
1516450226,22,19
1516455625,23,22
1516460426,21,23
1516464626,23,22
1516468224,23,23
1516471826,24,22
1516477227,23,25
1516482026,23,23
1516486225,19,22
1516491026,24,19
1516495225,25,25
1516500625,22,24
1516506026,24,23
1516511429,19,23
1516515023,23,19
1516520426,25,25
1516526426,26,25
1516531227,22,24
1516536625,22,23
1516542025,21,21
1516548026,21,23
1516552828,24,20
1516558227,23,24
1516561823,23,20
1516566626,16,22
1516570826,20,19
1516576226,26,21
1516581625,25,27
1516585224,21,22
1516591226,22,22
1516596025,24,24
1516601426,25,24
1516606826,26,25
1516611626,22,23
1516619423,20,23
1516624826,23,21
1516630226,23,23
1516635026,22,22
1516638623,21,21
1516642226,21,23
1516649423,20,20
1516653626,21,20
1516657223,26,22
1516662626,24,26
1516667426,25,25
1516671023,24,24
1516675228,23,25
1516680626,21,22
1516686026,25,22
1516690825,23,23
1516698023,17,21
1516701626,19,17
1516705223,25,21
1516708826,24,26
1516712423,25,24
1516716625,18,21
1516720223,21,20
1516723226,26,23
1516727425,18,22
1516732226,24,22
1516736426,23,22
1516741826,22,23
1516744823,22,22
1516752023,22,23
1516755626,19,20
1516759826,25,23
1516765826,23,25
1516770625,25,21
1516776625,22,25
1516782025,23,21
1516787426,25,26
