DateTime,Entries,UniqueIPs
1514360424,24,24
1514364624,25,25
1514369425,24,24
1514375424,25,25
1514380225,27,27
1514386225,26,26
1514391624,23,23
1514396426,26,26
1514401825,25,25
1514407225,24,24
1514412625,23,23
1514418025,25,25
1514424024,22,22
1514428824,24,24
1514434825,24,24
1514440225,22,22
1514445625,25,25
1514450425,24,24
1514456425,25,25
1514461825,25,25
1514467824,25,25
1514472625,23,23
1514477425,27,27
1514481026,24,24
1514485224,25,25
1514490025,25,25
1514495426,23,23
1514500826,24,24
1514506824,24,24
1514512224,25,25
1514517624,25,25
1514522425,26,26
1514528424,25,25
1514533824,23,23
1514539291,24,24
1514544025,24,24
1514550024,20,20
1514555425,26,26
1514560824,23,23
1514566224,25,25
1514571625,25,25
1514577025,24,24
1514581824,23,23
1514587225,24,24
1514593825,23,23
1514598625,26,26
1514604024,26,26
1514610025,25,25
1514614224,23,23
1514620224,25,25
1514625024,25,25
1514629831,25,25
1514634024,25,25
1514639424,25,25
1514645424,25,25
1514650227,24,24
1514653821,25,25
1514657425,26,26
1514661022,24,24
1514667025,23,23
1514671825,24,24
1514677225,25,25
1514682624,22,22
1514688025,22,22
1514694024,24,24
1514698824,26,26
1514704824,24,24
1514709624,26,26
1514715625,25,25
1514721625,24,24
1514726424,24,24
1514731225,25,25
1514737226,24,24
1514742025,23,23
1514747426,21,21
1514753425,23,23
1514758829,23,23
1514764225,25,25
1514769024,23,23
1514775025,24,24
1514780425,26,26
1514785824,26,26
1514790025,24,24
1514794227,23,23
1514797822,27,27
1514801425,25,25
1514806824,24,24
1514812825,24,24
1514818225,22,22
1514823025,26,26
1514829025,24,24
1514834425,26,26
1514839225,26,26
1514844625,23,23
1514850624,24,24
1514856024,25,25
1514861504,23,23
1514866824,21,21
1514871624,25,25
1514877167,24,24
1514883625,25,25
1514888425,25,25
1514893825,23,23
1514899226,24,24
1514904025,25,25
1514910025,27,27
1514914825,23,23
1514918423,23,23
1514923825,25,25
1514929225,24,24
1514935225,22,22
1514940624,24,24
1514946024,24,24
1514951425,24,24
1514956225,23,23
1514961625,24,24
1514965221,25,25
1514970625,24,24
1514976025,23,23
1514981424,25,25
1514986825,24,24
1514992225,24,24
1514997624,24,24
1515003025,26,26
1515006623,23,23
1515012024,24,24
1515018025,25,25
1515022824,24,24
1515028825,23,23
1515034224,21,21
1515039024,22,22
1515044424,25,25
1515049851,25,25
1515055224,25,25
1515061224,22,22
1515066028,27,27
1515072024,25,25
1515076826,26,26
1515082224,25,25
1515087625,25,25
1515091222,24,24
1515096625,27,27
1515100222,25,25
1515104425,26,26
1515109227,25,25
1515114624,22,22
1515119424,25,25
1515123624,20,20
1515129024,23,23
1515134425,24,24
1515140424,26,26
1515144625,25,25
1515152422,25,25
1515158425,24,24
1515163824,26,26
1515168624,24,24
1515174025,25,25
1515179428,23,23
1515183023,24,24
1515186625,25,25
1515190222,25,25
1515193825,23,23
1515199224,23,23
1515204628,23,23
1515209427,24,24
1515213626,26,26
1515219024,24,24
1515224425,26,26
1515229824,25,25
1515235225,23,23
1515241225,25,25
1515246025,22,22
1515251425,23,23
1515256825,25,25
1515260422,24,24
1515265224,25,25
1515268822,21,21
1515273027,24,24
