DateTime,AddedIPs,RemovedIPs
1516530728,4,3
1516531209,3,3
1516531685,2,1
1516532165,1,2
1516532649,1,2
1516533125,4,3
1516533604,3,0
1516534085,1,3
1516534567,2,3
1516535047,2,0
1516535525,1,2
1516536014,2,1
1516536490,1,2
1516536966,2,0
1516537924,0,3
1516538407,2,2
1516538888,3,1
1516539365,1,1
1516539848,1,4
1516540328,4,1
1516540806,1,2
1516541528,2,1
1516542004,1,1
1516542490,1,1
1516542965,1,0
1516543449,1,2
1516543924,2,2
1516544412,1,4
1516544888,4,0
1516545368,0,2
1516545847,2,2
1516546329,3,1
1516546816,0,1
1516547287,0,1
1516547765,2,0
1516548247,1,1
1516548724,0,4
1516549205,4,0
1516549685,1,1
1516550169,0,2
1516550650,1,1
1516551130,2,0
1516551605,1,3
1516552090,2,1
1516552565,1,3
1516553048,3,1
1516553524,1,3
1516554019,2,4
1516554485,5,0
1516554967,1,2
1516555443,1,3
1516555932,3,0
1516556404,1,5
1516556886,3,4
1516557365,5,1
1516557847,1,1
1516558326,1,3
1516558810,2,2
1516559287,3,1
1516559767,1,3
1516560248,3,2
1516560724,2,2
1516561214,2,1
1516561688,2,2
1516562170,2,1
1516562646,0,1
1516563124,1,3
1516563608,4,1
1516564087,0,2
1516564565,2,0
1516565047,1,1
1516565531,0,4
1516566005,4,2
1516566492,2,3
1516566964,3,2
1516567449,3,2
1516567925,1,1
1516568413,1,0
1516568886,1,3
1516569367,2,3
1516569845,3,0
1516570330,0,1
1516570804,1,1
1516571288,1,0
1516571765,0,2
1516572245,1,2
1516572725,3,1
1516573211,2,4
1516573687,3,1
1516574177,0,3
1516574659,4,0
1516575139,1,4
1516575619,3,1
1516576579,1,5
1516577056,6,2
1516578260,1,0
1516578736,1,1
1516579235,0,4
1516579694,3,1
1516580180,2,1
1516580644,1,0
1516581141,0,1
1516581604,1,0
1516582103,1,4
1516582564,3,3
1516583050,5,7
1516583537,11,11
1516584005,15,14
1516584488,11,16
1516584970,10,4
1516585445,13,20
1516585926,11,13
1516586408,30,20
1516586888,8,13
1516587375,8,6
1516587848,4,2
1516588325,2,2
1516588808,1,2
1516589289,1,0
1516589780,2,2
1516590245,2,1
1516590730,1,2
1516591207,1,4
1516591685,4,1
1516592166,1,0
1516592659,0,1
1516593124,1,4
1516593615,4,0
1516594084,0,1
1516594567,1,0
1516595045,1,1
1516595539,0,1
1516596004,1,2
1516596488,2,3
1516596969,3,0
1516597447,1,2
1516597929,1,1
1516598408,1,0
1516599365,1,1
1516599848,1,2
1516600328,1,2
1516600808,2,0
1516601287,0,1
1516601772,1,4
1516602257,4,1
1516602731,1,1
1516603205,2,1
1516603686,0,2
1516604168,1,2
1516604645,3,1
1516605131,2,1
1516605605,0,3
1516606099,3,0
1516606566,0,1
1516607050,1,1
1516607525,2,3
1516608019,3,1
1516608486,0,3
1516608968,2,3
1516609445,4,4
1516609932,2,5
1516610404,7,0
1516610890,1,3
1516611369,2,2
1516611848,2,1
1516612328,2,1
1516612806,0,1
1516613289,1,1
1516613771,1,0
1516614489,0,2
1516614965,2,3
1516615446,2,3
1516615929,4,2
1516616404,3,1
1516616889,0,3
1516617364,3,2
1516617851,2,2
1516618324,2,5
1516618817,4,0
1516619527,1,2
1516620013,2,1
1516620489,1,1
1516620965,1,0
1516621448,1,1
1516621928,0,4
1516622415,3,1
1516622886,3,1
1516623370,1,2
1516623856,1,2
1516624328,3,4
1516624806,3,1
1516625287,1,2
1516625770,2,0
1516626247,1,1
1516626725,0,3
1516627205,1,5
1516627692,6,1
1516628167,3,1
1516628645,1,2
1516629130,1,0
1516629616,0,1
1516630089,1,0
1516630566,1,4
1516631046,3,0
1516632010,0,1
1516632490,1,2
1516632965,2,3
1516633450,3,0
1516633924,0,2
1516634408,2,2
1516634886,1,3
1516635371,3,0
1516635846,0,1
1516636328,1,0
1516636811,1,0
1516637292,0,2
1516637765,1,3
1516638489,3,2
1516638965,3,0
1516639451,1,3
1516639924,2,2
1516640408,1,2
1516640887,3,0
1516641371,0,1
1516642329,1,3
1516642805,4,2
1516643290,2,3
1516643765,3,1
1516644251,0,2
1516644728,2,1
1516645206,1,1
1516645689,1,2
