DateTime,Entries,UniqueIPs
1516530728,5171,5171
1516531209,5171,5171
1516531685,5172,5172
1516532165,5171,5171
1516532649,5170,5170
1516533125,5171,5171
1516533604,5174,5174
1516534085,5172,5172
1516534567,5171,5171
1516535047,5173,5173
1516535525,5172,5172
1516536014,5173,5173
1516536490,5172,5172
1516536966,5174,5174
1516537924,5171,5171
1516538407,5171,5171
1516538888,5173,5173
1516539365,5173,5173
1516539848,5170,5170
1516540328,5173,5173
1516540806,5172,5172
1516541528,5173,5173
1516542004,5173,5173
1516542490,5173,5173
1516542965,5174,5174
1516543449,5173,5173
1516543924,5173,5173
1516544412,5170,5170
1516544888,5174,5174
1516545368,5172,5172
1516545847,5172,5172
1516546329,5174,5174
1516546816,5173,5173
1516547287,5172,5172
1516547765,5174,5174
1516548247,5174,5174
1516548724,5170,5170
1516549205,5174,5174
1516549685,5174,5174
1516550169,5172,5172
1516550650,5172,5172
1516551130,5174,5174
1516551605,5172,5172
1516552090,5173,5173
1516552565,5171,5171
1516553048,5173,5173
1516553524,5171,5171
1516554019,5169,5169
1516554485,5174,5174
1516554967,5173,5173
1516555443,5171,5171
1516555932,5174,5174
1516556404,5170,5170
1516556886,5169,5169
1516557365,5173,5173
1516557847,5173,5173
1516558326,5171,5171
1516558810,5171,5171
1516559287,5173,5173
1516559767,5171,5171
1516560248,5172,5172
1516560724,5172,5172
1516561214,5173,5173
1516561688,5173,5173
1516562170,5174,5174
1516562646,5173,5173
1516563124,5171,5171
1516563608,5174,5174
1516564087,5172,5172
1516564565,5174,5174
1516565047,5174,5174
1516565531,5170,5170
1516566005,5172,5172
1516566492,5171,5171
1516566964,5172,5172
1516567449,5173,5173
1516567925,5173,5173
1516568413,5174,5174
1516568886,5172,5172
1516569367,5171,5171
1516569845,5174,5174
1516570330,5173,5173
1516570804,5173,5173
1516571288,5174,5174
1516571765,5172,5172
1516572245,5171,5171
1516572725,5173,5173
1516573211,5171,5171
1516573687,5173,5173
1516574177,5170,5170
1516574659,5174,5174
1516575139,5171,5171
1516575619,5173,5173
1516576579,5169,5169
1516577056,5173,5173
1516578260,5174,5174
1516578736,5174,5174
1516579235,5170,5170
1516579694,5172,5172
1516580180,5173,5173
1516580644,5174,5174
1516581141,5173,5173
1516581604,5174,5174
1516582103,5171,5171
1516582564,5171,5171
1516583050,5169,5169
1516583537,5169,5169
1516584005,5170,5170
1516584488,5165,5165
1516584970,5171,5171
1516585445,5164,5164
1516585926,5162,5162
1516586408,5172,5172
1516586888,5167,5167
1516587375,5169,5169
1516587848,5171,5171
1516588325,5171,5171
1516588808,5170,5170
1516589289,5171,5171
1516589780,5171,5171
1516590245,5172,5172
1516590730,5171,5171
1516591207,5168,5168
1516591685,5171,5171
1516592166,5172,5172
1516592659,5171,5171
1516593124,5168,5168
1516593615,5172,5172
1516594084,5171,5171
1516594567,5172,5172
1516595045,5172,5172
1516595539,5171,5171
1516596004,5170,5170
1516596488,5169,5169
1516596969,5172,5172
1516597447,5171,5171
1516597929,5171,5171
1516598408,5172,5172
1516599365,5172,5172
1516599848,5171,5171
1516600328,5170,5170
1516600808,5172,5172
1516601287,5171,5171
1516601772,5168,5168
1516602257,5171,5171
1516602731,5171,5171
1516603205,5172,5172
1516603686,5170,5170
1516604168,5169,5169
1516604645,5171,5171
1516605131,5172,5172
1516605605,5169,5169
1516606099,5172,5172
1516606566,5171,5171
1516607050,5171,5171
1516607525,5170,5170
1516608019,5172,5172
1516608486,5169,5169
1516608968,5168,5168
1516609445,5168,5168
1516609932,5165,5165
1516610404,5172,5172
1516610890,5170,5170
1516611369,5170,5170
1516611848,5171,5171
1516612328,5172,5172
1516612806,5171,5171
1516613289,5171,5171
1516613771,5172,5172
1516614489,5170,5170
1516614965,5169,5169
1516615446,5168,5168
1516615929,5170,5170
1516616404,5172,5172
1516616889,5169,5169
1516617364,5170,5170
1516617851,5170,5170
1516618324,5167,5167
1516618817,5171,5171
1516619527,5170,5170
1516620013,5171,5171
1516620489,5171,5171
1516620965,5172,5172
1516621448,5172,5172
1516621928,5168,5168
1516622415,5170,5170
1516622886,5172,5172
1516623370,5171,5171
1516623856,5170,5170
1516624328,5169,5169
1516624806,5171,5171
1516625287,5170,5170
1516625770,5172,5172
1516626247,5172,5172
1516626725,5169,5169
1516627205,5165,5165
1516627692,5170,5170
1516628167,5172,5172
