DateTime,AddedIPs,RemovedIPs
1495196607,93,0
1495236846,88,79
1495282305,76,91
1495323538,96,88
1495368092,84,82
1495410074,89,182
1495453911,91,96
1495495298,85,0
1495535165,55,87
1495575334,61,79
1495621744,64,127
1495661606,78,64
1495707933,59,0
1495754333,105,130
1495795093,70,98
1495840928,119,0
1495886786,96,183
1495928319,120,114
1495973240,93,119
1496015327,114,92
1496061237,83,98
1496100530,113,101
1496146250,79,0
1496185268,98,84
1496229854,58,95
1496272783,110,161
1496318878,91,100
1496359982,104,0
1496406050,89,189
1496447873,118,107
1496492903,91,110
1496532999,113,104
1496579267,89,0
1496619770,105,92
1496665322,98,91
1496705748,105,98
1496752615,79,214
1496791915,103,91
1496838429,103,0
1496879202,84,90
1496924145,92,88
1496965412,86,82
1497010671,74,194
1497050618,112,0
1497097717,83,192
1497137878,95,93
1497183901,82,0
1497223871,101,86
1497270800,81,180
1497310617,99,80
1497356798,80,0
1497396899,90,183
1497443561,85,98
1497482936,109,82
1497528269,73,0
1497568058,93,103
1497616635,61,170
1497654596,108,0
1497701707,68,67
1497741667,112,175
1497787602,90,0
1497828126,106,101
1497873555,75,207
1497914438,114,0
1497960576,75,185
1497995244,80,0
1498040038,58,85
1498086140,103,126
1498127628,71,112
1498166073,75,0
1498212525,66,150
1498255078,100,67
1498300195,61,100
1498338402,101,0
1498385559,70,53
1498430284,110,170
1498477781,128,110
1498511899,106,0
1498558647,70,127
1498598384,74,104
1498644304,74,69
1498684461,80,74
1498730536,51,73
1498771188,83,83
1498817476,60,50
1498857486,93,148
1498904776,55,99
1498943881,73,53
1498990723,55,0
1499031020,73,75
1499076882,47,49
1499117734,74,69
1499163398,54,127
1499204305,72,61
1499250134,55,72
1499290813,95,55
1499344338,101,86
1499385044,102,94
1499424780,47,0
1499469047,80,100
1499512170,48,140
1499556862,93,51
1499598152,47,0
1499638390,58,84
1499688274,77,115
1499730159,91,76
1499770852,59,91
1499815322,98,59
1499861699,84,88
1499896704,49,0
1499947388,76,146
1499988300,121,71
1500029290,49,0
1500075716,93,167
1500121410,103,92
1500157223,66,0
1500207263,65,91
1500248155,69,140
1500294728,71,74
1500328804,72,0
1500381120,67,69
1500420755,75,142
1500460863,43,0
1500507777,72,118
1500548305,41,79
1500593018,75,0
1500639400,41,111
1500678820,75,43
1500721238,64,0
1500765329,97,67
1500809176,38,158
1500851250,79,0
1500895033,32,45
1500937368,50,109
1500982996,47,0
1501023325,68,56
1501069265,45,42
1501110519,33,114
1501155050,34,38
1501196543,49,0
1501241891,32,32
1501281088,37,85
1501327524,43,0
1501368466,42,37
1501414146,42,81
1501454667,55,42
1501500731,42,0
1501541233,41,49
1501586496,31,87
1501627874,47,0
1501674232,33,80
1501714384,31,38
1501759898,18,0
1501801122,50,29
1501846379,57,16
1501887457,49,48
1501932584,41,106
1501972721,41,0
1502019418,38,87
1502059774,44,40
1502104926,47,0
1502146275,39,42
1502191872,33,82
1502230691,37,39
1502277761,61,37
1502318309,65,0
1502364693,63,51
1502405217,44,127
1502451041,38,0
1502492061,58,46
1502536692,39,102
1502578040,63,0
1502622250,36,34
1502664062,41,103
1502709522,43,0
1502747246,33,38
1502796023,27,84
1502836995,59,24
1502884035,120,54
1502925223,83,100
1502968507,55,0
1503011814,70,147
1503058653,26,80
1503096386,85,0
1503141571,48,30
1503184933,83,131
1503230381,81,82
1503271758,107,0
1503313944,76,166
1503357384,112,97
1503400380,88,0
1503441339,93,89
1503486055,76,88
1503527937,85,178
1503574621,69,93
1503613153,55,73
1503661617,79,0
1503702263,100,129
1503750926,69,86
1503789151,98,80
1503834396,83,0
1503871822,65,91
1503921337,90,153
1503960596,67,89
1504006844,77,0
1504044769,81,71
1504094784,94,155
1504131132,65,93
1504178631,84,0
1504218334,80,150
1504267668,91,92
1504308092,112,82
1504350924,73,0
1504391198,92,93
1504439288,96,175
1504476553,81,0
1504525662,96,88
1504566385,94,180
1504609169,84,0
1504649917,100,85
1504696037,69,187
1504736934,91,84
1504784747,118,101
1504822984,105,0
1504869498,95,98
1504909434,86,200
1504957596,111,104
1504973956,26,0
1505044755,111,133
1505060691,16,112
1505131957,123,30
1505168901,95,100
1505216804,100,0
1505254867,80,89
1505304174,92,83
1505341674,93,98
1505388860,84,189
1505427239,88,0
1505476652,87,74
1505515862,96,189
1505559886,92,0
1505602601,91,86
1505649219,89,185
1505689816,94,0
1505733031,70,85
1505775977,95,82
1505818061,67,75
1505860376,65,86
1505908339,73,157
1505945519,76,0
1505994460,72,77
1506032139,79,71
1506079670,73,76
1506121027,102,150
1506166934,76,0
1506206846,97,169
1506252626,88,106
1506292303,104,92
1506336579,86,0
1506379675,93,86
1506425651,85,179
1506464662,84,0
1506509900,53,92
1506552250,93,139
1506598828,99,99
1506636793,83,0
1506685013,104,88
1506725249,85,183
1506769144,97,0
1506810493,92,98
1506857950,100,191
1506898875,84,100
1506942233,78,0
1506982697,91,77
1507028736,84,174
1507070484,103,87
1507117378,103,111
1507157759,93,0
1507205135,85,176
1507244236,98,101
1507290876,73,0
1507329462,63,91
1507377608,90,140
1507416078,83,83
1507462258,71,0
1507505651,102,164
1507548426,76,92
1507588966,94,0
1507634497,75,76
1507677143,103,177
1507723358,96,99
1507761219,92,0
1507809254,73,180
1507850061,95,81
1507895206,89,0
1507935416,92,87
1507978819,62,171
1508021346,97,91
1508064897,67,0
1508108203,93,65
1508148632,78,79
1508188249,66,77
1508234812,58,170
1508275149,89,0
1508324461,84,149
1508361451,97,0
1508412289,64,181
1508453590,106,71
1508498256,95,0
1508540062,97,84
1508583391,75,92
1508626561,81,181
1508669727,106,98
1508710447,101,0
1508758829,109,198
1508799340,98,105
1508845513,93,0
1508883030,75,91
1508929487,59,161
1508969365,72,85
1509015523,61,0
1509057089,96,57
1509104580,94,161
1509143836,96,101
1509189743,106,0
1509228795,85,87
1509275433,62,183
1509315296,82,0
1509362071,74,157
1509402159,95,0
1509448426,68,160
1509488559,98,79
1509537209,96,0
1509574528,75,83
1509622919,97,182
1509660444,82,0
1509706714,71,86
1509749014,96,165
1509793291,81,94
1509833718,84,87
1509879481,77,0
1509924183,74,155
1509969986,80,76
1510010612,91,86
1510055808,79,87
1510099166,101,82
1510142248,80,97
1510185274,107,0
1510228940,101,184
1510269194,103,0
1510317325,92,194
1510354486,85,0
1510404042,97,89
1510441644,90,194
1510487508,96,0
1510528420,97,91
1510576743,98,191
1510616758,102,103
1510663617,94,111
1510701169,103,0
1510748913,86,82
1510790895,83,181
1510835123,89,0
1510876753,84,85
1510919432,50,78
1510960286,70,74
1511009284,82,148
1511048144,94,0
1511092747,67,78
1511132863,72,165
1511181936,100,81
1511219685,79,0
1511267394,79,80
1511305082,64,85
1511353624,80,75
1511391884,77,70
1511440057,81,161
1511478127,92,84
1511526802,115,0
1511564609,96,86
1511610506,81,98
1511653572,100,194
1511697367,88,98
1511737889,88,0
1511783922,77,100
1511824182,94,155
1511872638,110,105
1511910333,94,0
1511955916,64,92
1511996662,75,172
