DateTime,Entries,UniqueIPs
1495196607,1166,1169
1495236846,1104,1108
1495282305,1091,1096
1495323538,1152,1157
1495368092,1142,1147
1495410074,1073,1078
1495453911,1073,1078
1495495298,1117,1124
1495535165,1107,1113
1495575334,1098,1103
1495621744,1091,1096
1495661606,1087,1092
1495707933,1063,1068
1495754333,1087,1092
1495795093,1063,1069
1495840928,1077,1082
1495886786,1088,1094
1495928319,1103,1109
1495973240,1053,1058
1496015327,1118,1123
1496061237,1052,1057
1496100530,1082,1087
1496146250,1089,1095
1496185268,1106,1112
1496229854,1101,1106
1496272783,1137,1143
1496318878,1131,1136
1496359982,1193,1199
1496406050,1153,1159
1496447873,1161,1166
1496492903,1152,1157
1496532999,1166,1171
1496579267,1154,1159
1496619770,1158,1163
1496665322,1223,1228
1496705748,1234,1240
1496752615,1169,1173
1496791915,1175,1179
1496838429,1169,1173
1496879202,1212,1216
1496924145,1149,1152
1496965412,1195,1199
1497010671,1108,1113
1497050618,1176,1181
1497097717,1168,1172
1497137878,1163,1167
1497183901,1151,1155
1497223871,1149,1155
1497270800,1067,1074
1497310617,1078,1085
1497356798,1122,1129
1497396899,1125,1133
1497443561,1076,1082
1497482936,1089,1096
1497528269,1123,1130
1497568058,1129,1136
1497616635,1062,1068
1497654596,1109,1115
1497701707,1101,1106
1497741667,1110,1115
1497787602,1126,1131
1497828126,1139,1144
1497873555,1139,1143
1497914438,1134,1138
1497960576,1073,1077
1497995244,1120,1125
1498040038,1110,1116
1498086140,1118,1124
1498127628,1119,1125
1498166073,1105,1111
1498212525,1091,1097
1498255078,1098,1103
1498300195,1082,1087
1498338402,1086,1090
1498385559,1080,1083
1498430284,1093,1095
1498477781,1051,1053
1498511899,1116,1118
1498558647,1113,1115
1498598384,1081,1083
1498644304,1131,1133
1498684461,1111,1112
1498730536,1093,1095
1498771188,1065,1067
1498817476,1107,1109
1498857486,1112,1114
1498904776,1111,1113
1498943881,1050,1053
1498990723,1013,1016
1499031020,1060,1065
1499076882,1006,1011
1499117734,965,970
1499163398,955,960
1499204305,941,946
1499250134,870,875
1499290813,903,908
1499344338,919,924
1499385044,946,951
1499424780,917,921
1499469047,946,950
1499512170,928,932
1499556862,951,956
1499598152,928,933
1499638390,934,939
1499688274,930,932
1499730159,963,965
1499770852,958,960
1499815322,1001,1003
1499861699,1008,1010
1499896704,964,967
1499947388,949,951
1499988300,1029,1032
1500029290,1016,1019
1500075716,998,1001
1500121410,1009,1012
1500157223,1049,1052
1500207263,1016,1018
1500248155,1013,1014
1500294728,999,1000
1500328804,1040,1041
1500381120,990,991
1500420755,981,983
1500460863,1011,1013
1500507777,976,977
1500548305,1005,1006
1500593018,988,989
1500639400,907,909
1500678820,961,963
1500721238,936,939
1500765329,905,908
1500809176,931,934
1500851250,925,928
1500895033,895,899
1500937368,835,839
1500982996,867,873
1501023325,860,865
1501069265,796,801
1501110519,812,817
1501155050,759,765
1501196543,792,798
1501241891,776,783
1501281088,741,748
1501327524,641,648
1501368466,664,671
1501414146,670,675
1501454667,624,629
1501500731,655,660
1501541233,649,653
1501586496,644,647
1501627874,625,629
1501674232,604,608
1501714384,624,628
1501759898,613,617
1501801122,588,591
1501846379,632,635
