DateTime,AddedIPs,RemovedIPs
1495196607,105,105
1495236846,107,107
1495282305,94,95
1495323538,111,109
1495368092,94,93
1495410074,103,103
1495453911,98,98
1495495298,92,94
1495535165,67,70
1495575334,70,67
1495621744,72,72
1495661606,86,85
1495707933,65,68
1495754333,122,119
1495795093,91,93
1495840928,127,124
1495886786,122,123
1495928319,129,128
1495973240,102,105
1496015327,127,125
1496061237,110,113
1496100530,125,121
1496146250,105,109
1496185268,119,118
1496229854,87,86
1496272783,128,127
1496318878,118,117
1496359982,122,123
1496406050,122,124
1496447873,135,132
1496492903,113,117
1496532999,126,123
1496579267,109,111
1496619770,131,128
1496665322,125,127
1496705748,125,123
1496752615,103,105
1496791915,117,116
1496838429,114,114
1496879202,114,114
1496924145,116,115
1496965412,123,124
1497010671,101,102
1497050618,121,121
1497097717,105,105
1497137878,107,107
1497183901,92,93
1497223871,121,119
1497270800,104,106
1497310617,125,123
1497356798,97,98
1497396899,111,110
1497443561,97,97
1497482936,124,124
1497528269,84,87
1497568058,111,107
1497616635,77,78
1497654596,115,118
1497701707,79,80
1497741667,128,123
1497787602,104,106
1497828126,128,127
1497873555,87,88
1497914438,122,120
1497960576,90,91
1497995244,82,83
1498040038,69,67
1498086140,120,120
1498127628,79,79
1498166073,78,79
1498212525,71,72
1498255078,105,105
1498300195,66,66
1498338402,111,110
1498385559,89,90
1498430284,124,122
1498477781,140,140
1498511899,116,116
1498558647,78,78
1498598384,86,86
1498644304,83,84
1498684461,95,95
1498730536,57,58
1498771188,99,99
1498817476,74,74
1498857486,105,104
1498904776,60,60
1498943881,80,80
1498990723,59,59
1499031020,83,83
1499076882,55,55
1499117734,84,85
1499163398,64,64
1499204305,75,74
1499250134,57,58
1499290813,98,97
1499344338,112,113
1499385044,121,121
1499424780,61,63
1499469047,94,93
1499512170,57,57
1499556862,99,98
1499598152,57,58
1499638390,67,66
1499688274,81,81
1499730159,96,97
1499770852,65,66
1499815322,105,102
1499861699,98,99
1499896704,55,57
1499947388,80,82
1499988300,132,128
1500029290,75,76
1500075716,104,101
1500121410,112,113
1500157223,85,87
1500207263,74,72
1500248155,82,81
1500294728,78,79
1500328804,79,78
1500381120,77,80
1500420755,84,83
1500460863,45,44
1500507777,79,80
1500548305,42,42
1500593018,77,77
1500639400,47,47
1500678820,79,76
1500721238,67,70
1500765329,107,108
1500809176,54,56
1500851250,87,84
1500895033,51,53
1500937368,62,62
1500982996,51,51
1501023325,77,78
1501069265,53,52
1501110519,43,42
1501155050,38,38
1501196543,52,53
1501241891,38,39
1501281088,41,41
1501327524,45,44
1501368466,46,46
1501414146,49,48
1501454667,61,61
1501500731,51,50
1501541233,48,49
1501586496,39,41
1501627874,51,49
1501674232,39,39
1501714384,32,31
1501759898,20,20
1501801122,52,52
1501846379,62,62
1501887457,52,52
1501932584,47,48
1501972721,46,48
1502019418,42,42
1502059774,46,45
1502104926,49,50
1502146275,44,42
1502191872,39,40
1502230691,38,38
1502277761,62,63
1502318309,75,74
1502364693,70,70
1502405217,56,55
1502451041,41,42
1502492061,68,69
1502536692,44,42
1502578040,68,68
1502622250,47,46
1502664062,44,44
1502709522,46,49
1502747246,40,40
1502796023,28,28
1502836995,63,60
1502884035,126,125
1502925223,108,108
1502968507,70,70
1503011814,86,85
1503058653,31,33
1503096386,88,88
1503141571,54,56
1503184933,90,90
1503230381,89,89
1503271758,114,110
1503313944,102,106
1503357384,121,117
1503400380,108,109
1503441339,117,116
1503486055,102,103
1503527937,105,107
1503574621,83,83
1503613153,65,65
1503661617,89,89
1503702263,115,112
1503750926,95,96
1503789151,114,113
1503834396,96,99
1503871822,88,87
1503921337,109,109
1503960596,87,89
1504006844,91,91
1504044769,100,97
1504094784,112,112
1504131132,84,86
1504178631,92,91
1504218334,99,99
1504267668,98,97
1504308092,127,127
1504350924,99,100
1504391198,112,111
1504439288,120,119
1504476553,106,107
1504525662,108,108
1504566385,123,123
1504609169,113,114
1504649917,123,121
1504696037,103,104
1504736934,111,111
1504784747,128,127
1504822984,125,125
1504869498,116,117
1504909434,116,116
1504957596,123,122
1504973956,35,36
1505044755,127,126
1505060691,30,31
1505131957,124,123
1505168901,118,119
1505216804,122,121
1505254867,117,118
1505304174,116,116
1505341674,119,119
1505388860,109,109
1505427239,113,114
1505476652,115,115
1505515862,118,116
1505559886,110,112
1505602601,122,120
1505649219,117,117
1505689816,112,112
1505733031,106,106
1505775977,123,123
1505818061,107,108
1505860376,96,96
1505908339,97,98
1505945519,92,91
1505994460,89,89
1506032139,95,95
1506079670,91,91
1506121027,125,124
1506166934,113,113
1506206846,128,128
1506252626,110,110
1506292303,122,122
1506336579,115,115
1506379675,117,117
1506425651,121,121
1506464662,100,100
1506509900,85,85
1506552250,120,120
1506598828,120,120
1506636793,102,102
1506685013,130,130
1506725249,121,121
1506769144,110,111
1506810493,124,124
1506857950,122,121
1506898875,105,105
1506942233,100,101
1506982697,109,108
1507028736,107,108
1507070484,124,123
1507117378,115,115
1507157759,115,116
1507205135,118,118
1507244236,115,115
1507290876,95,95
1507329462,80,80
1507377608,110,109
1507416078,109,109
1507462258,88,90
1507505651,120,118
1507548426,102,102
1507588966,109,111
1507634497,101,101
1507677143,123,121
1507723358,118,118
1507761219,114,116
1507809254,105,105
1507850061,119,118
1507895206,113,112
1507935416,122,123
1507978819,103,103
1508021346,109,110
1508064897,102,103
1508108203,123,120
1508148632,117,117
1508188249,93,93
1508234812,79,80
1508275149,93,92
1508324461,103,104
1508361451,109,109
1508412289,84,83
1508453590,118,118
1508498256,119,119
1508540062,127,127
1508583391,112,112
1508626561,109,109
1508669727,117,118
1508710447,124,123
1508758829,129,129
1508799340,122,123
1508845513,112,111
1508883030,112,112
1508929487,97,99
1508969365,86,84
1509015523,73,75
1509057089,126,124
1509104580,117,117
1509143836,112,112
1509189743,121,122
1509228795,117,116
1509275433,95,96
1509315296,95,94
