DateTime,AddedIPs,RemovedIPs
1505994453,59,77
1506010411,16,48
1506032116,48,79
1506056403,37,0
1506079665,57,35
1506096091,18,72
1506121021,60,0
1506143219,55,84
1506166921,51,68
1506182729,17,18
1506206841,56,0
1506229673,43,80
1506252615,45,20
1506268988,14,45
1506292295,62,23
1506316332,24,127
1506336569,54,0
1506355596,20,47
1506379669,59,29
1506402585,21,80
1506425642,54,78
1506442416,22,21
1506464652,49,0
1506489081,22,89
1506509894,59,25
1506528593,19,43
1506552243,53,79
1506575231,50,0
1506598812,45,78
1506615102,19,0
1506636786,55,29
1506661811,19,82
1506685006,54,43
1506701334,17,29
1506725239,54,81
1506748486,18,0
1506769136,46,28
1506788173,22,47
1506810485,69,21
1506834073,24,94
1506857946,54,50
1506874198,36,28
1506898868,47,43
1506921380,10,0
1506942226,44,86
1506961008,17,30
1506982687,61,0
1507007480,16,71
1507028728,52,0
1507047855,26,82
1507070475,59,42
1507093295,18,0
1507117371,43,78
1507133317,20,27
1507157752,57,0
1507180201,30,87
1507205124,48,30
1507219457,42,0
1507244228,79,76
1507266524,25,0
1507290867,43,73
1507306328,35,32
1507329450,77,0
1507352552,27,69
1507377596,58,54
1507392753,40,0
1507416071,64,86
1507439582,41,23
1507462250,51,0
1507478925,20,43
1507505645,59,67
1507526062,51,16
1507548418,45,0
1507565471,27,90
1507588955,70,44
1507612430,43,24
1507634490,53,49
1507651569,21,0
1507677137,45,86
1507698488,39,15
1507723351,46,51
1507738528,30,0
1507761210,57,97
1507784769,61,18
1507809242,54,0
1507824332,26,60
1507850053,46,40
1507871008,51,76
1507895200,52,0
1507910600,15,68
1507935404,52,100
1507957957,57,0
1507978809,56,24
1507996976,15,110
1508021336,54,0
1508044283,45,67
1508064816,49,25
1508083228,13,53
1508108194,50,29
1508130603,52,74
1508148621,52,24
1508170315,16,61
1508188238,54,35
1508217185,52,61
1508234805,67,21
1508256691,19,50
1508275141,64,24
1508303348,31,101
1508324452,63,0
1508343266,33,83
1508361442,54,0
1508390207,47,73
1508412283,62,30
1508429171,14,70
1508453585,48,0
1508476355,44,77
1508498246,55,20
1508515224,21,74
1508540055,42,0
1508562626,45,77
1508583382,50,71
1508601763,12,0
1508626553,67,23
1508648834,24,93
1508669724,50,51
1508688804,26,26
1508710438,67,0
1508734853,19,105
1508758817,48,50
1508774544,23,18
1508799334,63,88
