DateTime,AddedIPs,RemovedIPs
1505994453,107,103
1506010411,83,87
1506032116,111,109
1506056403,102,104
1506079665,98,95
1506096091,84,87
1506121021,105,103
1506143219,123,121
1506166921,99,99
1506182729,88,89
1506206841,99,97
1506229673,121,124
1506252615,95,94
1506268988,89,89
1506292295,102,100
1506316332,91,93
1506336569,103,102
1506355596,90,92
1506379669,103,101
1506402585,86,91
1506425642,99,96
1506442416,79,79
1506464652,108,106
1506489081,88,88
1506509894,101,101
1506528593,90,91
1506552243,101,101
1506575231,119,119
1506598812,94,93
1506615102,81,83
1506636786,99,96
1506661811,84,86
1506685006,95,95
1506701334,89,89
1506725239,100,99
1506748486,87,89
1506769136,95,94
1506788173,84,86
1506810485,108,106
1506834073,92,93
1506857946,94,94
1506874198,88,89
1506898868,101,99
1506921380,90,92
1506942226,89,87
1506961008,87,89
1506982687,112,109
1507007480,90,92
1507028728,101,99
1507047855,89,92
1507070475,106,104
1507093295,92,93
1507117371,96,95
1507133317,86,88
1507157752,109,107
1507180201,102,102
1507205124,97,98
1507219457,108,106
1507244228,123,123
1507266524,103,103
1507290867,92,91
1507306328,104,106
1507329450,123,123
1507352552,108,107
1507377596,99,99
1507392753,112,115
1507416071,119,117
1507439582,116,115
1507462250,99,98
1507478925,87,88
1507505645,106,106
1507526062,126,128
1507548418,90,90
1507565471,96,96
1507588955,118,115
1507612430,120,121
1507634490,95,94
1507651569,89,90
1507677137,99,99
1507698488,116,117
1507723351,97,95
1507738528,98,99
1507761210,112,111
1507784769,131,132
1507809242,106,105
1507824332,93,95
1507850053,102,101
1507871008,130,131
1507895200,103,101
1507910600,89,91
1507935404,104,102
1507957957,132,132
1507978809,102,102
1507996976,94,98
1508021336,104,100
1508044283,122,122
1508064816,99,99
1508083228,93,94
1508108194,101,101
1508130603,126,124
1508148621,101,102
1508170315,95,95
1508188238,97,98
1508217185,133,132
1508234805,108,111
1508256691,93,92
1508275141,99,96
1508303348,106,110
1508324452,110,109
1508343266,103,102
1508361442,102,103
1508390207,121,120
1508412283,110,111
1508429171,109,111
1508453585,105,102
1508476355,114,117
1508498246,104,101
1508515224,102,104
1508540055,102,102
1508562626,121,121
1508583382,97,96
1508601763,92,94
1508626553,119,116
1508648834,105,107
1508669724,100,97
1508688804,98,100
1508710438,120,119
1508734853,99,100
1508758817,100,99
1508774544,100,101
1508799334,113,113
1508821508,115,114
1508845508,105,105
1508861652,98,99
1508883021,112,111
1508908356,98,99
1508929479,94,95
1508947898,88,87
1508969359,117,116
1508994620,99,98
1509015515,110,111
1509033841,94,94
1509057082,102,103
1509080895,96,96
1509104576,101,101
1509119985,91,92
1509143831,112,112
1509167021,92,93
1509189732,98,97
1509207247,101,101
1509228784,110,110
1509254495,96,95
1509275422,100,99
1509293978,99,99
1509315288,110,110
1509340623,97,98
1509362059,108,108
1509380022,94,93
1509402154,118,119
1509426848,101,101
1509448417,103,102
1509466200,100,102
1509488552,113,112
1509512661,99,101
1509537201,101,99
1509553008,98,98
1509574523,114,114
1509598952,95,95
1509622912,117,118
1509639009,103,103
1509660437,118,118
1509685855,107,107
1509706707,124,125
1509725163,118,116
1509749007,130,129
1509772226,125,127
1509793284,104,102
1509811734,101,102
1509833710,103,102
1509858917,91,93
1509879475,98,97
1509902089,101,102
1509924174,112,111
1509948998,100,101
1509969980,129,127
1509988526,98,100
1510010605,102,101
1510034986,115,116
1510055799,106,103
1510074406,93,95
1510099159,102,102
1510121459,116,117
1510142235,106,105
1510160665,93,93
1510185265,100,99
1510208339,123,123
1510228931,102,102
1510247751,97,98
1510269190,110,109
1510293803,120,123
1510317315,100,97
1510333849,121,123
1510354476,139,136
1510380064,124,124
1510404033,100,100
1510420447,120,122
1510441636,138,137
1510467020,130,130
1510487500,107,107
1510506706,127,128
1510528415,134,133
1510553179,129,130
1510576734,100,98
1510592857,128,129
1510616748,135,134
1510639622,123,124
1510663608,99,99
1510679471,121,122
1510701162,140,138
1510725788,130,132
1510748908,101,100
1510765571,118,119
1510790889,142,140
1510812280,132,134
1510835110,141,139
1510852065,129,132
1510876743,141,138
1510899029,130,132
1510919425,140,138
1510938883,131,133
1510960277,140,139
1510985174,131,133
1511009277,142,139
1511024741,127,129
1511048137,124,122
1511071706,133,135
1511092736,142,140
1511111501,125,128
1511132850,140,138
1511157925,121,125
1511181927,134,129
1511198224,125,129
1511219676,137,134
1511244125,129,130
1511267385,141,140
1511284356,130,131
1511305072,137,136
1511330732,128,129
1511353614,139,138
1511370617,129,129
1511391876,131,130
1511417051,127,129
1511440050,136,136
1511457097,126,126
1511478118,138,137
1511503476,126,127
1511526797,137,135
1511543292,120,123
1511564598,119,120
1511590105,114,113
1511610491,131,129
1511629566,122,124
1511653564,129,126
1511676660,121,124
1511697357,134,132
1511716254,118,121
1511737879,129,128
1511763153,119,121
1511783913,136,132
1511802628,121,124
1511824176,126,124
1511849217,125,128
1511872633,140,135
1511889235,120,125
1511910323,127,124
1511935672,125,126
1511955907,129,129
1511975541,122,122
1511996656,128,126
1512022407,114,117
1512043778,137,134
1512061568,126,129
1512085358,124,121
1512108566,113,117
1512128883,133,130
1512148066,117,119
1512168755,124,121
1512195040,114,117
1512215195,127,125
1512234331,104,107
1512258213,131,128
1512281148,104,107
1512304681,113,110
1512320964,96,100
1512342240,109,105
1512367575,97,103
1512390353,134,128
1512407532,108,112
1512427985,118,115
1512454196,106,107
1512474842,116,114
1512493913,111,113
1512515191,120,117
1512540351,102,107
1512563234,113,108
1512580059,99,102
1512601160,108,105
1512626890,95,96
1512647482,120,118
1512666540,109,112
1512687305,115,113
1512713239,111,112
1512733883,102,100
1512752667,105,106
1512776804,110,110
1512799968,97,97
1512819326,103,102
1512839333,102,103
1512860555,110,110
1512885622,97,98
1512908493,105,106
1512925438,96,97
1512949503,112,110
1512972411,95,98
1512995312,104,99
1513012232,94,97
1513032586,118,115
1513058446,97,100
1513081212,103,100
1513098151,95,99
1513121386,107,103
1513144748,96,101
1513167323,100,95
1513184717,93,96
1513207530,101,98
1513231245,91,94
1513253829,104,101
1513271114,92,95
1513294763,118,117
1513317280,89,90
1513339738,96,94
1513357139,89,91
1513380423,109,107
1513403931,99,102
1513426439,100,98
1513443651,93,95
1513467061,108,105
1513490296,89,92
1513512243,104,101
1513529777,87,90
1513552812,116,112
1513576287,97,102
1513594761,94,91
1513615948,96,96
1513635158,125,124
1513662718,106,106
1513682052,99,99
1513702616,89,90
1513721793,92,91
1513749135,101,102
1513768461,104,104
1513788491,96,97
1513807893,107,106
1513835294,102,106
1513854263,100,98
1513874817,104,105
1513894221,137,132
1513921797,126,130
1513940454,98,95
1513961312,105,108
1513981115,112,111
1514008134,103,103
1514026634,106,107
1514048616,114,113
1514068452,139,136
1514095169,128,131
1514114393,108,106
1514134336,108,110
1514154081,141,138
1514181438,131,135
1514199931,108,105
1514220679,107,110
1514240753,137,134
1514268223,132,134
1514287065,111,110
1514307412,111,114
1514326845,131,128
