DateTime,AddedIPs,RemovedIPs
1516360921,0,1
1516361521,5,0
1516362121,5,0
1516362722,1,0
1516363322,3,1
1516363922,2,1
1516364521,3,0
1516365121,0,3
1516365722,0,5
1516366921,2,2
1516367521,2,0
1516368122,1,0
1516368721,2,4
1516369322,1,0
1516369921,1,13
1516370522,2,3
1516371122,1,0
1516371721,0,10
1516372922,4,2
1516373522,5,1
1516374121,1,1
1516375922,0,2
1516376521,3,2
1516377721,5,1
1516378922,3,3
1516380121,1,17
1516381321,0,1
1516381921,10,1
1516382522,0,1
1516383721,3,4
1516385522,2,3
1516386122,3,0
1516386722,0,2
1516387322,1,1
1516388522,4,4
1516389721,2,4
1516390922,6,7
1516391522,1,2
1516392121,0,17
1516392722,1,0
1516393321,3,0
1516393921,4,5
1516394521,0,1
1516395722,3,0
1516396322,1,1
1516396921,0,1
1516397521,3,1
1516398122,2,0
1516398722,1,12
1516399322,2,1
1516400521,3,8
1516401721,2,8
1516402321,1,1
1516404122,0,24
1516404721,0,1
1516406522,5,4
1516407723,4,2
1516408322,6,3
1516408922,6,0
1516409521,0,2
1516410123,4,4
1516410721,2,1
1516411323,1,0
1516412522,0,9
1516413122,3,0
1516413721,1,0
1516414322,1,18
1516416121,0,17
1516416722,1,0
1516417321,1,0
1516417922,3,3
1516418521,2,2
1516419121,1,0
1516420321,8,0
1516420922,2,0
1516422121,0,3
1516423322,2,0
1516424522,1,0
1516425122,2,9
1516425722,1,0
1516426921,0,10
1516428121,5,0
1516428721,2,1
1516429322,0,5
1516430521,2,3
1516431122,1,2
1516431721,0,10
1516432321,2,0
1516432922,2,2
1516433521,1,20
1516434121,0,1
1516435321,4,0
1516435921,7,4
1516436522,2,0
1516437122,4,6
1516437722,1,0
1516438322,0,1
1516438921,2,0
1516439522,2,4
1516440122,1,0
1516442521,4,1
1516443722,2,0
1516444921,2,2
1516447322,1,7
1516448522,1,5
1516449121,5,0
1516449722,12,0
1516450322,1,0
1516450922,6,0
1516452121,4,1
1516452722,3,0
1516453321,2,0
1516453921,2,1
1516454522,0,16
1516455121,1,2
1516455721,4,0
1516456921,1,13
1516457521,6,0
1516458121,0,1
1516458721,4,0
1516459322,2,2
1516460521,1,1
1516461721,6,14
1516462923,1,2
1516465322,0,12
1516465921,3,0
1516466522,1,2
1516467722,2,2
1516468322,14,0
1516468921,0,2
1516470122,1,1
1516470722,1,1
1516471322,1,2
1516472522,2,0
1516473121,3,12
1516473722,1,0
1516474921,0,2
1516476122,1,0
1516477321,1,1
1516477921,0,11
1516478521,2,0
1516479721,2,2
1516480322,2,2
1516480921,1,1
1516482122,2,0
1516482722,0,1
1516483322,1,0
1516484522,1,0
1516485721,1,9
1516487522,0,2
1516488122,1,3
1516488722,1,0
1516489321,16,0
1516489921,4,1
1516490522,0,7
1516491121,1,0
1516491721,1,0
1516492322,1,0
1516492922,0,2
1516494121,2,0
1516495323,1,9
1516495923,3,1
1516496521,1,0
1516497122,0,2
1516497722,0,2
1516498321,1,0
1516498922,3,0
1516499522,2,10
1516500121,2,0
1516500722,2,0
1516501322,2,0
1516501922,0,2
1516502521,1,6
1516503722,0,1
1516504922,1,6
1516506121,1,1
1516507322,1,5
1516508522,3,2
1516509722,1,2
1516510322,1,2
1516510921,3,1
1516512122,10,0
1516512722,7,4
1516513322,1,0
1516514522,0,1
