DateTime,AddedIPs,RemovedIPs
1516410721,80,80
1516411323,80,80
1516412522,53,53
1516413122,80,80
1516413721,80,80
1516414322,80,80
1516414921,73,73
1516416121,76,76
1516416722,80,80
1516417321,80,80
1516417922,80,80
1516418521,80,80
1516419121,80,80
1516419722,80,80
1516420321,78,78
1516420922,66,66
1516421522,80,80
1516422121,80,80
1516423322,78,78
1516424522,75,75
1516425122,80,80
1516425722,73,73
1516426321,79,79
1516426921,76,76
1516428121,71,71
1516428721,63,63
1516429322,80,80
1516430521,72,72
1516431122,79,79
1516431721,63,63
1516432321,72,72
1516432922,75,75
1516433521,74,74
1516434121,80,80
1516435321,77,77
1516435921,72,72
1516436522,77,77
1516437122,76,76
1516437722,80,80
1516438322,70,70
1516438921,51,51
1516439522,73,73
1516440122,69,69
1516441322,62,62
1516442521,48,48
1516443722,57,57
1516444921,54,54
1516446121,76,76
1516447322,79,79
1516448522,29,29
1516449121,80,80
1516449722,80,80
1516450322,80,80
1516450922,80,80
1516452121,77,77
1516452722,80,80
1516453321,64,64
1516453921,59,59
1516454522,80,80
1516455121,77,77
1516455721,80,80
1516456921,80,80
1516457521,78,78
1516458121,25,25
1516458721,78,78
1516459322,78,78
1516460521,80,80
1516461721,80,80
1516462923,80,80
1516463521,80,80
1516464122,80,80
1516465322,44,44
1516465921,80,80
1516466522,78,78
1516467722,74,74
1516468322,80,80
1516468921,80,80
1516470122,69,69
1516470722,46,46
1516471322,80,80
1516472522,64,64
1516473121,78,78
1516473722,79,79
1516474322,65,65
1516474921,80,80
1516475522,80,80
1516476122,76,76
1516476721,78,78
1516477321,80,80
1516477921,80,80
1516478521,80,80
1516479721,71,71
1516480322,76,76
1516480921,80,80
1516482122,76,76
1516482722,80,80
1516483322,53,53
1516483921,59,59
1516484522,75,75
1516485721,76,76
1516486322,78,78
1516486922,80,80
1516487522,80,80
1516488122,66,66
1516488722,80,80
1516489321,80,80
1516489921,80,80
1516490522,80,80
1516491121,79,79
1516491721,80,80
1516492322,76,76
1516492922,59,59
1516494121,77,77
1516494721,80,80
1516495323,79,79
1516495923,79,79
1516496521,77,77
1516497122,80,80
1516497722,67,67
1516498321,80,80
1516498922,80,80
1516499522,80,80
1516500121,80,80
1516500722,74,74
1516501322,75,75
1516501922,80,80
1516502521,80,80
1516503722,80,80
1516504922,80,80
1516506121,61,61
1516507322,50,50
1516508522,79,79
1516509722,66,66
1516510322,80,80
1516510921,80,80
1516512122,68,68
1516512722,80,80
1516513322,74,74
1516514522,77,77
1516515121,26,26
1516515721,80,80
1516516321,80,80
1516516922,80,80
1516517521,80,80
1516518122,80,80
1516518721,80,80
1516519321,72,72
1516519922,70,70
1516520522,79,79
1516521722,75,75
1516522322,78,78
1516522922,69,69
1516523522,80,80
1516524121,79,79
1516525321,37,37
1516525921,73,73
1516526522,79,79
1516527721,80,80
1516528322,80,80
1516528921,67,67
1516530721,52,52
1516531321,80,80
1516532521,52,52
1516533121,75,75
1516533722,76,76
1516534321,76,76
1516534921,77,77
1516535522,70,70
1516536121,78,78
1516536722,80,80
1516537322,77,77
1516537922,79,79
1516538522,73,73
1516539721,60,60
