DateTime,Entries,UniqueIPs
1496518257,2785,2785
1496548853,2786,2786
1496563266,2787,2787
1496606465,2788,2788
1496633447,2789,2789
1496642457,2790,2790
1496687465,2791,2791
1496708171,2792,2792
1496742363,2793,2793
1496744173,2794,2794
1496747763,2795,2795
1496778363,2796,2796
1496801757,2797,2797
1496818864,2798,2798
1496820661,2799,2799
1496831461,2800,2800
1496833284,2801,2801
1496845882,2802,2802
1496858457,2803,2803
1496862052,2804,2804
1496921472,2805,2805
1497011456,2809,2809
1497031284,2810,2810
1497063657,2811,2811
1497103303,2812,2812
1497110453,2813,2813
1497133858,2814,2814
1497151852,2815,2815
1497310268,2816,2816
1497367870,2817,2817
1497441660,2818,2818
1497493875,2819,2819
1497497458,2820,2820
1497519056,2821,2821
1497540669,2822,2822
1497634254,2823,2823
1497636057,2824,2824
1497659497,2825,2825
1497679309,2826,2826
1497790902,2827,2827
1497839454,2828,2828
1497920468,2829,2829
1497958325,2830,2830
1497999663,2831,2831
1498024052,2832,2832
1498223704,2833,2833
1498329905,2834,2834
1498384002,2835,2835
1498448702,2836,2836
1498455937,2837,2837
1498481104,2838,2838
1499463903,2839,2839
1499498146,2840,2840
1499499937,2841,2841
1499507142,2842,2842
1499555738,2843,2843
1499559339,2844,2844
1499588140,2845,2845
1499615143,2846,2846
1499634948,2847,2847
1499642104,2848,2848
1499660143,2849,2849
1499708747,2850,2850
1499719542,2851,2851
1499733940,2852,2852
1499746545,2853,2853
1499765445,2855,2855
1499769049,2856,2856
1499771752,2857,2857
1499786149,2858,2858
1499807742,2860,2860
1499822103,2861,2861
1499840150,2862,2862
1499937306,2863,2863
1500025502,2864,2864
1500197450,2865,2865
1500257747,2866,2866
1500493547,2867,2867
1500543956,2868,2868
1500641148,2869,2869
1500713105,2873,2873
1500873344,2874,2874
1500984946,2875,2875
1501004744,2876,2876
1501662648,2877,2877
1501671653,2878,2878
1501675247,2879,2879
1501689650,2880,2880
1501698653,2881,2881
1501707647,2882,2882
1501711250,2883,2883
1501714846,2884,2884
1501722047,2885,2885
1501743646,2886,2886
1501747271,2887,2887
1501759853,2888,2888
1501769759,2889,2889
1501773356,2891,2891
1501778745,2892,2892
1501785950,2893,2893
1501796744,2894,2894
1501800348,2896,2896
1501802151,2897,2897
1501820148,2898,2898
1501825549,2899,2899
1501843544,2900,2900
1501852553,2901,2901
1501854353,2902,2902
1501877743,2903,2903
1501886744,2904,2904
1501924550,2905,2905
1501926346,2907,2907
1501969552,2908,2908
1501971344,2909,2909
1501989350,2910,2910
1501991142,2911,2911
1501994744,2912,2912
1501998343,2913,2913
1502016351,2914,2914
1502019955,2915,2915
1502092844,2916,2916
1502105446,2917,2917
1502110844,2918,2918
1502112643,2919,2919
1502136047,2920,2920
1502145042,2921,2921
1502180161,2922,2922
1502181942,2923,2923
1502187349,2924,2924
1502190946,2925,2925
1502217955,2927,2927
1502219747,2929,2929
1502226949,2930,2930
1502237749,2931,2931
1502279162,2932,2932
1502298953,2935,2935
1502316949,2936,2936
1502322349,2937,2937
1502360155,2939,2939
1502367357,2940,2940
1502369155,2941,2941
1502370948,2943,2943
1502376349,2944,2944
1502378153,2945,2945
1502400657,2946,2946
1502416858,2947,2947
1502429456,2948,2948
1502433052,2949,2949
1502444750,2950,2950
1502453749,2951,2951
1502457352,2952,2952
1502493360,2953,2953
1502515861,2954,2954
1502523053,2955,2955
1502524853,2956,2956
1502526651,2957,2957
1502535695,2958,2958
1502546453,2959,2959
1502586955,2960,2960
1502730054,2961,2961
1502812869,2962,2962
1502838050,2963,2963
1502867749,2964,2964
1503290753,2965,2965
1503294351,2966,2966
1503310560,2967,2967
1503314154,2969,2969
1503335753,2970,2970
1503393354,2971,2971
1503410459,2972,2972
1505467803,3053,3053
1505630744,3061,3061
1505648753,3062,3062
1505656848,3063,3063
1505665855,3064,3064
1505670350,3065,3065
1505676659,3067,3067
1505710855,3071,3071
1505712650,3072,3072
1505715358,3073,3073
1505719854,3074,3074
1505721652,3075,3075
1505734252,3076,3076
1505751345,3077,3077
1505772049,3078,3078
1505796355,3079,3079
1505805355,3080,3080
1505849448,3081,3081
1505893559,3082,3082
1505904358,3083,3083
1505912452,3084,3084
1505936752,3085,3085
1505939448,3087,3087
1505945749,3088,3088
1505947546,3090,3090
1505962855,3091,3091
1505964654,3092,3092
1505979051,3093,3093
1505984459,3094,3094
1506000660,3095,3095
1506007851,3096,3096
1506027650,3097,3097
1506029451,3099,3099
1506084350,3100,3100
1506093355,3101,3101
1506153658,3102,3102
1506156351,3104,3104
1506183347,3105,3105
1506189648,3108,3108
1506199547,3110,3110
1506237350,3111,3111
1506243652,3112,3112
1506318346,3113,3113
1506352552,3114,3114
1506354354,3115,3115
1506357953,3116,3116
1506423651,3119,3119
1506516345,3120,3120
1506531653,3121,3121
1506537050,3122,3122
1506540648,3123,3123
1506553263,3124,3124
1506565859,3125,3125
1506594660,3126,3126
1506601851,3128,3128
1506607255,3129,3129
1506618058,3130,3130
1506672056,3132,3132
1506676573,3133,3133
1506682887,3134,3134
1506686452,3136,3136
1506782760,3137,3137
1506804351,3138,3138
1506840356,3139,3139
1506843952,3140,3140
1506850265,3141,3141
1506929454,3142,3142
1506933053,3143,3143
1506933952,3144,3144
1506974448,3145,3145
1506977147,3146,3146
1507109451,3148,3148
1507126556,3149,3149
1507178756,3150,3150
1507198543,3151,3151
1507200368,3154,3154
1507215678,3158,3158
1507223754,3159,3159
1507267854,3160,3160
1507275952,3161,3161
1507297573,3165,3165
1507302959,3166,3166
1507315559,3167,3167
1507329958,3168,3168
1507340751,3169,3169
1507346171,3170,3170
1507363261,3171,3171
1507376750,3173,3173
1507379450,3174,3174
1507380351,3175,3175
1507381255,3177,3177
1507383047,3179,3179
1507386699,3180,3180
1507388455,3183,3183
1507414556,3184,3184
1507520753,3185,3185
1507534251,3187,3187
1507535158,3189,3189
1507551358,3190,3190
1507556766,3189,3189
1507557661,3191,3191
1507887210,3193,3193
1508054458,3195,3195
1508155272,3196,3196
1508248861,3198,3198
1508255147,3199,3199
1508332560,3200,3200
