DateTime,AddedIPs,RemovedIPs
1508364007,0,1
1508388306,0,1
1508396405,0,1
1508425206,2,0
1508442309,0,1
1508473807,1,0
1508485505,0,1
1508497207,2,0
1508500807,1,0
1508507105,0,1
1508508906,1,0
1508515206,0,1
1508528707,0,2
1508538609,0,1
1508554806,0,2
1508556606,0,1
1508574609,3,0
1508578207,1,0
1508580008,0,1
1508587207,1,0
1508598906,0,1
1508600706,0,1
1508620504,0,1
1508622305,0,1
1508675407,0,1
1508719505,0,1
1508724006,1,0
1508737506,0,1
1508747405,0,1
1508748307,1,0
1508776205,0,1
1508777105,0,1
1508790605,0,2
1508806806,0,1
1508830206,1,0
1508852706,1,0
1508854506,1,0
1508856308,1,0
1508858106,1,2
1508861706,0,3
1508883305,0,1
1508908507,1,0
1508910305,0,1
1508943606,1,0
1508947206,0,1
1508949005,0,1
1509000306,0,3
1509073205,0,1
1509100206,2,0
1509101107,1,0
1509104706,1,1
1509107406,0,1
1509109206,0,1
1509112807,2,0
1509114606,1,0
1509123606,0,1
1509131705,0,1
1509145206,0,1
1509151506,0,1
1509154206,0,1
1509158705,0,1
1509186606,0,1
1509189307,1,0
1509193805,0,3
1509199204,0,1
1509209107,0,1
1509215406,1,0
1509218105,2,0
1509219906,1,0
1509247805,0,1
1509263104,0,1
1509269406,1,0
1509271205,4,0
1509278406,1,0
1509322509,1,0
1509330605,1,0
1509335105,1,0
1509350406,3,0
1509354006,0,1
1509365706,1,0
1509379205,1,0
1509381906,0,1
1509395406,0,1
1509428707,0,1
1509432306,0,1
1509442205,0,1
1509445807,2,0
1509448505,1,0
1509458405,1,0
1509502505,0,1
1509503405,0,1
1509512405,1,0
1509540307,1,0
1509543006,1,1
1509548406,1,0
1509549308,1,0
1509565506,0,1
1509569106,0,1
1509570006,1,0
1509582606,1,0
1509583506,0,5
1509600607,1,0
1509624905,1,0
1509690606,2,0
1509701411,0,2
1509709508,3,0
1509712206,1,0
1509737406,0,1
1509749106,0,1
1509770706,0,3
1509794105,0,1
1509795906,2,0
1509796806,3,0
1509802206,0,2
1509806705,0,1
1509808506,0,1
1509815706,0,3
1509834606,1,0
1509847206,0,1
1509860707,0,1
1509873305,0,1
1509877807,2,0
1509879606,2,0
1509889505,0,1
1509901206,1,0
1509907506,1,0
1509910205,0,1
1509927306,1,0
1509939006,0,2
1509953406,0,2
1509955205,0,4
1509961506,1,0
1509966907,0,2
1509969606,0,1
1509971405,0,5
1509994806,0,1
1510043407,1,0
1510065005,1,0
1510066806,1,0
1510070406,1,0
1510071308,1,0
1510082105,0,3
1510093805,1,0
1510104606,1,0
1510106405,0,1
1510112706,0,1
1510128907,1,0
1510144206,0,1
1510145105,0,1
1510151407,1,0
1510217106,1,0
1510294509,1,0
1510326007,1,0
1510330507,1,0
1510356605,1,0
1510407907,0,1
1510418707,0,1
1510429505,1,0
1510440305,1,0
1510473608,1,0
1510494307,1,0
1510646409,0,2
1510690506,1,0
1510723808,1,0
1510735507,2,0
1510736408,3,0
1510745406,0,1
1510759809,1,0
1510771507,0,1
1510775108,1,0
1510793110,0,1
1510820109,1,0
1510821909,1,0
1510845305,1,0
1510847109,0,1
1510924504,0,1
1510951506,0,1
1510969505,0,2
1511016302,0,2
1511065804,0,1
1511089206,0,1
1511091908,0,1
1511100906,0,1
1511122508,0,1
1511164805,0,1
1511166604,0,3
1511297105,2,0
1511298008,1,0
1511300707,1,0
1511316907,0,2
1511343006,1,0
1511344805,0,2
1511354704,0,2
1511364607,1,0
1511370008,0,1
1511392509,1,0
1511394307,0,1
1511395206,1,0
1511397908,0,1
1511422207,0,2
1511424907,1,0
1511426707,1,0
1511500505,0,2
1511507712,0,1
1511542807,1,0
1511648105,0,2
1511673318,0,1
1511692209,0,1
1511695805,0,1
1511725506,1,1
1511746209,1,0
1511785810,1,0
1511806507,0,1
1511808309,0,2
1511810107,0,3
1511811906,0,1
1511823608,0,1
1511825410,1,0
1511842509,0,1
1511866810,1,0
1511881210,1,0
1511915409,0,1
1511919910,0,2
1511923509,1,1
1511927108,0,1
1511940613,0,1
1511948709,0,2
1511957712,0,1
1511971208,0,1
1512037813,0,1
1512068413,1,0
1512104411,0,1
1512135912,0,1
1512162006,0,1
1512162914,0,1
1512173705,0,1
1512188106,0,1
1512191707,0,1
1512193505,0,1
1512196206,0,1
1512283506,0,2
1512298812,3,0
1512304213,0,1
1512312312,1,0
1512315011,0,1
1512323108,0,1
1512332113,0,1
1512371711,1,0
1512378014,1,0
1512381617,0,1
1512387013,0,1
1512388816,0,2
1512404113,1,0
1512409515,0,1
1512426608,0,1
1512428411,1,0
1512435612,0,1
1512455413,1,0
1512471614,0,2
1512473414,1,0
1512479717,0,1
1512487817,1,0
1512493211,0,1
1512499511,0,1
1512518415,0,1
1512522014,0,1
1512523814,1,0
1512530110,1,0
1512543615,1,0
1512579609,1,0
1512602115,6,0
1512634513,0,1
1512636321,1,0
1512656116,0,2
1512662415,1,1
1512664212,0,1
1512673217,1,0
1512675916,2,0
1512682217,1,0
1512685816,0,1
1512720917,1,1
1512730817,4,0
1512740715,1,0
1512808206,0,1
1512813612,0,1
1512821713,0,1
1512886508,0,2
1512917108,0,1
1512922516,1,1
1512933312,5,0
1512935111,1,0
1512945919,3,0
1512947716,0,1
1512959417,1,0
1512987311,1,0
1513020617,1,1
1513022414,1,0
1513032308,0,1
1513066515,0,2
1513071014,1,0
1513086315,0,1
1513094415,1,0
1513152014,1,0
1513158315,2,0
1513168207,3,0
1513175414,1,0
1513182615,1,0
1513193407,0,2
1513251910,2,0
1513264513,1,0
1513288814,1,0
1513314910,0,2
1513316714,0,1
1513326611,2,2
1513329314,2,0
1513349111,1,0
1513350011,0,1
1513350910,1,0
1513362609,0,1
1513378810,1,0
1513407607,0,1
1513412107,0,1
1513424705,0,1
1513445412,1,0
1513450813,1,0
1513459812,1,0
1513464311,1,0
1513468814,1,0
1513510211,3,0
1513515613,4,0
1513544414,1,0
1513553417,1,0
1513557011,1,0
1513590317,1,0
1513599310,1,0
1513601110,2,0
1513633517,1,0
1513656912,1,0
1513683015,1,0
1513686613,1,0
1513709112,0,1
1513781112,1,0
1513788317,1,0
1513838716,1,0
1513849515,1,0
1513888213,0,1
1513889112,0,1
1513890912,0,1
1513892712,0,1
1513924217,2,0
1513935013,0,1
1513956617,0,1
1513984512,0,2
1513988116,0,1
1514016908,0,1
1514018712,0,1
1514022315,1,0
1514113208,1,0
1514116815,3,0
1514118615,3,0
1514134806,0,1
1514190617,1,0
1514201411,2,0
1514316613,0,1
1514338215,0,2
1514377808,0,1
1514417417,0,1
1514464207,0,1
1514473215,0,1
1514514606,0,1
1514623514,1,0
1514660410,0,1
1514727910,1,0
1514904315,1,2
1514934005,0,1
1514963706,0,1
1514987110,1,0
1514993411,3,0
1514996110,0,1
1515021310,0,1
1515048308,0,1
1515057310,1,0
1515080708,0,3
1515095110,1,0
1515106808,0,1
1515116707,0,1
1515134708,0,1
1515172505,0,1
1515230109,0,1
1515239109,1,0
1515258009,1,0
1515265208,0,1
1515267909,0,5
1515275107,0,2
1515294008,0,1
1515347107,0,1
1515416407,0,1
1515429907,0,1
1515526209,0,1
1515537910,0,3
1515540609,0,1
1515578407,0,1
1515663008,0,1
1515677407,0,1
1515687307,0,1
1515717009,1,0
1515741308,0,4
1515743107,0,1
1515750308,0,3
1515756611,1,0
1515758408,0,1
1515767409,0,1
1515777310,1,0
1515789906,1,0
1515870908,0,3
1515872709,1,0
1515879908,0,1
1515885307,0,1
1515890709,0,1
1515898810,0,1
1515933908,0,1
1515943810,0,1
1516010408,1,0
1516015808,1,0
1516021210,1,0
1516023010,4,0
1516026609,1,0
1516027509,1,0
1516033808,0,2
1516037407,0,1
1516055407,0,1
1516063509,0,1
1516065310,0,1
1516068008,0,1
1516093208,1,0
1516098608,0,2
1516102207,0,1
1516108508,1,0
1516110310,1,0
1516117507,1,0
1516135507,1,1
1516136407,0,1
1516148108,0,1
1516166108,1,0
1516169708,0,1
1516171509,1,0
1516175108,1,0
1516176908,1,1
1516180508,0,1
1516182309,0,1
1516185906,1,0
1516191310,1,1
1516193108,1,0
1516197610,1,0
1516217406,0,1
1516218309,0,1
1516225506,0,1
1516248008,1,0
1516249808,1,1
1516257007,2,0
1516267809,1,0
1516272309,1,1
1516275009,0,1
1516279509,5,0
1516292107,0,1
1516295708,1,0
1516304708,2,0
1516321809,1,0
1516329909,0,1
1516347909,0,1
1516348807,0,1
1516352408,1,0
1516356008,1,0
1516357809,1,0
1516358708,0,1
1516373109,3,1
1516374010,7,0
1516375810,1,0
1516383909,0,1
1516389307,0,1
1516401007,0,2
1516431607,1,0
1516445108,1,0
1516454109,1,0
1516459509,1,0
1516464007,1,0
1516488307,1,0
1516509908,1,0
1516516208,0,1
1516555808,0,1
1516602607,1,0
1516614309,0,2
1516623308,0,1
1516652109,0,1
1516658410,0,1
1516669207,0,1
1516684509,0,1
1516689908,0,1
1516696209,1,0
1516791608,0,1
