DateTime,AddedIPs,RemovedIPs
1516314721,2,0
1516315322,2,22
1516316522,1,3
1516317122,2,0
1516317722,0,1
1516318321,0,3
1516318921,0,3
1516319521,0,1
1516320121,1,2
1516320721,1,0
1516321322,12,0
1516321921,8,8
1516322521,1,6
1516323121,5,2
1516323721,5,0
1516324921,8,4
1516325522,12,16
1516326121,0,5
1516327321,0,17
1516328521,3,4
1516329122,1,0
1516329721,0,7
1516330322,4,0
1516330921,3,2
1516332122,0,5
1516332722,6,8
1516333321,1,0
1516333922,3,13
1516334522,2,0
1516335121,0,3
1516335722,1,2
1516336321,2,1
1516336922,1,0
1516338122,5,14
1516338722,1,5
1516340521,0,5
1516341122,1,0
1516341721,0,1
1516343522,2,0
1516345322,1,6
1516346522,0,4
1516347721,7,0
1516348922,2,1
1516350121,0,5
1516351322,0,1
1516352521,8,0
1516353722,0,13
1516354321,0,3
1516354922,1,2
1516355522,12,0
1516356121,0,3
1516356721,1,0
1516358522,0,4
1516360322,1,0
1516360921,0,1
1516361521,0,1
1516363322,5,3
1516364521,1,2
1516365121,0,3
1516365722,1,0
1516366322,0,1
1516367521,0,1
1516368122,13,26
1516369921,1,1
1516371721,0,1
1516372922,1,7
1516373521,0,5
1516374121,0,1
1516375922,0,2
1516376521,7,0
1516377721,0,2
1516378322,1,1
1516380121,2,2
1516380721,0,1
1516382522,0,17
1516383123,3,4
1516383721,2,0
1516385521,0,1
1516386122,2,1
1516386722,0,3
1516387322,1,0
1516388522,6,1
1516390921,1,0
1516391522,1,1
1516393321,2,8
1516393921,17,4
1516394521,9,3
1516395722,2,7
1516396322,0,12
1516396921,2,6
1516397521,3,1
1516399322,1,8
1516400521,5,1
1516401721,1,7
1516402321,9,0
1516402922,1,2
1516404121,1,0
1516405321,6,0
1516406521,0,12
1516407723,3,9
1516408322,0,9
1516408921,8,6
1516409521,3,0
1516410123,2,18
1516410721,2,0
1516412522,3,5
1516413122,7,2
1516413721,8,2
1516414921,1,1
1516415522,32,0
1516416121,2,0
1516416722,11,0
1516417321,3,8
1516417922,1,3
1516418521,1,5
1516419121,1,0
1516419722,0,4
1516420922,1,6
1516421522,12,0
1516422121,1,4
1516423322,2,4
1516424522,1,1
1516425122,0,1
1516426321,1,1
1516426921,1,0
1516428121,1,0
1516428721,1,0
1516429322,14,0
1516429921,0,4
1516430521,0,1
1516431721,2,2
1516432321,0,1
1516434121,10,10
1516435321,6,0
1516436522,5,1
1516437722,9,0
1516438921,3,8
1516439522,2,1
1516440122,2,0
1516441322,11,1
1516442521,2,3
1516443122,1,2
1516443722,3,1
1516445522,4,2
1516446721,0,4
1516449722,7,2
1516450322,0,2
1516450922,4,0
1516452121,0,5
1516452721,0,1
1516454522,23,10
1516455121,2,0
1516455721,2,0
1516456921,2,0
1516457521,3,1
1516459322,1,0
1516460521,5,1
1516461121,2,2
1516462923,23,5
1516464722,6,0
1516465921,1,0
1516466522,2,0
1516467722,0,1
1516468322,0,1
1516470122,27,4
1516471322,6,1
