DateTime,Entries,UniqueIPs
1516264321,1789,1840
1516266121,1785,1836
1516267321,1799,1851
1516267922,1800,1852
1516268522,1802,1854
1516269722,1796,1848
1516270322,1796,1849
1516270922,1795,1848
1516271521,1792,1845
1516272721,1797,1850
1516273321,1794,1847
1516273921,1785,1837
1516274521,1776,1831
1516275721,1775,1830
1516276922,1777,1833
1516277522,1774,1830
1516279322,1775,1831
1516281121,1767,1822
1516281722,1773,1829
1516282921,1786,1842
1516283521,1785,1841
1516284122,1786,1842
1516284721,1783,1839
1516285322,1784,1840
1516285922,1773,1829
1516287122,1772,1828
1516287721,1780,1837
1516288921,1779,1836
1516289521,1780,1837
1516291321,1774,1831
1516292522,1771,1828
1516293121,1770,1827
1516294322,1768,1824
1516295521,1767,1823
1516296721,1784,1840
1516297321,1786,1842
1516298522,1785,1841
1516300322,1784,1840
1516300922,1765,1821
1516303321,1764,1820
1516306922,1750,1806
1516307522,1759,1815
1516308121,1751,1807
1516308721,1752,1808
1516309322,1753,1809
1516309922,1754,1810
1516311721,1750,1806
1516312921,1751,1808
1516313521,1749,1806
1516314122,1747,1804
1516314721,1749,1806
1516315322,1751,1808
1516316522,1747,1804
1516317122,1748,1805
1516318321,1747,1804
1516318921,1732,1789
1516320121,1733,1790
1516320721,1734,1791
1516321322,1740,1797
1516321921,1747,1804
1516322521,1744,1801
1516323121,1737,1794
1516323721,1739,1796
1516324921,1742,1798
1516325522,1754,1810
1516326121,1753,1809
1516327321,1751,1807
1516328521,1740,1796
1516329122,1741,1797
1516330322,1742,1798
1516330921,1734,1790
1516332722,1732,1788
1516333321,1724,1780
1516333922,1727,1783
1516334522,1729,1785
1516335121,1722,1778
1516336321,1705,1761
1516336922,1697,1753
1516338122,1702,1758
1516339321,1701,1757
1516340521,1700,1756
1516342321,1696,1752
1516342922,1692,1748
1516343522,1694,1750
1516345322,1691,1747
1516346522,1686,1742
1516347721,1693,1749
1516348922,1693,1749
1516350121,1689,1745
1516351322,1686,1742
1516352521,1689,1745
1516353722,1680,1736
1516355522,1684,1740
1516356121,1674,1730
