DateTime,AddedIPs,RemovedIPs
1516383721,5,5
1516385521,6,6
1516386122,7,7
1516386722,2,2
1516387322,2,2
1516388522,10,10
1516389721,2,2
1516390921,4,4
1516391522,4,4
1516392121,1,1
1516393321,4,4
1516393921,19,19
1516394521,13,13
1516395722,6,6
1516396322,2,2
1516396921,4,4
1516397521,4,4
1516398122,5,5
1516399322,3,3
1516400521,8,8
1516401721,4,4
1516402321,11,11
1516402922,4,4
1516403522,5,5
1516404121,1,1
1516405321,11,11
1516406521,2,2
1516407723,4,4
1516408322,7,7
1516408921,10,10
1516409521,5,5
1516410123,4,4
1516410721,5,5
1516411323,3,3
1516412522,12,12
1516413122,10,10
1516413721,10,10
1516414322,5,5
1516414921,1,1
1516415522,34,34
1516416121,3,3
1516416722,16,16
1516417321,8,8
1516417922,2,2
1516418521,4,4
1516419121,2,2
1516419722,3,3
1516420922,4,4
1516421522,17,17
1516422121,5,5
1516423322,9,9
1516424522,6,6
1516425122,1,1
1516425722,1,1
1516426321,1,1
1516426921,5,5
1516428121,6,6
1516428721,3,3
1516429322,15,15
1516430521,7,7
1516431721,7,7
1516432321,9,9
1516432921,6,6
1516434121,14,14
1516435321,9,9
1516436522,6,6
1516437122,1,1
1516437722,11,11
1516438921,8,8
1516439522,4,4
1516440122,5,5
1516441322,15,15
1516442521,8,8
1516443122,6,6
1516443722,8,8
1516445522,10,10
1516446121,2,2
1516446721,3,3
1516447322,5,5
1516448522,2,2
1516449722,9,9
1516450322,1,1
1516450922,12,12
1516452121,4,4
1516452721,3,3
1516453321,3,3
1516454522,24,24
1516455121,3,3
1516455721,4,4
1516456321,3,3
1516456921,4,4
1516457521,5,5
1516458121,4,4
1516458721,4,4
1516459322,4,4
1516460521,10,10
1516461121,7,7
1516461721,2,2
1516462322,2,2
1516462923,23,23
1516463521,1,1
1516464122,6,6
1516464722,7,7
1516465322,1,1
1516465921,5,5
1516466522,3,3
1516467722,2,2
1516468322,2,2
1516468921,4,4
1516470122,32,32
1516471322,12,12
1516472522,17,17
1516473121,3,3
1516473722,3,3
1516474322,3,3
1516474921,1,1
1516475522,4,4
1516476122,8,8
1516477321,1,1
1516477921,2,2
1516478521,4,4
1516479721,5,5
1516480322,2,2
1516480921,8,8
1516482122,7,7
1516482722,7,7
1516483322,1,1
1516483921,8,8
1516484522,25,25
1516485721,10,10
1516486322,3,3
1516486922,5,5
1516488122,14,14
1516488722,4,4
1516489321,8,8
1516489921,2,2
1516490522,7,7
1516491121,2,2
1516491721,2,2
1516492922,22,22
1516494121,11,11
1516495323,18,18
1516496521,19,19
1516497122,7,7
1516497722,2,2
1516498922,6,6
1516499522,2,2
1516500121,9,9
1516500722,5,5
1516501321,28,28
1516502521,3,3
1516503722,4,4
1516504922,7,7
1516506121,5,5
1516507322,9,9
1516508522,9,9
1516509722,3,3
1516510322,7,7
1516510921,1,1
1516511521,2,2
1516512122,4,4
1516513322,1,1
1516514522,3,3
1516515121,3,3
1516515721,3,3
1516516321,3,3
1516516922,2,2
1516518122,5,5
1516519321,7,7
1516520522,14,14
1516521722,3,3
1516522322,4,4
1516522922,1,1
1516523522,1,1
1516524722,4,4
1516525321,4,4
1516525921,3,3
1516526522,4,4
1516527721,5,5
1516528321,3,3
1516528921,2,2
1516530122,2,2
1516530721,1,1
1516531321,3,3
1516531921,3,3
1516532521,3,3
1516533722,4,4
1516534921,11,11
1516536121,5,5
1516537322,4,4
1516538522,4,4
1516539721,6,6
1516540922,4,4
1516542121,1,1
1516543322,3,3
1516543921,2,2
1516545722,1,1
1516546321,3,3
1516546922,7,7
1516548121,2,2
1516548722,1,1
1516549321,2,2
1516549921,2,2
1516550522,2,2
1516551122,1,1
1516551722,3,3
1516552921,9,9
1516554121,5,5
1516555321,5,5
1516556522,3,3
1516557722,6,6
1516558922,4,4
1516560121,6,6
1516561322,7,7
1516561921,2,2
1516562522,4,4
1516563122,4,4
1516563721,4,4
1516564322,1,1
1516564921,13,13
1516565522,3,3
1516566122,3,3
1516566721,7,7
1516567321,3,3
1516567922,4,4
1516568521,7,7
1516569721,8,8
1516570921,30,30
1516571522,1,1
1516572122,4,4
1516573321,10,10
1516574522,4,4
1516575122,6,6
1516576321,4,4
1516576922,2,2
1516578122,4,4
1516579322,12,12
1516579921,5,5
1516580522,2,2
1516581123,11,11
1516581721,1,1
1516582322,15,15
1516582921,3,3
1516583521,4,4
1516584122,4,4
1516584722,3,3
1516585322,2,2
1516586522,14,14
1516587121,4,4
1516587721,3,3
1516588321,9,9
1516588921,3,3
1516589521,3,3
1516590122,3,3
1516590722,4,4
1516591321,13,13
1516592521,2,2
1516593721,5,5
1516594321,3,3
1516594922,7,7
1516595522,3,3
1516596121,7,7
1516596721,3,3
1516597322,1,1
1516598521,4,4
1516599121,2,2
1516599722,1,1
1516600921,2,2
1516601521,5,5
1516602121,3,3
1516603322,6,6
1516603922,4,4
1516604521,3,3
1516605721,3,3
1516606321,2,2
1516606921,3,3
1516608121,6,6
1516609322,3,3
1516610522,7,7
1516611122,2,2
1516611722,10,10
1516612921,4,4
1516613522,3,3
1516614122,4,4
1516614722,6,6
1516615322,6,6
1516615921,1,1
1516617721,2,2
1516618922,4,4
1516620121,3,3
1516620722,1,1
1516621322,1,1
1516622521,4,4
1516623121,4,4
1516623721,4,4
1516624922,2,2
1516625521,3,3
1516627321,3,3
1516628521,2,2
1516629721,1,1
1516630322,2,2
1516630922,2,2
1516631522,2,2
1516632122,7,7
1516632722,5,5
1516633322,4,4
1516634522,3,3
1516635122,2,2
1516635722,1,1
1516636321,4,4
1516636922,1,1
1516637522,2,2
1516638122,3,3
1516638721,2,2
1516639321,2,2
1516640521,2,2
1516641122,2,2
1516641722,2,2
1516642321,2,2
1516642921,2,2
1516644121,2,2
1516644721,5,5
1516645321,6,6
1516646522,4,4
1516647721,31,31
1516648321,2,2
1516650121,6,6
1516650722,8,8
1516651321,5,5
1516652522,7,7
1516653722,3,3
1516654922,2,2
1516655522,9,9
1516656722,4,4
1516657321,7,7
1516658522,2,2
1516659121,6,6
1516659721,3,3
1516660322,7,7
1516660921,9,9
1516662121,5,5
1516663321,3,3
1516663921,5,5
1516664521,1,1
1516665722,8,8
1516666922,21,21
1516667522,28,28
1516668121,4,4
1516669323,28,28
1516669922,27,27
1516670521,11,11
1516671723,19,19
1516672922,3,3
1516674122,11,11
1516674722,3,3
1516675321,25,25
1516676522,2,2
1516677722,8,8
1516678921,31,31
1516680122,9,9
1516680722,2,2
1516681322,7,7
1516682521,6,6
1516683121,2,2
1516683722,2,2
1516684322,11,11
1516684921,4,4
1516686121,5,5
1516686722,1,1
1516687322,1,1
1516688522,5,5
1516689121,5,5
1516689721,1,1
1516690322,6,6
1516691521,5,5
1516692121,2,2
1516693322,18,18
1516694522,10,10
1516695121,1,1
1516696922,7,7
1516698122,2,2
1516699321,2,2
1516700522,3,3
1516701721,1,1
1516702922,1,1
1516704122,32,32
1516704721,5,5
1516705322,4,4
1516706521,2,2
1516707122,2,2
1516707722,4,4
1516708322,3,3
1516708922,5,5
1516709521,6,6
1516710121,3,3
1516710721,6,6
1516711321,3,3
1516712521,7,7
1516713721,6,6
1516714321,3,3
1516714921,3,3
1516716122,3,3
1516717321,6,6
1516717922,2,2
1516718522,2,2
1516719722,3,3
1516720322,1,1
1516722121,4,4
1516723321,5,5
1516724521,4,4
1516725121,3,3
1516725721,3,3
1516726921,5,5
1516727521,2,2
1516728121,2,2
1516728722,5,5
1516729321,2,2
1516730521,5,5
1516731122,3,3
1516731721,1,1
1516732321,2,2
1516732922,1,1
1516733522,4,4
1516734122,1,1
1516734721,2,2
1516735322,7,7
1516735922,5,5
1516736522,1,1
1516737721,6,6
1516738321,3,3
1516738921,3,3
1516740122,6,6
1516740721,1,1
1516741322,1,1
1516741922,2,2
1516742522,6,6
1516743722,4,4
1516744321,9,9
1516744921,3,3
1516745521,3,3
1516746121,7,7
1516746722,3,3
1516747321,1,1
1516747922,1,1
1516748522,2,2
1516749721,12,12
1516750921,3,3
1516751521,1,1
1516752122,2,2
1516753322,6,6
1516754522,8,8
1516755721,8,8
1516756321,3,3
1516756921,3,3
1516757523,18,18
1516758122,1,1
1516759322,17,17
1516760521,3,3
1516761121,2,2
1516761722,4,4
1516762921,3,3
1516763523,23,23
1516764121,4,4
1516765322,7,7
1516765922,2,2
1516766522,2,2
1516767122,2,2
1516767722,10,10
1516768321,7,7
1516768921,4,4
1516769522,8,8
1516770121,4,4
1516770721,1,1
1516771322,3,3
1516771922,6,6
1516772522,2,2
1516773121,3,3
1516773722,3,3
1516774922,6,6
1516775522,2,2
1516776122,15,15
1516776722,1,1
1516777321,7,7
1516778522,3,3
1516779121,2,2
1516779721,2,2
1516780921,3,3
1516781521,2,2
1516782121,2,2
1516783321,10,10
1516784521,6,6
