DateTime,AddedIPs,RemovedIPs
1514984516,99,0
1514988117,104,0
1514991717,91,0
1514995317,92,0
1514998916,114,0
1515002516,77,0
1515006116,59,0
1515009716,69,0
1515013317,78,0
1515016917,68,0
1515021416,81,0
1515025016,70,2934
1515028617,79,0
1515033116,89,0
1515036717,59,0
1515040317,101,0
1515044817,276,0
1515048417,91,0
1515052017,73,0
1515055617,105,0
1515059217,89,0
1515062817,124,0
1515066417,222,0
1515070016,126,0
1515073617,168,0
1515077217,119,0
1515080817,156,0
1515084416,191,0
1515088017,66,0
1515091617,62,0
1515095217,57,0
1515098817,70,0
1515102416,62,0
1515106016,55,0
1515109617,51,0
1515113217,45,2084
1515116817,61,0
1515120417,78,0
1515124017,89,0
1515127616,84,0
1515131217,111,0
1515134817,98,0
1515138417,71,0
1515142017,71,0
1515145617,68,0
1515149217,101,0
1515152817,82,1
1515156417,89,0
1515160017,70,0
1515163617,101,0
1515167217,136,0
1515170817,77,0
1515174417,64,0
1515178017,79,0
1515181617,73,0
1515185217,68,0
1515188817,52,0
1515192417,41,0
1515196017,42,0
1515199617,43,2627
1515203218,56,0
1515206817,53,0
1515210417,195,0
1515214017,100,0
1515217617,100,0
1515221217,83,0
1515224817,95,0
1515228417,80,0
1515232017,109,0
1515235618,97,0
1515239218,84,0
1515242818,116,0
1515246417,101,0
1515250017,128,0
1515255417,178,0
1515259018,200,0
1515262617,67,0
1515266217,66,0
1515269817,60,0
1515273417,58,0
1515277017,58,0
1515280618,40,0
1515284217,39,1905
1515287817,60,0
1515291417,53,0
1515295018,52,0
1515298617,70,0
1515302217,141,0
1515305817,184,0
1515309417,64,0
1515313018,70,0
1515316618,68,0
1515320217,88,0
1515323818,77,0
1515327418,172,0
1515331018,103,0
1515334618,208,0
1515338218,78,0
1515341818,80,0
1515345417,80,0
1515349018,83,0
1515352618,76,0
1515356218,57,0
1515359818,47,0
1515363418,110,0
1515367018,79,0
1515370617,58,2038
1515374218,151,0
1515377818,136,0
1515381418,158,0
1515385018,123,0
1515388618,79,0
1515392218,85,0
1515395818,87,0
1515399418,157,0
1515403018,268,2
1515406618,209,0
1515410218,196,0
1515413818,152,0
1515417418,133,0
1515421018,147,1
1515424617,196,0
1515428218,198,0
1515431818,99,0
1515435418,58,0
1515439018,98,0
1515442618,74,0
1515446219,83,0
1515450719,96,0
1515454318,49,0
1515457918,86,2086
1515461518,78,0
1515465118,73,0
1515468718,61,0
1515472318,79,0
1515475919,177,0
1515479519,141,0
1515483118,102,0
1515486718,113,0
1515490318,128,0
1515493918,81,0
1515497518,79,0
1515501118,97,0
1515504718,105,0
1515508318,84,0
1515511918,85,0
1515515519,77,0
1515519118,103,0
1515522719,76,0
1515526319,68,0
1515529918,51,0
1515533518,74,0
1515537118,62,0
1515540719,57,0
1515544319,51,3156
1515547919,59,0
1515551518,70,0
1515555118,197,0
1515558719,163,0
1515562318,105,0
1515565919,109,0
1515569518,106,0
1515573119,101,0
1515576718,123,0
1515581218,146,0
1515584819,113,0
1515588419,91,0
1515592019,185,0
1515595618,99,0
1515599219,70,0
1515602819,99,0
1515606419,75,0
1515610018,100,0
1515613619,58,0
1515617218,52,0
1515620819,82,0
1515624419,86,0
1515628019,49,0
1515631619,58,2139
1515635219,82,0
1515638819,89,0
1515642419,119,0
1515646019,158,0
1515649619,125,0
1515653219,76,1
1515656819,105,0
1515660419,112,0
1515664019,97,0
1515667619,217,0
1515671219,149,0
1515674819,122,0
1515678419,118,0
1515682019,137,0
1515685619,95,0
1515689219,167,0
1515692819,71,0
1515696419,76,0
1515700020,67,0
1515703619,75,0
1515707219,40,0
1515710819,151,0
1515714419,43,0
1515718019,55,2350
1515721619,92,0
1515725219,110,0
1515728819,76,0
1515732419,163,0
1515736019,281,0
1515739619,138,0
1515743219,115,0
1515746819,96,0
1515750419,93,5
1515754019,125,0
1515757619,116,0
1515761220,99,0
1515764820,97,0
1515768419,115,0
1515772020,84,0
1515775620,86,0
1515779220,89,0
1515782819,79,0
1515786420,93,0
1515790019,91,0
1515793620,70,0
1515797219,95,0
1515800820,75,0
1515804419,116,2628
1515808019,86,0
1515811619,73,0
1515815219,72,0
1515818820,255,0
1515822420,183,0
1515826020,87,0
1515829620,129,0
1515833220,127,0
1515836820,107,0
1515840420,142,0
1515844020,88,0
1515847620,123,0
1515851219,182,0
1515857520,260,0
1515861119,111,0
1515864719,77,0
1515868320,71,0
1515871919,78,0
1515875520,49,0
1515879119,72,0
1515882720,89,0
1515886320,70,0
1515889920,56,2519
1515893520,55,0
1515897120,107,0
1515900720,162,0
1515904319,126,0
1515907920,104,0
1515911520,123,0
1515915120,165,0
1515918719,77,0
1515922320,62,0
1515925920,407,0
1515929520,107,0
1515933120,149,1
1515936720,120,0
1515940320,80,0
1515943920,70,0
1515947520,74,0
1515951120,82,0
1515954720,97,0
1515958320,125,0
1515961920,243,0
1515965519,94,0
1515969120,108,0
1515972720,47,0
1515976320,79,2581
1515979920,73,0
1515983520,93,0
1515987120,103,0
1515990720,122,0
1515994320,110,0
1515997920,141,0
1516001521,129,0
1516005120,139,0
1516008720,106,0
1516012320,102,0
1516015920,182,0
1516019520,121,0
1516023120,128,0
1516026720,162,0
1516030321,94,0
1516033920,81,0
1516037521,63,0
1516041120,125,0
1516044720,69,0
1516048321,72,0
1516051920,83,0
1516055520,46,0
1516059121,42,0
1516062720,42,2896
1516066320,66,0
1516069920,55,0
1516073520,75,0
1516077121,61,0
1516080720,66,0
1516084321,88,0
1516087920,125,0
1516091521,105,0
1516095121,104,0
1516098721,93,0
1516102320,337,0
1516105920,143,0
1516109520,139,0
1516113120,257,0
1516116721,206,0
1516120321,334,0
1516123920,154,0
1516127521,75,0
1516131121,81,0
1516134720,74,0
1516138320,61,0
1516141920,68,0
1516145520,52,0
1516149121,146,2389
1516152721,225,0
1516156321,90,0
1516159921,88,0
1516163521,72,0
1516167121,83,0
1516170721,189,0
1516174320,160,0
1516177921,126,0
1516181521,82,0
1516185121,107,2
1516188721,92,0
1516192320,125,0
1516195921,111,0
1516199521,89,0
1516203121,81,0
1516207621,89,0
1516211220,63,0
1516214821,76,0
1516218421,92,0
1516222021,64,0
1516225621,59,0
1516229221,68,0
1516232821,55,0
1516236421,46,2814
1516240021,64,0
1516243621,81,0
1516247221,57,0
1516250821,72,0
1516254421,91,0
1516258021,187,0
1516261621,255,0
1516265221,99,0
