DateTime,AddedIPs,RemovedIPs
1514438281,8,1
1514443674,0,1
1514445485,2,6
1514452689,1,5
1514459895,3,2
1514466224,0,1
1514467090,6,4
1514470685,0,1
1514472487,1,1
1514474285,3,5
1514477018,1,0
1514477888,2,2
1514479683,1,0
1514481475,4,7
1514485094,1,0
1514488691,7,4
1514495890,3,2
1514503989,4,5
1514510281,3,1
1514514793,0,1
1514517484,1,3
1514521094,1,0
1514522892,1,0
1514524688,7,2
1514531880,2,5
1514533687,0,1
1514538223,1,0
1514539088,5,3
1514546286,6,4
1514549021,0,1
1514553489,3,4
1514557081,0,1
1514560689,6,1
1514564293,0,1
1514566091,0,95
1514567888,11,4
1514571478,2,0
1514575081,3,6
1514582285,3,4
1514589487,6,3
1514596675,3,9
1514603887,5,6
1514604778,1,0
1514608376,1,0
1514611097,6,0
1514618281,3,3
1514619187,0,1
1514625484,4,7
1514628220,1,0
1514632687,1,0
1514639892,4,2
1514647083,4,4
1514654282,1,5
1514655175,7,0
1514661485,7,9
1514668685,1,2
1514675882,2,4
1514680376,0,1
1514683078,1,0
1514686682,1,1
1514690287,6,7
1514692084,1,0
1514697492,5,3
1514701973,1,0
1514704680,2,1
1514711882,2,4
1514715490,1,0
1514719087,2,7
1514722682,0,1
1514724483,0,1
1514726278,6,4
1514733486,3,5
1514737077,0,4
1514740688,2,4
1514747883,2,2
1514752391,1,0
1514755084,4,6
1514763186,2,4
1514769480,6,3
1514776675,13,8
1514783882,8,4
1514790218,1,0
1514791078,0,6
1514792882,0,1
1514798275,4,4
1514805482,3,1
1514812679,4,5
1514819873,5,5
1514821682,4,0
1514822622,0,13
1514827077,3,4
1514832475,1,1
1514834275,5,2
1514841469,1,2
1514848671,7,5
1514852275,0,1
1514855873,2,3
1514856770,0,1
1514863072,3,8
1514867578,0,1
1514870285,6,4
1514873873,1,0
1514877479,2,2
1514884681,5,3
1514886479,0,1
1514892777,5,6
1514899083,4,5
1514902684,0,1
1514906289,13,2
1514909017,0,1
1514913484,6,3
1514917086,0,1
1514918881,0,1
1514920687,4,3
1514922492,0,1
1514927881,2,3
1514928773,0,1
1514931481,3,0
1514935073,4,1
1514942274,3,3
1514949480,2,8
1514956693,10,3
1514961183,0,2
1514962081,0,3
1514963877,3,1
1514971090,7,2
1514978280,4,4
1514985481,5,4
1514989091,0,1
1514992682,11,2
1514993594,1,1
1514996277,0,1
1514997189,0,1
1514999018,0,4
1514999878,5,2
1515007083,7,4
1515014280,3,3
1515021473,1,0
1515028683,3,2
1515035876,1,7
1515043089,3,3
1515050277,1,3
1515057483,8,3
1515063830,0,2
1515064671,4,1
1515069184,0,1
1515071018,3,0
1515071879,5,3
1515077287,2,0
1515079097,9,5
1515082676,0,1
1515086278,1,4
1515091679,0,2
1515095281,5,7
1515097079,1,0
1515100679,8,1
1515104268,1,1
1515107876,10,2
1515111479,1,0
1515115083,3,4
1515122277,3,8
1515125878,0,1
1515129484,6,6
1515135809,0,2
1515136676,3,8
1515140281,0,1
1515143898,3,4
1515148366,0,1
