DateTime,Entries,UniqueIPs
1514438281,2023,2023
1514443674,2022,2022
1514445485,2018,2018
1514452689,2014,2014
1514459895,2015,2015
1514466224,2014,2014
1514467090,2016,2016
1514470685,2015,2015
1514472487,2015,2015
1514474285,2013,2013
1514477018,2014,2014
1514477888,2014,2014
1514479683,2015,2015
1514481475,2012,2012
1514485094,2013,2013
1514488691,2016,2016
1514495890,2017,2017
1514503989,2016,2016
1514510281,2018,2018
1514514793,2017,2017
1514517484,2015,2015
1514521094,2016,2016
1514522892,2017,2017
1514524688,2022,2022
1514531880,2019,2019
1514533687,2018,2018
1514538223,2019,2019
1514539088,2021,2021
1514546286,2023,2023
1514549021,2022,2022
1514553489,2021,2021
1514557081,2020,2020
1514560689,2025,2025
1514564293,2024,2024
1514566091,1929,1929
1514567888,1936,1936
1514571478,1938,1938
1514575081,1935,1935
1514582285,1934,1934
1514589487,1937,1937
1514596675,1931,1931
1514603887,1930,1930
1514604778,1931,1931
1514608376,1932,1932
1514611097,1938,1938
1514618281,1938,1938
1514619187,1937,1937
1514625484,1934,1934
1514628220,1935,1935
1514632687,1936,1936
1514639892,1938,1938
1514647083,1938,1938
1514654282,1934,1934
1514655175,1941,1941
1514661485,1939,1939
1514668685,1938,1938
1514675882,1936,1936
1514680376,1935,1935
1514683078,1936,1936
1514686682,1936,1936
1514690287,1935,1935
1514692084,1936,1936
1514697492,1938,1938
1514701973,1939,1939
1514704680,1940,1940
1514711882,1938,1938
1514715490,1939,1939
1514719087,1934,1934
1514722682,1933,1933
1514724483,1932,1932
1514726278,1934,1934
1514733486,1932,1932
1514737077,1928,1928
1514740688,1926,1926
1514747883,1926,1926
1514752391,1927,1927
1514755084,1925,1925
1514763186,1923,1923
1514769480,1926,1926
1514776675,1931,1931
1514783882,1935,1935
1514790218,1936,1936
1514791078,1930,1930
1514792882,1929,1929
1514798275,1929,1929
1514805482,1931,1931
1514812679,1930,1930
1514819873,1930,1930
1514821682,1934,1934
1514822622,1921,1921
1514827077,1920,1920
1514832475,1920,1920
1514834275,1923,1923
1514841469,1922,1922
1514848671,1924,1924
1514852275,1923,1923
1514855873,1922,1922
1514856770,1921,1921
1514863072,1916,1916
1514867578,1915,1915
1514870285,1917,1917
1514873873,1918,1918
1514877479,1918,1918
1514884681,1920,1920
1514886479,1919,1919
1514892777,1918,1918
1514899083,1917,1917
1514902684,1916,1916
1514906289,1927,1927
1514909017,1926,1926
1514913484,1929,1929
1514917086,1928,1928
