DateTime,AddedIPs,RemovedIPs
1514844176,3,1
1514847775,1,1
1514851374,1,2
1514854974,0,1
1514858575,2,1
1514862174,0,4
1514865776,2,0
1514869376,3,0
1514872975,1,0
1514876575,1,1
1514880175,3,6
1514883775,3,0
1514887375,1,5
1514891035,2,0
1514894575,1,0
1514898175,2,0
1514901776,1,4
1514905376,1,0
1514908976,1,3
1514912576,2,0
1514916175,1,4
1514919835,3,3
1514923377,2,1
1514926976,0,2
1514930575,1,1
1514934175,1,0
1514937775,2,2
1514941378,0,1
1514948575,2,2
1514952176,4,0
1514955776,3,2
1514959436,1,0
1514962976,2,2
1514966576,4,0
1514970176,2,3
1514973776,1,0
1514977377,3,1
1514980977,4,0
1514984576,1,1
1514988176,3,2
1514991776,3,1
1514995376,3,1
1514998976,1,0
1515002576,4,4
1515006236,2,0
1515009776,1,4
1515013376,1,0
1515016976,0,2
1515020587,1,2
1515024176,1,1
1515031377,1,7
1515038577,2,5
1515042177,1,0
1515049377,0,1
1515052977,2,0
1515056577,5,4
1515060177,3,0
1515063779,0,3
1515070977,3,0
1515074577,3,2
1515078177,3,1
1515081777,1,1
1515085377,1,2
1515088977,2,0
1515092577,3,2
1515096177,3,0
1515099782,5,4
1515103382,7,2
1515106982,2,0
1515110582,0,2
1515114182,2,0
1515117782,1,0
1515121382,1,0
1515124982,3,2
1515128582,2,2
1515132183,1,3
1515135783,1,0
1515139383,2,1
1515146583,2,0
1515150183,1,3
1515153783,1,2
1515157383,4,2
1515160983,1,3
1515164583,2,0
1515165544,1,2
1515168185,5,1
1515171789,1,0
1515175324,4,2
1515179001,4,0
1515182587,4,2
1515186128,1,0
1515189785,3,4
1515193385,1,0
1515196985,0,2
1515200585,1,0
1515204185,2,1
1515207785,1,2
1515211385,2,3
1515214985,1,0
1515218585,0,3
1515225792,3,5
1515229384,4,0
1515232987,0,3
1515236585,2,0
1515240185,3,0
1515247325,3,4
1515250987,2,1
1515254585,1,1
1515258186,2,3
1515261785,2,1
1515265393,2,0
1515268986,0,1
1515276126,1,0
1515279786,1,0
1515283390,4,4
1515286995,3,0
1515290550,0,2
1515294148,3,0
1515297741,0,6
1515301396,2,2
1515304997,1,4
1515308537,2,1
1515312149,2,0
1515315797,2,3
1515322996,1,1
1515330197,3,8
1515333737,2,0
1515337397,0,2
1515340997,1,0
1515344537,0,2
1515348198,1,0
1515351798,2,1
1515355337,2,0
1515358998,0,1
1515362537,4,1
1515366208,2,1
1515369797,1,0
1515373398,1,1
1515376998,1,0
1515380554,1,2
1515384197,2,4
1515387798,7,0
1515391398,0,1
1515394998,1,0
1515398597,4,0
1515402198,1,1
1515405737,3,2
1515409398,1,2
1515412997,1,0
1515416537,3,1
1515420198,1,2
1515423740,1,1
1515427398,1,1
1515430938,1,1
1515434598,2,0
1515438198,2,0
1515441799,1,1
1515445339,1,4
1515448940,2,1
1515452600,1,0
1515456198,1,0
1515463398,2,0
1515466998,1,2
1515470538,3,4
1515474140,3,0
1515477740,1,2
1515481339,2,1
1515484938,2,0
1515488598,1,3
1515491332,1,1
1515495773,2,1
1515499373,1,0
1515503038,3,1
1515506573,3,0
1515510173,1,1
1515513772,1,2
1515517372,1,0
1515520040,1,1
1515520995,1,0
1515524594,3,1
1515528194,4,1
1515531794,2,0
1515535394,2,0
1515538994,0,2
1515542594,3,0
1515546194,2,1
1515553394,3,1
1515556994,0,7
1515560594,5,0
1515564194,0,6
1515567795,1,0
1515571396,1,6
1515574996,3,0
1515578536,1,3
1515582136,0,2
1515585796,1,3
1515589336,3,0
1515592936,2,3
1515600196,8,2
1515603796,1,1
1515607396,1,6
1515610936,1,7
1515614536,2,0
1515618196,4,3
1515621796,3,1
1515625397,2,0
1515628937,1,3
1515632618,0,1
1515636234,1,0
1515639804,2,3
1515643398,2,0
1515646939,3,1
1515654199,2,6
1515657799,1,2
1515661338,1,3
1515665000,0,1
1515668599,1,0
1515672199,2,5
1515675739,3,1
1515679340,4,1
1515682999,4,0
1515686599,2,1
1515690139,1,2
1515693799,6,2
1515697399,1,1
1515701000,2,7
1515704539,2,0
1515708139,2,1
1515711800,1,1
1515718941,1,3
1515722602,3,0
1515726203,2,4
1515729803,2,0
1515733404,1,2
1515736943,3,0
1515740603,3,2
1515744142,1,4
1515747742,0,2
1515751342,1,0
1515754942,1,1
1515758603,3,0
1515762203,0,13
1515765743,1,2
1515769342,1,0
1515772942,0,2
1515776543,2,1
1515780143,1,3
1515783803,1,6
1515787412,2,0
1515791012,3,0
1515794552,1,1
1515798152,2,1
1515801812,2,0
1515805412,0,1
1515808952,4,2
1515812612,3,2
1515816152,1,2
1515819753,2,1
1515823412,2,2
1515826952,2,3
1515830554,2,0
1515834152,1,4
1515841412,1,7
1515845012,2,0
1515848612,1,2
1515852153,0,2
1515855753,4,0
1515859352,1,8
1515862953,1,0
1515866553,1,3
1515870152,2,2
1515873753,0,2
1515877353,6,0
1515880955,6,1
1515884555,1,1
1515888156,1,0
1515891755,1,0
1515895355,0,3
1515898955,2,0
1515902556,2,4
1515906216,2,0
1515909755,1,2
1515916956,4,3
1515920616,1,3
1515924156,0,2
1515927755,2,0
1515931416,1,0
1515935015,1,3
1515942157,5,1
1515945756,2,1
1515949416,1,0
1515952957,2,4
1515956616,3,0
1515960156,2,2
1515963758,4,0
1515967417,1,1
1515970957,2,3
1515974556,1,1
1515978216,2,0
1515981756,1,1
1515985356,2,0
1515988957,1,3
1515992616,3,3
1515999756,1,1
1516003358,3,6
1516006957,1,0
1516010617,0,5
1516014157,1,0
1516017757,3,0
1516021357,1,4
1516024957,2,0
1516028557,1,1
1516032217,3,5
1516035757,3,0
1516039358,1,3
1516042957,6,4
1516046557,1,0
1516050157,2,0
1516053758,1,1
1516057358,2,0
1516060957,0,1
1516068238,4,1
1516071778,17,0
1516075379,2,2
1516078978,2,5
1516082578,1,2
1516086180,3,0
1516089778,3,4
1516093379,2,1
1516096978,0,1
1516100578,4,0
1516104179,0,4
1516107779,2,0
1516111379,1,0
1516114979,3,0
1516118578,0,1
1516122179,4,3
1516125779,4,0
1516129379,5,3
1516132980,1,0
1516136580,1,5
1516140179,3,1
1516143780,3,0
1516147379,1,1
1516151008,3,0
1516154580,0,3
1516158180,2,0
1516161779,1,0
1516165379,4,7
1516172579,2,0
1516176180,4,5
1516183380,2,2
1516186980,3,0
1516190579,2,2
1516194179,2,1
1516197780,0,3
1516201380,2,1
1516204980,1,6
1516208580,0,7
1516212181,3,1
1516215781,2,0
1516219382,1,6
1516222980,0,1
1516226582,2,5
1516230181,20,1
1516233721,9,1
1516237380,14,1
1516240981,9,0
1516244580,2,2
1516248185,0,4
1516251785,3,0
1516255385,2,3
1516258925,2,0
1516262585,0,2
1516266185,3,1
1516269726,1,1
1516273386,1,5
1516276986,2,0
1516280585,1,4
1516284185,1,0
1516287786,1,24
1516294928,1,3
1516298588,0,4
1516302188,1,0
1516305788,1,0
1516309387,1,1
1516312988,2,3
1516316587,0,2
1516320128,2,0
1516323788,1,1
1516327388,1,1
1516330988,2,6
1516338131,1,2
1516341791,0,2
1516345394,3,2
1516348935,1,1
1516352534,2,0
1516356135,1,1
1516363394,1,3
1516366995,4,0
1516370595,2,3
1516374135,2,0
1516377795,2,3
1516381335,2,0
1516384995,3,3
