DateTime,Entries,UniqueIPs
1514844176,1045,1122
1514847775,1045,1122
1514851374,1044,1121
1514854974,1043,1120
1514858575,1044,1121
1514862174,1040,1117
1514865776,1042,1119
1514869376,1045,1122
1514872975,1046,1123
1514876575,1046,1123
1514880175,1043,1120
1514883775,1046,1123
1514887375,1042,1119
1514891035,1044,1121
1514894575,1045,1122
1514898175,1047,1124
1514901776,1044,1121
1514905376,1045,1122
1514908976,1043,1120
1514912576,1045,1122
1514916175,1042,1119
1514919835,1042,1119
1514923377,1043,1120
1514926976,1041,1118
1514930575,1041,1118
1514934175,1042,1119
1514937775,1042,1119
1514941378,1041,1118
1514948575,1041,1118
1514952176,1045,1122
1514955776,1046,1123
1514959436,1047,1124
1514962976,1048,1124
1514966576,1052,1128
1514970176,1051,1127
1514973776,1052,1128
1514977377,1054,1130
1514980977,1058,1134
1514984576,1058,1134
1514988176,1059,1135
1514991776,1061,1137
1514995376,1063,1139
1514998976,1064,1140
1515002576,1063,1140
1515006236,1065,1142
1515009776,1062,1139
1515013376,1063,1140
1515016976,1061,1138
1515020587,1060,1137
1515024176,1060,1137
1515031377,1054,1131
1515038577,1051,1128
1515042177,1052,1129
1515049377,1051,1128
1515052977,1053,1130
1515056577,1054,1131
1515060177,1057,1134
1515063779,1054,1131
1515070977,1057,1134
1515074577,1058,1135
1515078177,1060,1137
1515081777,1059,1137
1515085377,1058,1136
1515088977,1060,1138
1515092577,1061,1139
1515096177,1064,1142
1515099782,1065,1143
1515103382,1069,1148
1515106982,1071,1150
1515110582,1069,1148
1515114182,1071,1150
1515117782,1072,1151
1515121382,1073,1152
1515124982,1074,1153
1515128582,1074,1153
1515132183,1072,1151
1515135783,1073,1152
1515139383,1074,1153
1515146583,1076,1155
1515150183,1074,1153
1515153783,1073,1152
1515157383,1075,1154
1515160983,1073,1152
1515164583,1075,1154
1515165544,1074,1153
1515168185,1078,1157
1515171789,1079,1158
1515175324,1080,1160
1515179001,1084,1164
1515182587,1086,1166
1515186128,1087,1167
1515189785,1086,1166
1515193385,1087,1167
1515196985,1085,1165
1515200585,1086,1166
1515204185,1087,1167
1515207785,1086,1166
1515211385,1085,1165
1515214985,1086,1166
1515218585,1083,1163
1515225792,1081,1161
1515229384,1085,1165
1515232987,1082,1162
1515236585,1084,1164
1515240185,1087,1167
1515247325,1086,1166
1515250987,1087,1167
1515254585,1087,1167
1515258186,1086,1166
1515261785,1087,1167
1515265393,1089,1169
1515268986,1088,1168
1515276126,1089,1169
1515279786,1090,1170
1515283390,1090,1170
1515286995,1093,1173
1515290550,1091,1171
1515294148,1094,1174
1515297741,1088,1168
1515301396,1088,1168
1515304997,1085,1165
1515308537,1086,1166
1515312149,1088,1168
1515315797,1087,1167
1515322996,1087,1167
1515330197,1082,1162
1515333737,1084,1164
1515337397,1082,1162
1515340997,1083,1163
1515344537,1081,1161
1515348198,1082,1162
1515351798,1083,1163
1515355337,1085,1165
1515358998,1084,1164
1515362537,1087,1167
1515366208,1088,1168
1515369797,1089,1169
1515373398,1089,1169
1515376998,1090,1170
1515380554,1089,1169
1515384197,1087,1167
1515387798,1094,1174
1515391398,1093,1173
1515394998,1094,1174
1515398597,1098,1178
1515402198,1098,1178
1515405737,1100,1179
1515409398,1099,1178
1515412997,1100,1179
1515416537,1102,1181
1515420198,1101,1180
1515423740,1101,1180
1515427398,1101,1180
1515430938,1101,1180
1515434598,1103,1182
1515438198,1105,1184
1515441799,1105,1184
1515445339,1102,1181
1515448940,1102,1182
1515452600,1103,1183
1515456198,1104,1184
1515463398,1106,1186
1515466998,1105,1185
1515470538,1104,1184
1515474140,1107,1187
1515477740,1106,1186
1515481339,1107,1187
1515484938,1109,1189
1515488598,1107,1187
1515491332,1107,1187
1515495773,1108,1188
1515499373,1109,1189
1515503038,1111,1191
1515506573,1114,1194
1515510173,1114,1194
1515513772,1113,1193
1515517372,1114,1194
1515520040,1114,1194
1515520995,1115,1195
1515524594,1117,1197
1515528194,1120,1200
1515531794,1122,1202
1515535394,1124,1204
1515538994,1122,1202
1515542594,1125,1205
1515546194,1126,1206
1515553394,1128,1208
1515556994,1121,1201
1515560594,1126,1206
1515564194,1120,1200
1515567795,1121,1201
1515571396,1117,1196
1515574996,1120,1199
1515578536,1118,1197
1515582136,1116,1195
1515585796,1114,1193
1515589336,1117,1196
1515592936,1116,1195
1515600196,1121,1201
1515603796,1121,1201
1515607396,1116,1196
1515610936,1110,1190
1515614536,1112,1192
1515618196,1112,1193
1515621796,1114,1195
1515625397,1116,1197
1515628937,1114,1195
1515632618,1113,1194
1515636234,1114,1195
1515639804,1113,1194
1515643398,1115,1196
1515646939,1117,1198
1515654199,1113,1194
1515657799,1112,1193
1515661338,1110,1191
1515665000,1109,1190
1515668599,1110,1191
1515672199,1107,1188
1515675739,1109,1190
1515679340,1112,1193
1515682999,1115,1197
1515686599,1116,1198
1515690139,1116,1197
1515693799,1120,1201
1515697399,1120,1201
1515701000,1115,1196
1515704539,1117,1198
1515708139,1118,1199
1515711800,1118,1199
1515718941,1116,1197
1515722602,1119,1200
1515726203,1117,1198
1515729803,1119,1200
1515733404,1118,1199
1515736943,1121,1202
1515740603,1122,1203
1515744142,1120,1200
1515747742,1118,1198
1515751342,1119,1199
1515754942,1119,1199
1515758603,1122,1202
1515762203,1110,1189
1515765743,1109,1188
1515769342,1110,1189
1515772942,1108,1187
1515776543,1109,1188
1515780143,1107,1186
1515783803,1102,1181
1515787412,1104,1183
1515791012,1107,1186
1515794552,1107,1186
1515798152,1108,1187
1515801812,1110,1189
1515805412,1109,1188
1515808952,1111,1190
1515812612,1112,1191
1515816152,1111,1190
1515819753,1112,1191
1515823412,1112,1191
1515826952,1112,1190
1515830554,1114,1192
1515834152,1111,1189
1515841412,1105,1183
1515845012,1107,1185
1515848612,1106,1184
1515852153,1104,1182
1515855753,1108,1186
1515859352,1101,1179
1515862953,1102,1180
1515866553,1100,1178
1515870152,1100,1178
1515873753,1098,1176
1515877353,1104,1182
1515880955,1108,1187
1515884555,1108,1187
1515888156,1109,1188
1515891755,1110,1189
1515895355,1107,1186
1515898955,1109,1188
1515902556,1107,1186
1515906216,1109,1188
1515909755,1108,1187
1515916956,1109,1188
1515920616,1107,1186
1515924156,1105,1184
1515927755,1107,1186
1515931416,1108,1187
1515935015,1106,1185
1515942157,1110,1189
1515945756,1111,1190
1515949416,1112,1191
1515952957,1110,1189
1515956616,1113,1192
1515960156,1113,1192
1515963758,1117,1196
1515967417,1117,1196
1515970957,1116,1195
1515974556,1116,1195
1515978216,1118,1197
1515981756,1118,1197
1515985356,1120,1199
1515988957,1118,1197
1515992616,1118,1197
1515999756,1118,1197
1516003358,1115,1194
1516006957,1116,1195
1516010617,1111,1190
1516014157,1112,1191
1516017757,1115,1194
1516021357,1112,1191
1516024957,1114,1193
1516028557,1114,1193
1516032217,1112,1191
1516035757,1115,1194
1516039358,1113,1192
1516042957,1115,1194
1516046557,1116,1195
1516050157,1118,1197
1516053758,1118,1197
1516057358,1120,1199
1516060957,1119,1198
1516068238,1122,1201
1516071778,1128,1218
1516075379,1128,1218
1516078978,1125,1215
1516082578,1124,1214
1516086180,1127,1217
1516089778,1126,1216
1516093379,1127,1217
1516096978,1126,1216
1516100578,1130,1220
1516104179,1126,1216
1516107779,1128,1218
1516111379,1129,1219
1516114979,1132,1222
1516118578,1131,1221
1516122179,1132,1222
1516125779,1136,1226
1516129379,1138,1228
1516132980,1139,1229
1516136580,1135,1225
1516140179,1137,1227
1516143780,1140,1230
1516147379,1140,1230
1516151008,1143,1233
1516154580,1140,1230
1516158180,1142,1232
1516161779,1143,1233
1516165379,1140,1230
1516172579,1142,1232
1516176180,1141,1231
1516183380,1141,1231
1516186980,1144,1234
1516190579,1144,1234
1516194179,1145,1235
1516197780,1142,1232
1516201380,1143,1233
1516204980,1137,1228
1516208580,1130,1221
1516212181,1132,1223
1516215781,1134,1225
1516219382,1129,1220
1516222980,1128,1219
1516226582,1125,1216
1516230181,1133,1235
1516233721,1133,1243
1516237380,1136,1256
1516240981,1140,1265
1516244580,1140,1265
1516248185,1136,1261
1516251785,1139,1264
1516255385,1138,1263
1516258925,1140,1265
1516262585,1138,1263
1516266185,1140,1265
1516269726,1140,1265
1516273386,1136,1261
1516276986,1138,1263
1516280585,1135,1260
1516284185,1136,1261
1516287786,1128,1238
1516294928,1126,1236
1516298588,1122,1232
1516302188,1123,1233
1516305788,1124,1234
1516309387,1124,1234
1516312988,1123,1233
1516316587,1121,1231
1516320128,1123,1233
1516323788,1123,1233
1516327388,1123,1233
1516330988,1119,1229
1516338131,1118,1228
1516341791,1116,1226
1516345394,1117,1227
1516348935,1117,1227
1516352534,1119,1229
1516356135,1119,1229
1516363394,1117,1227
1516366995,1121,1231
1516370595,1120,1230
1516374135,1122,1232
1516377795,1121,1231
1516381335,1123,1233
1516384995,1123,1233
1516388595,1125,1235
1516392195,1127,1237
1516395795,1125,1235
1516399335,1126,1236
1516402995,1125,1235
1516406596,1120,1230
1516410136,1118,1228
1516413796,1119,1229
1516417395,1116,1226
1516420995,1114,1224
1516424595,1115,1225
1516428195,1116,1226
1516431736,1116,1226
1516435395,1113,1223
1516438936,1111,1221
1516442595,1110,1220
1516446195,1111,1221
1516449796,1107,1217
1516453396,1108,1218
1516456995,1107,1217
1516460596,1104,1214
1516464136,1105,1215
1516467736,1105,1215
1516471396,1107,1217
1516474936,1108,1218
1516478596,1109,1219
1516482196,1111,1221
1516485796,1112,1222
1516489396,1114,1224
1516492997,1114,1224
1516496536,1113,1223
1516503796,1111,1221
1516510997,1111,1221
1516518197,1107,1217
1516521797,1108,1218
1516525397,1108,1218
1516528997,1105,1215
1516532537,1101,1211
1516536136,1098,1208
1516543397,1096,1206
1516546997,1094,1204
1516550597,1096,1206
1516554197,1096,1207
1516557797,1097,1208
1516561337,1099,1210
1516564997,1098,1209
1516568537,1094,1205
1516609990,1089,1200
1516610791,1091,1202
1516615374,1093,1204
1516618974,1096,1207
1516622574,1095,1206
1516628814,1092,1203
1516629775,1092,1201
1516633375,1088,1197
1516636975,1087,1196
1516640575,1087,1196
1516644175,1091,1200
1516647774,1089,1198
1516651434,1091,1200
1516654975,1091,1199
1516658575,1088,1196
1516662177,1089,1197
1516669375,1090,1198
1516672975,1086,1194
1516676575,1087,1195
1516680175,1083,1191
1516683775,1084,1192
1516687375,1083,1191
1516690975,1084,1192
1516694575,1083,1191
1516698175,1085,1193
1516701776,1081,1189
1516705389,1085,1193
1516709067,1082,1190
1516716194,1084,1192
1516719733,1079,1187
1516723334,1075,1183
1516727002,1074,1182
1516730601,1074,1182
1516734201,1076,1184
1516737803,1073,1181
1516745002,1071,1179
1516748541,1072,1180
1516752202,1070,1178
1516755807,1068,1176
1516759406,1069,1177
1516763005,1068,1176
1516766544,1066,1174
1516770204,1067,1175
1516773804,1063,1170
1516777404,1065,1172
1516781005,1068,1167
1516788204,1068,1167
1516791804,1066,1165
