DateTime,AddedIPs,RemovedIPs
1514926976,2,3
1514930575,1,0
1514934175,4,1
1514937775,2,2
1514941378,0,2
1514944976,0,1
1514948575,3,1
1514952176,5,4
1514955776,5,4
1514959436,1,4
1514962976,2,3
1514966576,5,6
1514970176,3,3
1514973776,1,4
1514977377,3,2
1514980977,4,3
1514984576,2,2
1514988176,9,0
1514991776,4,5
1514995376,4,3
1514998976,2,2
1515002576,4,11
1515006236,3,7
1515009776,1,1
1515013376,1,3
1515016976,2,1
1515020587,3,2
1515024176,1,3
1515027777,0,1
1515031377,1,1
1515034977,0,3
1515038577,3,3
1515042177,1,1
1515049377,0,3
1515052977,3,3
1515056577,7,5
1515060177,3,4
1515063779,1,1
1515067377,1,2
1515070977,4,4
1515074577,3,1
1515078177,3,3
1515081777,1,1
1515085377,2,3
1515088977,4,2
1515092577,5,1
1515096177,4,6
1515099782,5,10
1515103382,8,14
1515106982,2,0
1515110582,0,2
1515114182,2,2
1515117782,1,2
1515121382,2,2
1515124982,3,5
1515128582,2,1
1515132183,2,1
1515135783,1,3
1515139383,3,7
1515142983,1,2
1515146583,2,2
1515150183,1,1
1515153783,1,2
1515157383,5,3
1515160983,25,11
1515164583,4,3
1515165544,2,1
1515168185,11,1
1515171789,3,1
1515175324,5,3
1515179001,4,5
1515182587,4,3
1515186128,1,0
1515189785,3,3
1515193385,1,1
1515200585,2,1
1515204185,3,4
1515207785,1,2
1515211385,3,2
1515214985,1,3
1515218585,1,1
1515222185,0,3
1515225792,3,3
1515229384,5,6
1515232987,0,2
1515236585,2,4
1515240185,3,4
1515243785,1,6
1515247325,4,2
1515250987,2,1
1515254585,4,14
1515258186,3,1
1515261785,5,3
1515265393,2,1
1515268986,0,4
1515272586,1,2
1515276126,1,0
1515279786,1,1
1515283390,4,1
1515286995,4,1
1515294148,3,5
1515297741,1,2
1515301396,3,3
1515304997,1,2
1515308537,4,2
1515312149,2,3
1515315797,3,4
1515319397,0,3
1515322996,1,2
1515326537,1,0
1515330197,4,4
1515333737,3,5
1515337397,2,1
1515340997,5,4
1515348198,2,5
1515351798,3,1
1515355337,2,1
1515358998,0,3
1515362537,4,1
1515366208,3,3
1515369797,2,1
1515373398,1,0
1515376998,2,0
1515380554,2,3
1515384197,4,3
1515387798,9,3
1515391398,0,2
1515394998,1,2
1515398597,7,5
1515402198,2,2
1515405737,4,0
1515409398,1,5
1515412997,2,2
1515416537,4,2
1515420198,2,2
1515423740,2,1
1515427398,2,6
1515430938,2,1
1515434598,3,3
1515438198,3,4
1515441799,1,2
1515445339,2,0
1515448940,3,3
1515452600,1,0
1515456198,1,1
1515463398,2,2
1515466998,2,4
1515470538,4,2
1515474140,4,5
1515477740,2,2
1515481339,3,20
1515484938,2,4
1515488598,2,7
1515491332,2,1
1515492173,2,1
1515495773,2,0
1515499373,2,0
1515503038,4,4
1515506573,4,1
1515510173,5,1
1515513772,2,1
1515517372,1,0
1515520040,3,3
1515520995,3,0
1515524594,6,2
1515528194,4,3
1515531794,4,7
1515535394,23,1
1515538994,1,1
1515542594,4,0
1515546194,2,1
1515553394,3,4
1515556994,0,1
1515560594,6,5
1515564194,0,3
1515567795,2,1
1515571396,2,4
1515574996,4,3
1515578536,2,1
1515582136,1,2
1515585796,1,2
1515589336,3,2
1515592936,2,3
1515596596,0,6
1515600196,8,7
1515603796,2,5
1515607396,2,7
1515610936,3,1
1515614536,4,7
1515618196,7,3
1515621796,4,3
1515625397,2,2
1515628937,1,1
1515632618,2,1
1515636234,1,3
1515639804,2,2
1515643398,2,2
1515646939,3,2
1515650602,0,3
1515654199,3,2
1515657799,2,2
1515661338,1,1
1515665000,0,1
1515668599,1,3
1515672199,2,4
1515675739,4,3
1515679340,7,4
1515682999,5,25
1515686599,2,3
1515690139,4,0
1515693799,8,3
1515697399,1,4
1515701000,2,1
1515704539,3,1
1515708139,3,3
1515711800,1,2
1515715340,0,2
1515718941,1,1
1515722602,5,2
1515726203,3,3
1515729803,3,3
1515733404,2,2
1515736943,3,0
1515740603,3,2
1515744142,2,2
1515744924,0,2
1515751342,3,2
1515754942,2,0
1515758603,4,4
1515762203,1,4
1515765743,3,2
1515769342,5,2
1515772942,1,1
1515776543,3,6
1515780143,1,1
1515783803,1,7
1515787412,4,1
1515791012,4,2
1515794552,2,1
1515798152,2,1
1515801812,2,3
1515805412,0,2
1515808952,4,3
1515812612,3,5
1515816152,1,2
1515819753,2,4
1515823412,2,2
1515826952,3,2
1515830554,3,5
1515834152,1,3
1515837753,1,0
1515841412,1,2
1515845012,3,7
1515848612,1,2
1515852153,1,1
1515855753,4,5
1515859352,2,5
1515862953,1,5
1515866553,1,1
1515870152,3,0
1515873753,1,1
1515877353,6,3
1515880955,7,1
1515884555,1,0
1515888156,1,1
1515891755,2,2
1515895355,1,1
1515898955,2,2
1515902556,3,2
1515906216,2,1
1515909755,1,0
1515913356,0,2
1515916956,4,3
1515920616,1,1
1515924156,0,4
1515927755,3,4
1515931416,2,2
1515935015,1,2
1515938555,0,1
1515942157,6,3
1515945756,4,4
1515949416,1,3
1515952957,5,1
1515956616,4,1
1515960156,3,3
1515963758,4,5
1515967417,1,3
1515970957,2,0
1515974556,1,6
1515978216,3,0
1515981756,2,2
1515985356,2,2
1515988957,1,1
1515992616,4,2
1515996156,0,1
1515999756,1,6
1516003358,4,4
1516006957,1,1
1516010617,0,6
1516014157,3,3
1516017757,3,1
1516021357,1,1
1516024957,5,3
1516028557,3,3
1516032217,4,6
1516035757,3,2
1516039358,1,9
1516042957,10,2
1516046557,4,5
1516050157,5,0
1516053758,1,1
1516057358,2,4
1516060957,1,0
1516064557,1,0
1516068238,6,3
1516071778,17,4
1516075379,2,7
1516078978,2,1
1516082578,4,4
1516086180,3,4
1516089778,4,8
1516093379,3,1
1516100578,6,7
1516104179,1,3
1516107779,2,1
1516111379,2,1
1516114979,3,4
1516118578,2,2
1516122179,5,6
1516125779,4,4
1516129379,8,4
1516132980,3,2
1516136580,1,4
1516140179,3,5
1516143780,4,3
1516147379,1,3
1516151008,3,3
1516154580,1,0
1516158180,3,4
1516161779,3,2
1516165379,5,4
1516168980,0,2
1516172579,3,5
1516176180,5,5
1516179779,2,6
1516183380,4,1
1516186980,3,2
1516190579,3,3
1516194179,3,11
1516197780,0,1
1516201380,3,3
1516204980,2,4
1516208580,2,8
1516212181,3,5
1516215781,4,4
1516219382,3,4
1516222980,6,1
1516226582,3,3
1516230181,21,3
1516233721,9,2
1516237380,14,0
1516240981,12,7
1516244580,2,2
1516248185,1,2
1516251785,3,5
1516255385,3,2
1516258925,2,3
1516262585,0,5
1516266185,5,2
1516269726,2,3
1516273386,1,4
1516276986,3,2
1516280585,1,3
1516284185,2,4
1516287786,1,3
1516291388,2,1
1516294928,5,2
1516298588,0,1
1516302188,1,3
1516305788,1,2
1516309387,1,3
1516312988,3,5
1516316587,1,0
1516320128,4,1
1516323788,1,1
1516327388,2,2
1516330988,2,1
1516338131,4,3
1516341791,0,2
1516345394,3,4
1516348935,1,2
1516352534,6,0
1516356135,1,3
1516359795,4,2
1516363394,4,2
1516366995,5,5
1516370595,2,4
1516374135,3,0
1516377795,2,4
1516381335,4,3
1516384995,4,2
1516388595,5,0
1516392195,3,5
1516395795,1,1
1516399335,3,0
1516402995,0,2
1516406596,2,1
1516410136,2,0
1516413796,2,1
1516417395,2,2
1516420995,1,0
1516424595,4,3
1516428195,1,3
1516431736,4,2
1516435395,2,3
1516438936,0,2
1516442595,1,0
1516446195,2,5
1516449796,3,6
1516453396,1,1
1516456995,3,3
1516460596,2,0
1516464136,1,1
1516467736,4,5
1516471396,4,2
1516474936,3,3
1516478596,3,7
1516482196,2,4
1516485796,2,1
