DateTime,AddedIPs,RemovedIPs
1514166970,14,15
1514174692,15,13
1514178593,11,21
1514182421,11,18
1514186270,13,17
1514190067,13,17
1514193910,19,10
1514197750,6,16
1514202511,17,15
1514210543,27,22
1514214298,7,6
1514218193,11,11
1514222243,14,12
1514226069,11,13
1514233744,50,39
1514237613,12,11
1514241671,19,21
1514245538,25,23
1514249340,24,20
1514253192,19,29
1514257040,16,20
1514260911,14,13
1514264727,13,11
1514268572,11,11
1514272429,13,11
1514276261,12,14
1514280086,10,8
1514283981,18,21
1514288041,19,23
1514291840,15,20
1514295758,10,16
1514299512,13,12
1514303339,11,17
1514311027,22,26
1514314764,22,24
1514318521,21,21
1514330256,36,35
1514334330,9,11
1514338160,10,8
1514341990,5,5
1514345856,6,6
1514349685,7,3
1514353533,11,8
1514357355,7,7
1514361216,6,8
1514365049,12,6
1514369099,17,18
1514372973,9,12
1514377068,9,12
1514381163,11,13
1514385228,6,4
1514389299,4,4
1514393111,5,7
1514405613,18,16
1514409472,3,8
1514413274,9,9
1514417142,8,10
1514420970,8,17
1514424835,5,16
1514436532,14,14
1514444269,16,10
1514451900,16,5
1514455829,2,2
1514459872,3,2
1514463964,5,4
1514467782,6,8
1514471613,5,2
1514475370,6,7
1514479491,4,1
1514483365,3,2
1514491016,24,15
1514494885,11,11
1514502581,21,12
1514506630,6,7
1514510482,10,11
1514514283,4,1
1514518183,10,4
1514522025,6,3
1514525841,5,6
1514529928,6,13
1514533785,8,5
1514537878,9,11
1514541682,7,9
1514545507,8,6
1514549497,7,13
1514553449,10,7
1514568837,26,32
1514572638,4,3
1514576341,6,1
1514580345,8,0
1514584185,8,6
1514588263,11,8
1514595931,18,11
1514600037,5,3
1514603815,15,15
1514607643,6,4
1514611500,7,6
1514615376,5,3
1514626881,27,21
1514630774,10,7
1514634556,7,5
1514638431,4,10
1514642225,4,5
1514646127,4,10
1514649939,2,7
1514653778,5,14
1514666009,80,53
1514673965,45,26
1514677797,22,19
1514681637,26,25
1514685443,26,25
1514689322,12,18
1514693139,12,22
1514696979,9,8
1514700816,11,9
1514704902,17,21
1514708719,16,20
1514712566,13,20
1514716531,19,8
1514720279,18,35
1514724052,16,35
1514727927,1,4
1514731763,8,16
1514735648,8,11
1514739450,6,23
1514743327,11,14
1514747149,8,5
1514750961,9,7
1514754758,10,7
1514758856,6,2
1514763302,7,7
1514767244,0,2
1514771082,1,1
1514774945,2,1
1514782613,11,8
1514786523,8,7
1514790330,4,13
1514794179,3,6
1514798279,3,15
1514802095,9,12
1514805929,2,2
1514817703,15,26
1514821821,0,7
1514825603,6,8
1514829489,2,4
1514833555,7,9
1514837365,7,14
1514841206,8,11
1514845018,6,8
1514848885,0,13
1514852741,2,14
1514856865,8,18
1514860892,2,2
1514864715,0,4
1514868572,6,4
1514872458,6,5
1514880140,4,7
1514883905,2,3
1514887816,0,4
1514891591,3,2
1514899327,7,0
1514903152,3,6
1514910812,3,13
1514914657,0,10
1514918538,2,3
1514922601,3,3
1514926672,1,2
1514934315,5,6
1514942031,5,2
1514946118,2,0
1514950397,1,0
1514954252,7,0
1514958068,4,0
1514961914,2,0
1514965723,4,0
1514973326,7,2
1514977322,5,2
1514985181,1,0
1514989017,1,0
1514992853,1,0
1514996684,3,1
1515004362,11,0
1515008243,3,1
1515012413,2,0
1515016107,4,0
1515020011,1,0
1515028877,1,0
1515041645,3,0
1515045693,4,2
1515049571,1,2
1515057660,1,0
1515061539,1,1
1515065329,1,0
1515077339,2,0
1515081176,1,2
1515100381,1,1
1515104197,2,0
1515108769,4,0
1515112612,2,0
1515116431,1,0
1515120263,2,1
1515123967,1,0
1515127716,7,1
1515131561,6,4
1515139249,13,3
1515143119,1,1
1515150819,7,3
1515154688,5,3
1515158490,4,2
1515162319,14,6
1515170056,20,18
1515177714,21,9
1515181537,12,10
1515185361,9,11
1515193084,14,16
1515200995,8,26
1515204823,4,5
1515208661,5,12
1515212528,11,23
1515220451,16,28
1515224271,2,2
1515228055,3,1
1515231908,5,7
1515235796,3,4
1515247525,4,18
1515255256,4,16
1515263137,2,7
1515270866,4,1
1515286192,8,9
1515290014,1,0
1515294138,3,1
1515297928,1,3
1515302035,5,11
1515306123,3,0
1515317630,12,3
1515321469,3,0
1515325304,4,2
1515329128,3,1
1515332975,10,6
1515336820,5,4
1515340664,5,8
1515348330,6,3
1515359849,17,6
1515363708,1,1
1515379551,15,6
1515387488,20,11
1515391554,5,5
1515399210,21,14
1515403092,6,0
1515410996,23,13
1515414860,9,5
1515418666,8,2
1515422466,5,5
1515434270,8,13
1515442203,20,6
1515450252,12,3
1515454375,1,0
1515458246,4,2
1515462316,2,5
1515466420,1,2
1515470223,9,1
1515474287,15,6
1515478144,16,9
1515481983,16,3
1515485845,8,0
1515489672,7,0
1515493525,4,1
1515497398,5,7
1515501238,4,11
1515505034,9,12
1515508884,13,8
1515516617,25,24
1515520445,15,7
1515524268,3,0
1515528164,3,1
1515536019,1,6
1515543684,5,6
1515547816,1,1
1515551577,3,2
1515559273,5,8
1515563129,6,8
1515566960,8,3
1515570784,13,7
1515578555,21,13
1515586252,14,35
1515590024,0,16
1515593868,5,20
1515597719,10,38
1515601554,7,17
1515605393,7,19
1515613325,24,64
1515617162,11,11
1515621014,7,37
1515625081,3,3
1515629159,11,0
1515636840,26,5
1515640689,9,14
1515651953,12,20
1515656063,7,9
1515660132,6,9
1515664210,2,6
1515675955,26,14
1515683643,12,8
1515687719,5,4
1515691578,4,0
1515695383,2,0
1515699250,10,7
1515707198,11,9
1515714846,1,2
1515718665,0,1
1515730714,9,9
1515738339,9,3
1515742456,0,3
1515746314,4,3
1515750064,1,9
1515753954,2,7
1515757780,2,1
1515765751,2,6
1515769580,2,0
1515773409,3,0
1515777245,4,8
1515781118,4,5
1515784909,5,3
1515788765,3,4
1515796467,10,11
1515800264,2,3
1515804060,0,1
1515807895,0,1
1515812083,4,1
1515823791,3,0
1515827666,7,3
1515831715,8,3
1515835478,2,4
1515839366,5,10
1515843228,9,6
1515847094,4,4
1515850866,3,5
1515854974,1,1
1515858884,2,2
1515862643,4,2
1515866553,1,0
1515874173,2,1
1515877973,2,0
1515881846,0,1
1515885642,2,0
1515889495,4,0
1515893342,10,3
1515897229,10,0
1515904910,8,0
1515908723,9,1
1515912823,7,2
1515916707,1,0
1515920557,5,2
1515932072,0,6
1515935836,3,1
1515939667,3,1
1515947376,2,2
1515951294,39,9
1515955083,96,41
1515958904,102,34
1515962799,114,77
1515966592,66,19
1515970670,95,90
1515978353,153,154
1515982203,51,52
1515986266,66,69
1515990121,65,66
1515993960,69,68
1515997996,98,100
1516001902,63,66
1516005675,56,51
1516009543,61,63
1516025405,290,355
1516033094,91,127
1516036895,4,7
1516040721,3,5
1516150691,105,307
1516154563,5,2
1516158346,1,1
1516162467,4,2
1516170106,7,2
1516173906,2,0
1516178050,12,7
1516181892,6,3
1516185730,2,1
1516212649,44,22
1516220215,38,30
1516224110,3,8
1516232044,8,9
1516239754,17,9
1516243565,5,2
1516251437,3,2
1516255272,0,1
1516259399,5,7
1516263250,0,2
1516267331,7,9
1516271430,3,2
1516275506,2,1
1516279513,4,3
1516283405,0,8
1516287208,2,12
1516291050,1,34
1516294964,1,1
1516299066,3,3
1516302844,8,0
1516306939,3,0
1516310779,1,6
1516319055,0,5
1516334773,10,8
1516338612,4,7
1516346268,2,4
1516350079,5,0
1516354220,2,1
1516358055,6,0
1516365985,7,0
1516370301,8,2
1516377962,6,2
1516389974,12,0
1516393788,1,0
1516397917,2,0
1516401708,1,1
1516413482,11,12
1516421205,10,18
1516425010,10,11
1516432878,4,3
1516436962,12,4
1516440861,1,0
1516460174,2,178
1516464277,5,0
1516468110,20,0
1516471979,18,0
1516475809,2,0
1516483462,1,0
1516491254,1,0
1516502658,12,0
1516506511,2,0
1516510369,12,0
1516514195,7,0
1516518046,9,0
1516521862,5,0
1516525861,2,0
1516529536,2,0
1516533376,5,0
1516537109,9,0
1516540815,7,0
1516544669,8,0
1516548494,7,0
1516552335,3,0
1516560012,1,0
1516563855,1,0
1516567716,1,0
1516571552,14,0
1516575382,5,0
1516579273,4,0
1516583076,1,0
1516590756,1,0
1516594593,4,0
1516598432,3,0
1516602291,3,0
1516606218,2,0
1516617864,8,0
1516621969,1,0
1516625803,10,0
1516629650,8,0
1516633492,10,0
1516637302,1,0
1516641399,1,0
1516649082,6,0
1516652896,4,0
1516656597,8,0
1516660349,2,0
1516667782,3,0
1516675451,23,0
1516679294,21,1
1516683145,32,25
1516686973,39,23
1516690820,2,1
1516694679,6,3
1516702337,9,16
1516706175,14,8
1516710281,12,9
1516714126,19,19
1516722024,0,27
1516725866,1,1
1516730728,17,40
1516734517,7,21
1516738610,12,22
1516742442,15,34
1516746278,19,50
1516750729,9,17
1516754417,5,11
1516758276,6,4
1516762129,13,11
1516765953,4,9
1516770052,15,14
1516773877,14,7
1516777702,17,35
1516781725,2,2
1516785654,13,15
1516789464,9,14
