DateTime,Entries,UniqueIPs
1514166970,243,243
1514174692,245,245
1514178593,235,235
1514182421,228,228
1514186270,224,224
1514190067,220,220
1514193910,229,229
1514197750,219,219
1514202511,221,221
1514210543,226,226
1514214298,227,227
1514218193,227,227
1514222243,229,229
1514226069,227,227
1514233744,238,238
1514237613,239,239
1514241671,237,237
1514245538,239,239
1514249340,243,243
1514253192,233,233
1514257040,229,229
1514260911,230,230
1514264727,232,232
1514268572,232,232
1514272429,234,234
1514276261,232,232
1514280086,234,234
1514283981,231,231
1514288041,227,227
1514291840,222,222
1514295758,216,216
1514299512,217,217
1514303339,211,211
1514311027,207,207
1514314764,205,205
1514318521,205,205
1514330256,206,206
1514334330,204,204
1514338160,206,206
1514341990,206,206
1514345856,206,206
1514349685,210,210
1514353533,213,213
1514357355,213,213
1514361216,211,211
1514365049,217,217
1514369099,216,216
1514372973,213,213
1514377068,210,210
1514381163,208,208
1514385228,210,210
1514389299,210,210
1514393111,208,208
1514405613,210,210
1514409472,205,205
1514413274,205,205
1514417142,203,203
1514420970,194,194
1514424835,183,183
1514436532,183,183
1514444269,189,189
1514451900,200,200
1514455829,200,200
1514459872,201,201
1514463964,202,202
1514467782,200,200
1514471613,203,203
1514475370,202,202
1514479491,205,205
1514483365,206,206
1514491016,215,215
1514494885,215,215
1514502581,224,224
1514506630,223,223
1514510482,222,222
1514514283,225,225
1514518183,231,231
1514522025,234,234
1514525841,233,233
1514529928,226,226
1514533785,229,229
1514537878,227,227
1514541682,225,225
1514545507,227,227
1514549497,221,221
1514553449,224,224
1514568837,218,218
1514572638,219,219
1514576341,224,224
1514580345,232,232
1514584185,234,234
1514588263,237,237
1514595931,244,244
1514600037,246,246
1514603815,246,246
1514607643,248,248
1514611500,249,249
1514615376,251,251
1514626881,257,257
1514630774,260,260
1514634556,262,262
1514638431,256,256
1514642225,255,255
1514646127,249,249
1514649939,244,244
1514653778,235,235
1514666009,262,262
1514673965,281,281
1514677797,284,284
1514681637,285,285
1514685443,286,286
1514689322,280,280
1514693139,270,270
1514696979,271,271
1514700816,273,273
1514704902,269,269
1514708719,265,265
1514712566,258,258
1514716531,269,269
1514720279,252,252
1514724052,233,233
1514727927,230,230
1514731763,222,222
1514735648,219,219
1514739450,202,202
1514743327,199,199
1514747149,202,202
1514750961,204,204
1514754758,207,207
1514758856,211,211
1514763302,211,211
1514767244,209,209
1514771082,209,209
1514774945,210,210
1514782613,213,213
1514786523,214,214
1514790330,205,205
1514794179,202,202
1514798279,190,190
1514802095,187,187
1514805929,187,187
1514817703,176,176
1514821821,169,169
1514825603,167,167
1514829489,165,165
1514833555,163,163
1514837365,156,156
1514841206,153,153
1514845018,151,151
1514848885,138,138
1514852741,126,126
1514856865,116,116
1514860892,116,116
1514864715,112,112
1514868572,114,114
1514872458,115,115
1514880140,112,112
1514883905,111,111
1514887816,107,107
1514891591,108,108
1514899327,115,115
1514903152,112,112
1514910812,102,102
1514914657,92,92
1514918538,91,91
1514922601,91,91
1514926672,90,90
1514934315,89,89
1514942031,92,92
1514946118,94,94
1514950397,95,95
1514954252,102,102
1514958068,106,106
1514961914,108,108
1514965723,112,112
1514973326,117,117
1514977322,120,120
1514985181,121,121
1514989017,122,122
1514992853,123,123
1514996684,125,125
1515004362,136,136
1515008243,138,138
1515012413,140,140
1515016107,144,144
1515020011,145,145
1515028877,146,146
1515041645,149,149
1515045693,151,151
1515049571,150,150
1515057660,151,151
1515061539,151,151
1515065329,152,152
1515077339,154,154
1515081176,153,153
1515100381,153,153
1515104197,155,155
1515108769,159,159
1515112612,161,161
1515116431,162,162
1515120263,163,163
1515123967,164,164
1515127716,170,170
1515131561,172,172
1515139249,182,182
1515143119,182,182
1515150819,186,186
1515154688,188,188
1515158490,190,190
1515162319,198,198
1515170056,200,200
1515177714,212,212
1515181537,214,214
1515185361,212,212
1515193084,210,210
1515200995,192,192
1515204823,191,191
1515208661,184,184
1515212528,172,172
1515220451,160,160
1515224271,160,160
1515228055,162,162
1515231908,160,160
1515235796,159,159
1515247525,145,145
1515255256,133,133
1515263137,128,128
1515270866,131,131
1515286192,130,130
1515290014,131,131
1515294138,133,133
1515297928,131,131
1515302035,125,125
1515306123,128,128
1515317630,137,137
1515321469,140,140
1515325304,142,142
1515329128,144,144
1515332975,148,148
1515336820,149,149
1515340664,146,146
1515348330,149,149
1515359849,160,160
1515363708,160,160
1515379551,169,169
1515387488,178,178
1515391554,178,178
1515399210,185,185
1515403092,191,191
1515410996,201,201
1515414860,205,205
1515418666,211,211
1515422466,211,211
1515434270,206,206
1515442203,220,220
1515450252,229,229
1515454375,230,230
1515458246,232,232
1515462316,229,229
1515466420,228,228
1515470223,236,236
1515474287,245,245
1515478144,252,252
1515481983,265,265
1515485845,273,273
1515489672,280,280
1515493525,283,283
1515497398,281,281
1515501238,274,274
1515505034,271,271
1515508884,276,276
1515516617,277,277
1515520445,285,285
1515524268,288,288
1515528164,290,290
1515536019,285,285
1515543684,284,284
1515547816,284,284
1515551577,285,285
1515559273,282,282
1515563129,280,280
1515566960,285,285
1515570784,291,291
1515578555,299,299
1515586252,278,278
1515590024,262,262
1515593868,247,247
1515597719,219,219
1515601554,209,209
1515605393,197,197
1515613325,157,157
1515617162,157,157
1515621014,127,127
1515625081,127,127
1515629159,138,138
1515636840,159,159
1515640689,154,154
1515651953,146,146
1515656063,144,144
1515660132,141,141
1515664210,137,137
1515675955,149,149
1515683643,153,153
1515687719,154,154
1515691578,158,158
1515695383,160,160
1515699250,163,163
1515707198,165,165
1515714846,164,164
1515718665,163,163
1515730714,163,163
