DateTime,AddedIPs,RemovedIPs
1514226102,145,122
1514233763,298,269
1514237640,154,176
1514241692,179,180
1514245578,167,157
1514249357,178,182
1514253210,162,208
1514257064,152,173
1514260951,161,159
1514272463,266,204
1514276292,216,216
1514280123,210,175
1514283999,207,190
1514288089,181,203
1514291873,163,148
1514295782,99,95
1514299542,96,110
1514303355,137,132
1514311057,260,279
1514314800,151,152
1514318549,131,121
1514330289,291,299
1514334355,161,178
1514338176,217,276
1514342014,226,216
1514345892,180,184
1514349710,194,188
1514353558,148,167
1514357375,197,172
1514361262,168,194
1514365071,143,99
1514369114,117,132
1514372998,97,113
1514377092,104,101
1514381199,216,176
1514385263,169,169
1514389328,225,248
1514393147,243,241
1514405643,232,254
1514409505,200,200
1514413312,201,201
1514417172,168,182
1514421017,173,128
1514424878,122,112
1514432709,240,254
1514436552,178,165
1514444307,234,272
1514451925,247,234
1514459908,226,246
1514464000,247,221
1514467818,236,251
1514471649,188,213
1514475404,205,193
1514479507,213,220
1514483386,180,190
1514491037,220,207
1514494926,155,178
1514502609,197,198
1514506654,191,195
1514510512,191,187
1514514301,186,186
1514518220,166,194
1514522051,128,135
1514525872,131,126
1514529974,204,166
1514533833,192,184
1514537929,267,212
1514541730,243,262
1514545535,211,218
1514549532,260,233
1514553470,192,236
1514568872,203,225
1514572659,193,183
1514576360,144,171
1514580373,141,148
1514584216,138,130
1514588291,145,140
1514595963,201,191
1514600083,184,166
1514603836,180,187
1514607663,152,170
1514611536,149,148
1514615415,173,172
1514626907,212,197
1514634586,184,212
1514638464,219,168
1514642253,185,218
1514649960,218,202
1514653819,188,197
1514666040,283,209
1514677842,251,275
1514685464,245,258
1514689359,112,126
1514693186,115,116
1514697029,122,118
1514700859,148,126
1514704933,206,165
1514708749,239,247
1514712597,235,251
1514716585,252,229
1514720314,144,121
1514724065,131,113
1514727953,56,72
1514731797,68,100
1514735689,85,77
1514739482,59,55
1514743386,61,46
1514747194,83,75
1514750983,104,93
1514754773,65,53
1514758878,64,65
1514763311,93,44
1514767252,14,8
1514771098,6,28
1514774958,9,9
1514782652,88,98
1514786571,38,83
1514790360,57,89
1514794224,33,24
1514798319,36,23
1514802144,54,52
1514805955,42,33
1514817755,47,106
1514825634,47,95
1514829528,40,13
1514833597,35,37
1514837388,51,69
1514841241,36,67
1514845036,74,23
1514848907,143,152
1514852777,167,157
1514856916,146,154
1514860925,159,155
1514864733,231,234
1514868605,183,179
1514872498,198,201
1514880186,148,143
1514883931,263,246
1514887864,246,262
1514891623,252,246
1514903200,201,187
1514910857,201,214
1514914701,146,159
1514918585,140,129
1514922633,176,161
1514926714,207,210
1514934340,142,161
1514938242,138,138
1514942057,231,225
1514946161,222,227
1514950423,250,246
1514954293,257,247
1514958097,242,260
1514961953,255,238
1514965745,234,245
1514973360,152,135
1514981172,108,71
1514985207,18,14
1514989029,43,53
1514992870,51,27
1514996695,15,11
1515000524,22,15
1515004371,28,17
1515008288,40,24
1515012451,13,8
1515020035,44,39
1515024330,13,1
1515028884,5,6
1515033731,22,35
1515041696,17,56
1515045716,21,40
1515049620,9,21
1515053589,12,44
1515057667,11,31
1515061548,11,12
1515065336,12,20
1515069170,13,5
1515073266,10,31
1515077348,8,2
1515081182,31,39
1515085131,10,4
1515088861,5,1
1515092775,36,17
1515096520,18,3
1515100390,66,22
1515104205,97,22
1515108790,136,100
1515112628,57,56
1515116440,21,14
1515120270,12,11
1515123973,32,53
1515127725,7,7
1515131571,8,53
1515139272,35,72
1515143134,11,11
1515146969,13,16
1515150869,67,145
1515154747,117,154
1515158518,80,113
1515162354,145,110
1515170111,222,112
1515177765,192,254
1515181564,177,169
1515185403,126,156
1515193130,228,234
1515201037,176,227
1515204851,117,107
1515208679,119,133
1515220519,191,174
1515224301,137,148
1515228092,138,120
1515231938,115,103
1515235834,51,63
1515239590,154,130
1515247549,157,222
1515255309,165,157
1515263172,167,165
1515278497,162,167
1515286241,173,161
1515290040,163,174
1515297956,165,163
1515302077,163,143
1515306177,166,173
1515317673,181,178
1515321507,169,175
1515325345,176,158
1515329162,163,180
1515333024,163,175
1515336864,158,112
1515340704,124,147
1515348364,204,187
1515359885,180,201
1515363740,153,183
1515367849,164,153
1515379605,254,164
1515391592,278,246
1515399241,281,285
1515403141,215,226
1515411033,252,260
1515414923,215,192
1515418691,174,205
1515422506,206,208
1515434317,244,253
1515442255,266,244
1515446497,181,197
1515450305,198,199
1515454393,204,206
1515458291,190,202
1515462353,239,234
1515470260,239,240
1515474310,219,194
1515478198,191,217
1515482008,221,193
1515485866,198,199
