DateTime,AddedIPs,RemovedIPs
1514003447,271,259
1514011078,250,271
1514014899,266,250
1514018764,222,266
1514022573,211,222
1514030305,219,211
1514042028,258,219
1514045913,242,258
1514049719,254,242
1514057671,291,254
1514061489,250,291
1514065529,213,250
1514069407,220,213
1514077062,207,220
1514084749,241,207
1514088617,240,241
1514092477,247,233
1514096269,244,254
1514100380,249,244
1514104437,242,249
1514108274,223,242
1514112110,227,223
1514115934,230,227
1514119773,227,230
1514123650,228,227
1514131349,265,228
1514135198,260,265
1514142855,263,256
1514146713,272,267
1514159160,216,272
1514167007,214,216
1514174737,271,214
1514182485,274,271
1514186328,263,274
1514190117,278,263
1514193964,281,278
1514197792,291,281
1514202560,271,291
1514214337,215,271
1514218263,214,215
1514222277,213,214
1514226139,243,213
1514233785,262,243
1514237668,259,262
1514241718,256,259
1514245617,268,256
1514249377,270,268
1514253226,242,270
1514257091,222,242
1514272496,238,222
1514276327,229,238
1514284019,240,229
1514291906,234,240
1514295807,228,234
1514299573,207,228
1514303372,227,207
1514311087,251,227
1514314843,241,251
1514318579,248,241
1514330322,226,248
1514334385,231,226
1514338195,224,231
1514342039,241,224
1514345931,259,241
1514349739,261,259
1514353587,245,261
1514357397,255,245
1514365096,232,255
1514369131,224,232
1514373024,223,224
1514377119,232,223
1514381236,225,232
1514385304,227,225
1514389357,235,227
1514393189,228,235
1514405678,230,228
1514409542,236,230
1514417202,239,236
1514424926,224,239
1514432734,223,224
1514436574,226,223
1514444345,222,226
1514451949,236,221
1514459943,218,237
1514464025,229,218
1514467855,220,229
1514471687,221,220
1514475443,213,221
1514479533,216,213
1514483412,218,216
1514491059,266,218
1514494963,275,266
1514502642,258,275
1514506677,262,258
1514510549,274,262
1514514321,251,274
1514518262,238,251
1514522078,233,238
1514525900,234,233
1514530013,228,234
1514537978,256,228
1514541772,256,256
1514545563,266,256
1514549574,262,266
1514553495,256,262
1514568907,237,255
1514572679,232,238
1514576388,245,232
1514580407,260,244
1514584248,262,261
1514588322,250,262
1514595997,265,250
1514603857,255,265
1514607684,233,254
1514611564,236,234
1514615453,220,236
1514626934,257,220
1514634621,247,256
1514638498,242,248
1514642287,231,242
1514649995,228,231
1514653872,229,228
1514666072,258,229
1514685488,236,258
1514689407,240,236
1514693238,228,240
1514700906,244,228
1514704976,235,244
1514708782,242,235
1514712618,250,242
1514720355,242,250
1514724084,231,242
1514727979,149,192
1514731826,176,188
1514735733,172,176
1514739509,216,172
1514747238,232,216
1514751004,229,214
1514754791,196,76
1514758902,255,171
1514763320,212,212
1514767260,26,26
1514771118,1,2
1514774972,1,1
1514778877,307,306
1514782685,425,437
1514786628,176,347
1514790395,271,268
1514794272,258,271
1514798362,257,258
1514802190,262,257
1514805993,268,262
1514825673,236,268
1514829559,238,236
1514833644,232,238
1514837408,240,232
1514841285,234,240
1514845059,219,215
1514848944,208,210
1514852814,224,227
1514856967,214,206
1514860951,240,241
1514864756,241,240
1514868636,240,241
1514872542,240,240
1514880233,175,174
1514883970,241,241
1514887919,246,241
1514891657,248,246
1514910908,165,169
1514914748,241,244
1514918627,237,241
1514922678,242,237
1514926763,241,242
1514934369,175,174
1514942100,134,136
1514946211,238,240
1514950453,239,238
1514954341,243,239
1514958125,241,243
1514961991,243,240
1514965767,232,228
1514973394,133,135
1514981200,17,21
1514985228,8,3
1514989047,3,0
1514992887,11,4
1514996707,8,4
1515000543,9,5
1515004385,14,7
1515008331,12,7
1515012490,12,6
1515020054,11,7
1515033752,2,1
1515041749,2,3
1515045737,2,1
1515049663,1,0
1515053601,0,1
1515057676,0,1
1515061560,2,1
1515065348,1,0
1515069182,1,1
1515073276,1,0
1515077356,1,2
1515081194,0,1
1515088872,1,1
1515092820,1,1
1515096528,0,1
1515100403,58,30
1515104219,107,56
1515108822,115,61
1515112641,61,49
1515116449,2,2
1515120280,1,2
1515123982,1,1
1515127737,28,30
1515131584,65,50
1515139293,179,182
1515143156,31,31
1515146994,3,3
1515150914,99,287
1515158549,152,253
1515162386,160,152
1515181597,172,160
1515185458,179,172
1515193184,155,179
1515201076,153,155
1515204877,152,153
1515208705,152,152
1515216613,152,152
1515224334,152,152
1515228136,152,152
1515231978,153,152
1515235885,153,153
1515239614,152,153
1515247578,161,152
1515263222,162,161
1515286306,158,162
1515290070,180,158
1515297989,157,180
1515302134,161,157
1515306229,162,161
1515317715,157,162
1515321548,157,157
1515325391,156,157
1515329203,156,156
1515333080,164,156
1515336913,161,164
1515340746,164,161
1515348396,157,164
1515359916,152,157
1515363775,152,152
1515367895,151,152
1515379658,290,151
1515391641,296,290
1515399284,302,296
1515403188,294,302
1515411077,295,294
1515418710,247,295
1515422549,233,247
1515426382,178,180
1515434368,272,231
1515442306,278,272
1515446532,277,278
1515450351,275,277
1515454416,246,275
1515458337,228,246
1515462390,228,228
1515470298,257,228
1515474336,253,257
1515478254,272,253
1515482043,247,258
1515485890,229,221
1515489742,238,269
1515493600,222,222
1515497462,219,219
1515501325,174,172
1515505122,257,225
1515508974,266,266
1515520550,271,271
1515532011,236,272
1515536092,240,236
1515543769,232,240
1515547891,3,3
1515559315,40,21
1515563200,77,36
1515566984,109,57
1515570827,89,44
1515574761,31,16
1515586330,222,399
1515590092,226,227
1515593934,208,207
1515597834,231,225
1515601643,233,233
1515605465,237,233
1515617263,173,160
1515629239,147,160
1515636933,239,230
1515652022,205,222
1515656154,228,229
1515660236,210,209
1515664332,230,229
1515668230,235,230
1515676033,230,227
1515683745,247,232
1515687825,236,253
1515691682,236,236
1515695446,244,236
1515699341,237,244
1515718721,180,188
1515750140,248,229
1515754062,238,248
1515757890,229,238
1515773482,252,229
1515777358,253,252
1515785013,218,220
1515788888,256,251
1515796587,222,228
1515800383,241,250
1515804132,227,241
1515807952,227,227
1515815971,114,114
1515823828,6,5
1515827726,194,98
1515831771,286,160
1515835509,275,274
1515839413,305,305
1515843303,276,276
1515847190,287,287
1515850906,242,242
1515855061,325,325
1515858990,258,258
1515862685,259,260
1515866695,110,110
1515870823,6,6
1515874634,1,1
1515878451,2,3
1515882283,3,3
1515886065,142,141
1515889986,197,196
1515893848,174,174
1515897684,168,168
1515901499,125,125
1515905365,169,169
1515909296,128,128
1515913570,39,39
1515917583,1,1
1515921416,3,4
1515925261,1,1
1515929082,1,1
1515932921,0,1
1515944443,1,1
1515948270,2,2
1515952139,30,32
1515956010,59,59
1515959865,48,50
1515963928,38,38
1515967742,43,43
