DateTime,Entries,UniqueIPs
1514003447,271,271
1514011078,250,250
1514014899,266,266
1514018764,222,222
1514022573,211,211
1514030305,219,219
1514042028,258,258
1514045913,242,242
1514049719,254,254
1514057671,291,291
1514061489,250,250
1514065529,213,213
1514069407,220,220
1514077062,207,207
1514084749,241,241
1514088617,240,240
1514092477,254,254
1514096269,244,244
1514100380,249,249
1514104437,242,242
1514108274,223,223
1514112110,227,227
1514115934,230,230
1514119773,227,227
1514123650,228,228
1514131349,265,265
1514135198,260,260
1514142855,267,267
1514146713,272,272
1514159160,216,216
1514167007,214,214
1514174737,271,271
1514182485,274,274
1514186328,263,263
1514190117,278,278
1514193964,281,281
1514197792,291,291
1514202560,271,271
1514214337,215,215
1514218263,214,214
1514222277,213,213
1514226139,243,243
1514233785,262,262
1514237668,259,259
1514241718,256,256
1514245617,268,268
1514249377,270,270
1514253226,242,242
1514257091,222,222
1514272496,238,238
1514276327,229,229
1514284019,240,240
1514291906,234,234
1514295807,228,228
1514299573,207,207
1514303372,227,227
1514311087,251,251
1514314843,241,241
1514318579,248,248
1514330322,226,226
1514334385,231,231
1514338195,224,224
1514342039,241,241
1514345931,259,259
1514349739,261,261
1514353587,245,245
1514357397,255,255
1514365096,232,232
1514369131,224,224
1514373024,223,223
1514377119,232,232
1514381236,225,225
1514385304,227,227
1514389357,235,235
1514393189,228,228
1514405678,230,230
1514409542,236,236
1514417202,239,239
1514424926,224,224
1514432734,223,223
1514436574,226,226
1514444345,222,222
1514451949,237,237
1514459943,218,218
1514464025,229,229
1514467855,220,220
1514471687,221,221
1514475443,213,213
1514479533,216,216
1514483412,218,218
1514491059,266,266
1514494963,275,275
1514502642,258,258
1514506677,262,262
1514510549,274,274
1514514321,251,251
1514518262,238,238
1514522078,233,233
1514525900,234,234
1514530013,228,228
1514537978,256,256
1514541772,256,256
1514545563,266,266
1514549574,262,262
1514553495,256,256
1514568907,238,238
1514572679,232,232
1514576388,245,245
1514580407,261,261
1514584248,262,262
1514588322,250,250
1514595997,265,265
1514603857,255,255
1514607684,234,234
1514611564,236,236
1514615453,220,220
1514626934,257,257
1514634621,248,248
1514638498,242,242
1514642287,231,231
1514649995,228,228
1514653872,229,229
1514666072,258,258
1514685488,236,236
1514689407,240,240
1514693238,228,228
1514700906,244,244
1514704976,235,235
1514708782,242,242
1514712618,250,250
1514720355,242,242
1514724084,231,231
1514727979,188,188
1514731826,176,176
1514735733,172,172
1514739509,216,216
1514747238,232,232
1514751004,247,247
1514754791,367,367
1514758902,451,451
1514763320,451,451
1514767260,451,451
1514771118,450,450
1514774972,450,450
1514778877,451,451
1514782685,439,439
1514786628,268,268
1514790395,271,271
1514794272,258,258
1514798362,257,257
1514802190,262,262
1514805993,268,268
1514825673,236,236
1514829559,238,238
1514833644,232,232
1514837408,240,240
1514841285,234,234
1514845059,238,238
1514848944,236,236
1514852814,233,233
1514856967,241,241
1514860951,240,240
1514864756,241,241
1514868636,240,240
1514872542,240,240
1514880233,241,241
1514883970,241,241
1514887919,246,246
1514891657,248,248
1514910908,244,244
1514914748,241,241
1514918627,237,237
1514922678,242,242
1514926763,241,241
1514934369,242,242
1514942100,240,240
1514946211,238,238
1514950453,239,239
1514954341,243,243
1514958125,241,241
1514961991,244,244
1514965767,248,248
1514973394,246,246
1514981200,242,242
1514985228,247,247
1514989047,250,250
1514992887,257,257
1514996707,261,261
1515000543,265,265
1515004385,272,272
1515008331,277,277
1515012490,283,283
1515020054,287,287
1515033752,288,288
1515041749,287,287
1515045737,288,288
1515049663,289,289
1515053601,288,288
1515057676,287,287
1515061560,288,288
1515065348,289,289
1515069182,289,289
1515073276,290,290
1515077356,289,289
1515081194,288,288
1515088872,288,288
1515092820,288,288
1515096528,287,287
1515100403,315,315
1515104219,366,366
1515108822,420,420
1515112641,432,432
1515116449,432,432
1515120280,431,431
1515123982,431,431
1515127737,429,429
1515131584,444,444
1515139293,441,441
1515143156,441,441
1515146994,441,441
1515150914,253,253
1515158549,152,152
1515162386,160,160
1515181597,172,172
1515185458,179,179
1515193184,155,155
1515201076,153,153
1515204877,152,152
1515208705,152,152
1515216613,152,152
1515224334,152,152
1515228136,152,152
1515231978,153,153
1515235885,153,153
1515239614,152,152
1515247578,161,161
1515263222,162,162
1515286306,158,158
1515290070,180,180
1515297989,157,157
1515302134,161,161
1515306229,162,162
1515317715,157,157
1515321548,157,157
1515325391,156,156
1515329203,156,156
1515333080,164,164
1515336913,161,161
1515340746,164,164
1515348396,157,157
1515359916,152,152
1515363775,152,152
1515367895,151,151
1515379658,290,290
1515391641,296,296
1515399284,302,302
1515403188,294,294
1515411077,295,295
