DateTime,AddedIPs,RemovedIPs
1512614695,2,2
1512622395,4,5
1512630111,1,2
1512633873,0,1
1512637728,0,1
1512641563,1,2
1512645427,0,2
1512653330,1,6
1512657327,1,0
1512665325,1,3
1512669221,2,3
1512673054,1,7
1512680715,3,4
1512684558,2,3
1512688921,4,6
1512696554,8,9
1512704304,9,5
1512708073,8,6
1512711910,5,4
1512715762,0,3
1512719594,3,3
1512723457,2,3
1512727286,1,2
1512735405,2,1
1512739302,3,4
1512747219,0,2
1512754911,3,0
1512758703,4,4
1512762535,11,7
1512766402,10,6
1512770519,2,10
1512774649,3,4
1512778451,5,5
1512782279,1,5
1512786130,5,5
1512789907,2,2
1512793785,3,2
1512797654,6,3
1512805256,4,3
1512809132,5,2
1512813033,3,2
1512816802,4,4
1512820642,3,4
1512824503,9,4
1512828324,1,0
1512832302,11,0
1512836264,0,2
1512843918,1,1
1512855793,0,1
1512859526,0,1
1512863358,1,0
1512871040,1,1
1512878718,1,0
1512882566,1,0
1512886418,2,0
1512890272,1,0
1512905637,1,0
1512913525,2,0
1512917351,0,1
1512921188,1,0
1512928924,1,0
1512933311,2,0
1512937062,5,3
1512940886,7,4
1512944713,7,2
1512948576,7,5
1512952433,4,6
1512956223,4,3
1512960316,4,10
1512964152,8,7
1512967988,3,4
1512971842,5,2
1512979557,12,5
1512983389,3,0
1512987304,7,3
1512991053,2,2
1512994908,9,4
1513002658,3,8
1513006563,5,11
1513014093,4,8
1513018153,0,1
1513022246,1,1
1513026159,1,1
1513029936,1,2
1513033769,1,4
1513037629,0,1
1513045279,1,2
1513052992,3,4
1513064501,0,3
1513068338,0,5
1513072157,0,2
1513079853,4,3
1513087531,0,6
1513106962,0,2
1513118577,0,1
1513122610,0,1
1513126678,0,1
1513130553,1,2
1513134337,0,3
1513145878,0,1
1513149772,2,5
1513161281,1,6
1513165110,3,2
1513172730,1,4
1513176559,0,1
1513180409,3,1
1513184537,1,0
1513192222,1,0
1513196309,0,1
1513200114,2,0
1513204030,0,1
1513215729,1,1
1513219525,1,0
1513223350,1,1
1513227208,1,0
1513231064,1,0
1513238747,1,1
1513242618,1,0
1513250258,0,1
1513258196,1,0
1513265866,0,1
1513269918,2,0
1513273807,1,0
1513281502,4,2
1513289060,0,2
1513297147,0,4
1513305039,1,5
1513312662,0,2
1513316528,1,2
1513320360,3,8
1513324190,0,2
1513328024,0,1
1513331861,0,1
1513339548,0,4
1513347737,1,8
1513355478,1,0
1513363123,0,1
1513366938,1,1
1513370767,0,1
1513375169,1,0
1513382745,0,6
1513390671,0,2
1513394790,4,2
1513398600,0,1
1513406314,0,5
1513410358,0,1
1513414200,0,5
1513418042,0,1
1513421875,0,5
1513437453,3,6
1513441400,1,0
1513449030,1,3
1513460514,2,5
1513468202,0,2
1513472030,0,1
1513479956,2,6
1513483819,1,1
1513495315,1,4
1513506844,1,6
1513514496,0,2
1513518316,0,2
1513522423,0,1
1513526232,0,2
1513529938,1,1
1513537852,1,0
1513545501,0,1
1513549192,1,1
1513564496,2,4
1513568314,0,1
1513572156,0,1
1513587520,1,2
1513595195,0,2
1513602900,3,0
1513614630,1,0
1513626367,3,1
1513653304,1,1
1513680371,0,8
1513688059,1,1
1513691917,1,0
1513699841,3,3
1513703657,1,0
1513707528,1,0
1513715460,0,1
1513719259,0,1
1513731052,0,1
1513734859,0,3
1513738737,1,0
1513750229,2,1
1513762006,1,0
1513770170,2,0
1513781650,1,0
1513800813,4,3
1513816960,0,1
1513820750,1,2
1513824596,1,0
1513828461,1,2
1513836209,0,1
1513839985,0,3
1513851564,1,0
1513863791,1,1
1513867873,0,1
1513887531,6,1
1513895435,1,0
1513906955,0,1
1513910815,0,2
1513918481,1,0
1513922346,3,0
1513930280,1,1
1513945819,0,2
1513949763,2,3
1513968882,1,0
1513972739,1,0
1513976637,1,0
1513984336,2,0
1513988113,1,0
1513995746,0,1
1514011116,1,0
