DateTime,AddedIPs,RemovedIPs
1514096961,11,2
1514101078,3,1
1514104879,2,0
1514108967,7,2
1514113031,3,1
1514116934,1,2
1514120730,2,1
1514124580,6,7
1514128648,4,3
1514132732,3,2
1514136582,4,4
1514144501,10,9
1514148550,2,3
1514160298,4,5
1514167978,2,5
1514171844,4,5
1514175713,1,0
1514183370,8,4
1514187471,1,6
1514191515,3,1
1514195365,2,0
1514203092,6,1
1514206912,8,5
1514210960,5,3
1514214815,1,2
1514218899,7,12
1514222705,5,3
1514226567,2,2
1514230415,12,6
1514234256,4,3
1514238333,2,2
1514242156,1,1
1514246001,1,1
1514249837,0,2
1514253728,2,12
1514257516,1,0
1514261361,1,7
1514265213,4,6
1514269051,1,2
1514273157,0,2
1514277185,3,6
1514281031,1,3
1514285097,0,2
1514288955,4,3
1514292823,3,1
1514296630,3,2
1514300485,4,7
1514304302,5,5
1514308150,4,2
1514312225,2,1
1514316071,5,4
1514320155,4,2
1514324013,2,3
1514327844,0,1
1514331895,0,4
1514336148,3,3
1514340060,3,2
1514343881,4,4
1514347744,4,9
1514351596,1,0
1514359245,1,12
1514363086,5,7
1514367105,3,2
1514371218,3,1
1514375072,1,2
1514379185,3,2
1514383281,8,4
1514387352,2,2
1514395025,2,7
1514398861,4,1
1514402733,5,6
1514406554,2,3
1514410632,3,3
1514414470,5,7
1514418548,1,3
1514422395,3,6
1514426501,1,3
1514430284,3,1
1514434384,5,10
1514438473,4,1
1514442299,1,1
1514446132,2,2
1514449987,4,3
1514453822,1,1
1514457720,1,1
1514461489,2,2
1514465342,2,1
1514469450,9,1
1514473245,0,1
1514477095,3,3
1514480920,3,2
1514484836,7,3
1514488655,4,3
1514492433,5,4
1514496291,1,2
1514500158,5,1
1514504105,4,4
1514508042,1,1
1514511913,2,2
1514515734,1,5
1514519576,5,2
1514523434,5,4
1514527289,2,3
1514534923,7,8
1514538880,3,3
1514542633,3,2
1514546485,3,1
1514550559,5,0
1514558708,7,6
1514562593,2,1
1514566381,3,1
1514570247,3,7
1514574330,7,2
1514578130,4,0
1514582243,5,6
1514586053,0,1
1514589926,1,1
1514594046,3,6
1514598084,3,3
1514601928,2,1
1514605765,1,2
1514609637,2,3
1514613434,5,8
1514617314,6,5
1514625013,4,5
1514628818,5,5
1514632678,3,0
1514636749,0,1
1514640568,6,5
1514644424,1,0
1514648352,2,1
1514652088,9,8
1514655903,1,1
1514667489,16,13
1514671540,3,5
1514679268,2,4
1514686899,4,6
1514690975,1,7
1514694819,3,5
1514698909,2,4
1514702768,1,1
1514710667,10,3
1514718331,7,7
1514722445,7,2
1514726479,4,5
1514730287,6,4
1514734182,5,5
1514738019,8,8
1514741859,3,3
1514745657,2,1
1514749522,1,2
1514753631,6,3
1514757403,0,1
1514768981,5,6
1514772770,1,5
1514776663,1,2
1514780498,1,2
1514784338,1,7
1514788434,4,3
1514796353,8,8
1514815787,15,9
1514819615,2,1
1514823460,3,1
1514827505,4,3
1514831611,3,3
1514835493,2,2
1514839310,1,1
1514843847,3,3
1514847746,2,2
1514851501,5,2
1514855403,1,1
1514863067,6,2
1514871001,2,5
1514874880,5,6
1514882767,7,11
1514890678,4,9
1514898314,11,4
1514906016,5,8
1514909874,2,0
1514913944,1,1
1514922075,6,5
1514926198,5,2
1514933886,7,6
1514941507,2,5
1514945414,4,4
1514949201,0,3
1514960971,15,10
1514972468,16,20
1514976306,4,2
1514980128,3,0
1514988114,8,2
1514991901,3,5
1514995751,2,0
1514999574,2,2
1515007261,2,2
1515011358,1,1
1515015188,2,4
1515023179,7,3
1515032246,1,5
1515036033,5,9
1515039874,4,3
1515044026,1,1
1515047808,3,7
1515051895,4,7
1515056061,7,14
1515059801,1,0
1515063742,5,6
1515067860,3,1
1515071566,3,3
1515075404,4,4
1515079262,4,3
1515086954,7,11
1515091031,3,3
1515094885,6,10
1515098778,0,1
1515102861,1,5
1515106656,4,5
1515110542,0,5
1515114308,4,3
1515118190,8,1
1515122002,4,5
1515125847,1,4
1515129711,0,1
1515133503,3,4
1515137353,1,5
1515141162,6,7
1515148893,4,2
1515152738,2,4
1515164258,16,14
1515168699,4,9
1515172425,6,3
1515183964,6,13
1515191617,8,4
1515199125,6,1
1515202994,3,1
1515206794,2,2
1515210710,4,4
1515214700,0,1
1515222392,10,3
1515226324,4,6
1515230094,7,3
1515233894,2,0
1515241680,7,1
1515249596,5,4
1515253394,0,1
1515261283,8,10
1515269066,6,8
1515284380,13,16
1515288205,1,0
1515292082,0,1
1515311914,18,11
1515331109,25,16
1515334993,5,3
1515338816,2,3
1515342628,3,1
1515350418,10,11
1515354144,3,3
1515358019,7,9
1515361914,3,6
1515365686,1,1
1515369464,0,2
1515381126,12,9
1515392633,8,16
1515396446,0,2
1515400303,5,2
1515408232,11,9
1515419752,10,9
1515423604,3,7
1515435538,13,14
1515443296,10,9
1515454953,8,5
1515463090,3,3
1515466984,4,5
1515471102,1,3
1515475157,5,2
1515479190,0,2
1515483083,5,5
1515486934,4,5
1515494641,16,10
1515498615,2,2
1515506391,9,7
1515522266,14,26
1515526262,5,8
1515530068,3,6
1515534131,2,0
1515545785,9,2
1515549584,2,1
1515553282,2,3
1515557355,3,3
1515561210,1,0
1515565085,3,1
1515568953,3,1
1515572723,3,4
1515576573,2,5
1515581177,3,0
1515584989,9,7
1515589114,2,0
1515600707,8,7
1515604532,3,1
1515608365,3,10
1515624115,15,18
1515651601,17,19
1515663872,15,10
1515702664,25,22
1515773697,45,55
1515804353,26,26
1515808085,3,2
1515823935,8,14
1515827870,3,0
1515831857,3,6
1515835583,4,3
1515839467,5,2
1515843496,6,2
1515847426,1,3
1515851369,2,1
1515855286,3,0
1515859236,5,3
1515867380,10,7
1515871358,6,1
1515875190,2,1
1515882818,6,5
1515886509,4,4
1515890504,8,6
1515894363,2,2
1515905963,13,11
1515909757,3,4
1515917717,5,13
1515921459,7,6
1515925482,1,1
1515929654,2,3
1515933434,2,1
1515937241,3,4
1515941140,2,1
1515944953,2,1
1515948818,5,4
1515952693,2,2
1515956477,3,4
1515961993,10,6
1515969732,7,14
