DateTime,AddedIPs,RemovedIPs
1514128627,323,293
1514132702,311,326
1514136547,318,310
1514140513,284,312
1514144471,316,290
1514148533,315,315
1514152400,267,315
1514156510,221,263
1514160283,216,218
1514164155,223,225
1514167966,215,206
1514171824,170,190
1514175677,236,180
1514183341,275,264
1514187436,298,276
1514191492,279,300
1514195353,248,277
1514203062,306,247
1514206869,280,309
1514214420,246,281
1514218404,201,194
1514222336,203,239
1514226256,218,216
1514229977,289,208
1514233870,265,299
1514241823,277,265
1514249477,262,274
1514253300,307,262
1514257186,134,173
1514276453,311,261
1514284099,289,320
1514292018,189,289
1514295900,184,191
1514299684,176,147
1514303437,160,179
1514311225,291,192
1514319199,296,288
1514323034,300,296
1514326855,273,302
1514330718,177,259
1514334482,124,141
1514338265,105,89
1514342188,262,157
1514346073,309,297
1514349859,321,305
1514353733,309,318
1514357481,295,271
1514365165,244,337
1514369192,165,217
1514373120,163,153
1514377190,189,205
1514381372,192,171
1514389487,161,206
1514393341,98,67
1514405812,351,197
1514409705,347,350
1514417321,324,347
1514432825,347,325
1514436664,325,345
1514444486,366,322
1514448313,349,367
1514452025,353,349
1514460062,388,357
1514464162,358,385
1514468010,207,248
1514475558,234,312
1514479656,134,116
1514491174,354,255
1514495128,323,345
1514502742,392,332
1514506768,269,265
1514514386,332,378
1514522200,240,255
1514526008,132,138
1514530115,168,167
1514541929,358,328
1514545661,266,278
1514553618,320,348
1514557777,335,313
1514565899,329,336
1514569977,212,257
1514573839,150,122
1514577693,116,97
1514581755,324,277
1514585828,361,358
1514589909,349,386
1514594008,371,352
1514598064,338,353
1514601904,325,327
1514605740,261,281
1514609603,173,237
1514613416,192,183
1514617280,186,182
1514624971,387,285
1514628791,372,379
1514632651,370,364
1514636716,383,378
1514640538,192,198
1514644394,131,181
1514648317,181,244
1514652058,157,134
1514655889,215,207
1514663496,324,302
1514667450,329,324
1514671511,302,330
1514675371,318,295
1514679224,307,293
1514683042,303,326
1514686865,210,252
1514690953,174,214
1514694782,114,101
1514698874,152,126
1514702735,326,254
1514706827,336,339
1514710631,306,312
1514714504,318,333
1514718311,320,318
1514722412,238,289
1514726457,132,231
1514730278,113,125
1514734156,140,104
1514737984,150,154
1514741826,247,192
1514745644,295,244
1514749497,271,274
1514753594,299,196
1514757392,246,203
1514761294,236,231
1514765109,206,206
1514768943,20,26
1514772758,25,26
1514776634,108,117
1514780466,195,209
1514784292,225,282
1514788404,274,310
1514792471,279,307
1514796313,310,296
1514800163,314,311
1514808132,274,286
1514811925,198,237
1514815761,216,246
1514819590,154,146
1514823427,182,182
1514827488,200,206
1514831585,129,120
1514835448,214,216
1514839267,210,216
1514843832,204,196
1514847674,194,200
1514851486,164,162
1514855363,180,183
1514859197,186,182
1514863043,75,67
1514866874,52,51
1514870955,79,86
1514874852,35,28
1514882725,335,185
1514886813,372,353
1514890644,379,415
1514894531,387,379
1514898290,342,386
1514905982,339,342
1514909837,329,342
1514913911,333,330
1514918069,327,334
1514922053,329,327
1514926157,343,328
1514930000,372,307
1514933843,372,382
1514937686,330,393
1514941489,387,333
1514945374,380,388
1514949169,365,358
1514953289,389,347
1514957123,362,412
1514960942,378,349
1514972447,423,390
1514976293,411,425
1514980121,451,429
1514984258,449,451
1514988077,448,449
1514991895,449,448
1514995734,450,449
1514999567,450,450
1515003413,449,449
1515007252,448,448
1515011339,449,450
1515015173,451,449
1515023138,345,349
1515032240,25,30
1515036028,32,37
1515039868,17,29
1515043992,9,13
1515047795,12,31
1515051888,5,16
1515056015,13,43
1515059790,3,8
1515063675,5,33
1515067846,16,21
1515071559,8,35
1515075399,12,16
1515079253,9,31
1515086946,19,47
1515091017,16,22
1515094873,21,21
1515098734,145,52
1515102822,346,230
1515106628,319,315
1515110491,305,304
1515114302,122,126
1515118153,28,31
1515121985,17,20
1515125832,25,30
1515129674,305,309
1515133495,392,380
1515137341,394,389
1515141155,405,403
1515145009,14,17
1515148868,17,27
1515152720,169,436
1515164220,248,152
1515168663,302,264
1515172390,229,303
1515180087,316,229
1515183916,295,314
1515187761,288,282
1515191587,221,302
1515195298,147,208
1515199106,133,126
1515202966,156,162
1515206762,124,125
1515210659,172,161
1515214679,124,128
1515222360,179,168
1515226285,125,144
1515230058,114,93
1515233877,170,181
1515237756,134,134
1515241632,250,171
1515249546,317,249
1515253356,329,317
1515261258,316,322
1515269022,443,321
1515272812,324,406
1515276675,364,357
1515284347,366,369
1515288167,334,311
1515292039,274,218
1515304346,369,445
1515308121,320,287
1515311888,276,249
1515331083,334,430
1515334961,307,335
1515338790,296,307
1515342603,282,296
1515350371,366,282
1515354127,337,344
1515357988,104,226
1515361850,94,150
1515365654,19,15
1515369444,15,7
1515381089,259,98
1515388746,271,226
1515392584,268,334
1515396409,250,275
1515400265,208,213
1515408192,336,298
1515423555,316,338
1515435510,334,313
1515439420,289,273
1515443246,265,254
1515447096,266,261
1515454935,336,368
1515463068,167,228
1515466954,68,72
1515471065,306,186
1515475127,311,308
1515479169,306,338
1515483055,343,342
1515486896,302,317
1515494602,235,300
1515498591,79,110
1515506345,356,248
1515522209,372,360
1515526216,127,173
1515530050,66,104
1515534106,31,42
1515541880,179,206
1515545731,38,36
1515549545,11,9
1515553261,10,7
1515557347,27,23
1515561203,311,163
1515565065,291,260
1515568925,367,362
1515572714,351,355
1515576562,198,201
1515581154,269,264
1515584966,84,272
1515589103,177,205
1515600665,283,190
1515604489,320,316
1515608334,337,327
1515624069,315,316
1515651559,250,315
1515663804,149,172
1515687332,332,201
1515695010,435,377
1515702625,331,428
1515706612,149,160
1515773659,358,317
1515804323,305,368
1515808064,18,28
1515823912,74,70
1515827843,137,105
1515831849,185,100
1515835572,177,155
1515839459,196,201
1515843463,170,164
1515847386,152,155
1515851359,200,195
1515855250,168,164
1515859204,172,178
1515863323,199,197
1515867326,48,51
1515871330,30,39
1515875167,15,17
1515879107,18,39
1515882805,11,22
1515886500,246,241
1515890486,263,221
1515894349,259,264
1515905946,436,436
1515909737,219,219
1515917687,106,123
1515921450,45,58
1515925449,20,29
1515929620,14,47
1515933414,8,15
1515937233,24,51
1515941107,12,24
1515944921,13,20
1515948781,18,53
1515952650,92,76
1515956459,105,42
1515961957,138,71
1515965744,93,98
