DateTime,AddedIPs,RemovedIPs
1513165194,3,8
1513172803,1,5
1513176612,1,3
1513180477,0,3
1513184640,4,4
1513188428,0,4
1513196401,2,1
1513200222,1,0
1513208191,1,1
1513212322,0,2
1513219984,0,1
1513243022,2,3
1513250698,1,0
1513254446,1,1
1513269981,1,0
1513277675,1,5
1513281629,7,6
1513289172,2,0
1513301246,0,1
1513305150,1,0
1513312737,1,0
1513316637,1,1
1513320477,1,4
1513324322,0,5
1513328091,0,11
1513331919,0,7
1513339611,0,1
1513343775,1,0
1513363253,5,3
1513370886,6,1
1513382823,3,2
1513386985,0,3
1513390763,0,1
1513406441,1,0
1513414289,3,0
1513418147,2,0
1513437537,2,0
1513445383,5,1
1513460638,6,10
1513468311,2,1
1513472129,1,1
1513480040,2,0
1513483961,0,1
1513499226,0,1
1513506928,3,2
1513510713,0,4
1513514594,1,2
1513518383,0,1
1513522506,2,1
1513526321,2,3
1513530014,2,9
1513534079,1,0
1513545637,6,1
1513569237,1,0
1513573068,1,0
1513580743,1,0
1513592527,3,1
1513604488,2,1
1513616033,2,0
1513627805,3,1
1513631634,1,0
1513678434,3,0
1513686376,1,1
1513697869,0,1
1513701729,2,0
1513705494,1,0
1513709352,1,0
1513713197,2,0
1513720943,1,1
1513724761,3,0
1513736287,1,1
1513747771,3,1
1513751630,0,1
1513755677,1,0
1513759756,0,2
1513767464,1,1
1513779209,0,1
1513783052,0,1
1513794804,3,1
1513798646,1,0
1513802473,4,0
1513821919,2,1
1513845495,5,0
1513849517,3,0
1513853612,0,1
1513869466,1,0
1513873286,0,2
1513885549,7,7
1513889611,2,1
1513901131,2,4
1513917228,1,0
1513924881,1,0
1513936386,0,1
1513944081,1,0
1513948232,2,0
1513952021,1,1
1513971219,4,2
1513978874,1,0
1513982745,1,2
1513986577,1,2
1513994251,1,2
1514001927,1,0
1514005757,2,0
1514021110,2,2
1514028822,1,1
1514036425,1,1
1514040296,1,1
1514044139,1,1
1514051837,4,0
1514059819,4,1
1514075131,3,1
1514090524,4,0
1514102041,4,0
1514109934,1,0
1514114026,0,1
1514117882,1,0
1514121684,0,3
1514125533,0,3
1514129389,2,0
1514133270,8,2
1514137056,2,2
1514145018,4,2
1514149064,0,4
1514156966,1,1
1514160815,1,2
1514164658,1,1
1514176200,1,0
1514183890,0,1
1514191587,0,1
1514203186,0,1
1514222798,2,6
1514226645,1,1
1514238427,5,0
1514249912,1,0
1514257577,3,1
1514273248,1,1
1514281125,0,1
1514285152,0,3
1514289033,0,2
1514296722,0,4
1514304355,1,1
1514308255,1,2
1514316146,3,1
1514340140,0,1
1514351698,1,0
1514359297,1,0
1514367154,1,0
1514387421,2,1
1514395073,3,0
1514398944,1,1
1514406661,3,3
1514410734,2,1
1514414561,1,2
1514422502,2,0
1514430350,1,0
1514442368,0,1
1514453902,2,2
1514457817,0,3
1514465444,2,1
1514473388,1,1
1514477183,1,0
1514481016,3,1
1514488723,4,4
1514492501,1,2
1514496375,1,0
1514500222,1,2
1514508125,2,2
1514515835,5,0
1514519687,1,1
1514535049,2,1
1514566449,8,8
1514574449,1,6
1514578255,1,2
1514582334,1,0
1514586122,0,2
1514598143,2,1
1514609728,0,2
1514613481,0,1
1514628888,1,3
1514640670,2,1
1514652172,2,2
1514656030,0,2
1514671630,5,3
1514687040,1,1
1514691073,1,0
1514702897,2,0
1514710760,1,3
1514718402,1,1
1514726569,0,1
1514738107,1,2
1514749577,2,0
1514753730,1,0
1514757425,0,1
1514769093,1,0
1514776760,0,1
1514780598,0,1
1514788530,1,1
1514815881,2,3
1514827553,3,0
1514839439,4,1
1514843899,1,0
1514851549,1,0
1514875007,3,1
1514890790,4,17
1514898389,0,6
1514906152,0,3
1514909934,1,1
1514914044,1,3
1514922150,2,2
1514933990,2,4
1514941576,1,20
1514949311,2,31
1514961052,2,9
1514972538,2,3
1514976368,1,4
1514980152,3,0
1514988245,2,4
1514991925,3,1
1514995806,1,0
1514999628,1,3
1515003455,0,2
1515007286,4,3
1515011408,2,0
1515015249,2,2
1515023308,0,5
1515032268,5,2
1515036052,2,0
1515039894,1,3
1515044163,0,2
1515047849,0,1
1515051912,2,0
1515059824,3,1
1515067903,3,4
1515071590,2,2
1515075424,1,1
1515079288,0,2
1515086974,2,3
1515091081,3,1
1515094928,3,2
1515102948,0,1
1515106716,0,5
1515110684,4,0
1515114763,2,0
1515118616,1,0
1515122458,0,2
1515126275,1,1
1515130178,1,4
1515133974,2,0
1515137819,1,1
1515145481,3,3
1515153206,2,3
1515157099,4,3
1515160876,2,0
1515168844,2,5
1515172874,2,1
1515184399,11,1
1515188246,4,4
1515192057,7,4
1515196028,3,3
1515203920,3,10
1515215647,4,5
1515223736,5,4
1515227437,1,0
1515231242,3,2
1515235102,1,5
1515239154,5,0
1515254764,3,11
1515270381,12,4
1515278105,1,5
1515289579,2,2
1515301174,4,4
1515305200,1,4
1515316689,5,3
1515320525,0,2
1515324407,0,2
1515332059,6,4
1515335958,2,0
1515339697,0,3
1515343622,2,0
1515351305,6,1
1515355089,3,2
1515358981,3,2
1515362765,0,6
1515366851,3,3
1515370906,3,1
1515374798,5,1
1515378572,3,2
1515382741,0,3
1515386566,1,6
1515410040,5,9
1515417692,7,2
1515421580,1,0
1515429534,5,3
1515433323,0,1
1515437440,1,3
1515441241,4,2
1515450478,1,2
1515454480,1,4
1515458460,3,0
1515462468,6,2
1515470421,4,3
1515474446,4,4
1515478417,0,2
1515482195,3,2
1515485973,1,4
1515489870,5,0
1515493666,1,3
1515497623,2,1
1515505239,2,5
1515513193,3,4
1515521137,5,1
1515525183,3,2
1515529052,3,1
1515536955,0,2
1515541052,1,5
1515545089,1,1
1515552825,6,2
1515556913,2,3
1515560771,2,1
1515564554,0,6
1515568382,3,2
1515572205,2,3
1515576062,9,2
1515579935,0,1
1515584043,3,3
1515595813,4,6
1515599654,1,1
1515603516,0,1
1515619099,7,7
1515622945,0,4
1515627023,1,1
1515634914,6,3
1515638727,2,1
1515650217,2,2
1515654166,1,5
1515662301,3,4
1515674063,4,4
1515697372,5,4
1515705016,6,4
1515709069,0,1
1515712875,1,2
1515720908,3,3
1515724714,3,1
1515728796,0,3
1515732985,7,2
1515748261,4,4
1515752079,1,3
1515759987,7,6
1515767684,4,4
1515771564,3,3
1515775363,6,2
1515779218,0,1
1515802885,7,11
1515807007,2,0
1515811110,0,3
1515818689,0,2
1515822853,1,1
1515830784,2,0
1515834637,2,0
1515838388,2,0
1515842238,1,2
1515846071,0,2
1515849896,7,0
1515853751,0,3
1515857608,1,0
1515861659,3,5
1515865509,1,1
1515869654,1,1
1515873652,2,3
1515877515,2,2
1515881329,1,1
1515885213,1,1
1515889022,1,2
1515896738,2,2
1515900597,0,1
1515904417,1,1
1515912322,1,0
1515916167,2,1
1515920054,0,1
1515923881,0,2
1515927693,2,2
1515931531,1,2
1515939191,2,2
1515943034,2,4
1515946846,2,0
1515950680,1,2
1515954548,0,1
1515958388,2,1
1515962112,2,2
1515966065,2,2
1515969888,3,0
1515973751,5,2
1515977534,2,1
1515985192,3,5
1515993137,1,2
1515997016,2,2
1516001044,2,0
1516004953,1,2
1516008762,2,3
1516020549,4,5
1516039904,6,6
1516145300,8,7
1516149182,1,2
1516160612,2,0
1516168293,2,0
1516180389,1,2
1516184146,2,0
1516187933,5,2
1516191862,1,1
1516207647,2,9
1516219670,7,5
1516227662,2,4
1516231507,4,2
1516235380,0,2
1516239198,1,1
1516247122,1,0
1516250981,2,0
1516258923,4,2
1516262716,0,5
1516266582,3,0
1516274297,6,4
1516285836,4,8
1516293602,5,5
1516297685,0,1
1516305542,7,6
1516313531,6,1
1516317572,2,5
1516321637,1,4
1516329867,9,4
1516333671,2,1
1516337732,3,7
1516341872,3,0
1516345932,3,4
1516353841,6,3
1516361477,6,6
1516369680,3,8
1516381193,8,5
1516385083,1,3
1516388826,4,2
1516392618,2,0
1516396790,0,8
1516404501,7,4
1516408229,7,0
1516419772,1,9
1516423674,0,1
1516431585,8,2
1516439571,3,6
1516443836,3,4
1516448013,9,1
1516452055,1,2
1516459960,0,13
1516463808,1,0
1516467630,4,0
1516471476,5,0
1516475350,0,2
1516498818,2,0
1516502665,2,2
1516506520,1,4
1516510378,2,3
1516514205,5,0
1516518066,1,2
1516521871,3,2
1516525870,0,5
1516529553,2,2
1516533391,3,4
1516537131,2,0
1516540823,2,2
1516544686,1,1
1516548504,1,4
1516552349,2,0
1516560020,3,0
1516563867,1,0
1516571572,4,0
1516575390,3,0
1516598443,4,1
1516617871,2,0
1516637308,1,0
1516649092,8,0
1516652906,1,0
1516660361,1,0
1516671627,1,0
1516714158,1,0
1516722032,3,2
1516725882,2,2
1516730752,1,28
1516734545,2,3
1516738640,5,3
1516742463,1,1
1516746298,2,3
1516750742,2,2
1516754432,1,3
1516758301,3,0
1516762153,5,4
1516765976,0,2
1516770090,0,2
1516773894,4,4
1516777721,3,0
1516781749,2,2
