DateTime,Entries,UniqueIPs
1513165194,66,66
1513172803,62,62
1513176612,60,60
1513180477,57,57
1513184640,57,57
1513188428,53,53
1513196401,54,54
1513200222,55,55
1513208191,55,55
1513212322,53,53
1513219984,52,52
1513243022,51,51
1513250698,52,52
1513254446,52,52
1513269981,53,53
1513277675,49,49
1513281629,50,50
1513289172,52,52
1513301246,51,51
1513305150,52,52
1513312737,53,53
1513316637,53,53
1513320477,50,50
1513324322,45,45
1513328091,34,34
1513331919,27,27
1513339611,26,26
1513343775,27,27
1513363253,29,29
1513370886,34,34
1513382823,35,35
1513386985,32,32
1513390763,31,31
1513406441,32,32
1513414289,35,35
1513418147,37,37
1513437537,39,39
1513445383,43,43
1513460638,39,39
1513468311,40,40
1513472129,40,40
1513480040,42,42
1513483961,41,41
1513499226,40,40
1513506928,41,41
1513510713,37,37
1513514594,36,36
1513518383,35,35
1513522506,36,36
1513526321,35,35
1513530014,28,28
1513534079,29,29
1513545637,34,34
1513569237,35,35
1513573068,36,36
1513580743,37,37
1513592527,39,39
1513604488,40,40
1513616033,42,42
1513627805,44,44
1513631634,45,45
1513678434,48,48
1513686376,48,48
1513697869,47,47
1513701729,49,49
1513705494,50,50
1513709352,51,51
1513713197,53,53
1513720943,53,53
1513724761,56,56
1513736287,56,56
1513747771,58,58
1513751630,57,57
1513755677,58,58
1513759756,56,56
1513767464,56,56
1513779209,55,55
1513783052,54,54
1513794804,56,56
1513798646,57,57
1513802473,61,61
1513821919,62,62
1513845495,67,67
1513849517,70,70
1513853612,69,69
1513869466,70,70
1513873286,68,68
1513885549,68,68
1513889611,69,69
1513901131,67,67
1513917228,68,68
1513924881,69,69
1513936386,68,68
1513944081,69,69
1513948232,71,71
1513952021,71,71
1513971219,73,73
1513978874,74,74
1513982745,73,73
1513986577,72,72
1513994251,71,71
1514001927,72,72
1514005757,74,74
1514021110,74,74
1514028822,74,74
1514036425,74,74
1514040296,74,74
1514044139,74,74
1514051837,78,78
1514059819,81,81
1514075131,83,83
1514090524,87,87
1514102041,91,91
1514109934,92,92
1514114026,91,91
1514117882,92,92
1514121684,89,89
1514125533,86,86
1514129389,88,88
1514133270,94,94
1514137056,94,94
1514145018,96,96
1514149064,92,92
1514156966,92,92
1514160815,91,91
1514164658,91,91
1514176200,92,92
1514183890,91,91
1514191587,90,90
1514203186,89,89
1514222798,85,85
1514226645,85,85
1514238427,90,90
1514249912,91,91
1514257577,93,93
1514273248,93,93
1514281125,92,92
1514285152,89,89
1514289033,87,87
1514296722,83,83
1514304355,83,83
1514308255,82,82
1514316146,84,84
1514340140,83,83
1514351698,84,84
1514359297,85,85
1514367154,86,86
1514387421,87,87
1514395073,90,90
1514398944,90,90
1514406661,90,90
1514410734,91,91
1514414561,90,90
1514422502,92,92
1514430350,93,93
1514442368,92,92
1514453902,92,92
1514457817,89,89
1514465444,90,90
1514473388,90,90
1514477183,91,91
1514481016,93,93
1514488723,93,93
1514492501,92,92
