DateTime,AddedIPs,RemovedIPs
1473617539,18,0
1473705375,181,0
1473793255,45,0
1473881307,19,0
1473969142,43,0
1474042347,28,0
1474130427,38,0
1474218260,24,0
1474306107,33,0
1474393957,22,1
1474481777,17,0
1474569619,23,5
1474657463,22,0
1474745536,18,0
1474833380,31,0
1474907058,33,0
1474994894,17,3
1475082762,27,6
1475170583,25,0
1475258479,28,3
1475346257,39,0
1475434106,21,3
1475521954,22,0
1475609780,25,3
1475697663,29,0
1475770811,32,1
1475858650,19,3
1475946498,21,0
1476034349,28,0
1476122185,27,0
1476210255,26,1
1476298103,27,1
1476385937,35,1
1476473784,19,0
1476561660,11,0
1476635070,26,0
1476722907,16,0
1476810742,18,1
1476898922,28,0
1476986659,25,0
1477074498,23,1
1477162342,32,0
1477250410,48,0
1477338254,36,0
1477411706,28,0
1477499544,32,0
1477587379,35,0
1477675449,32,0
1477763301,43,0
1477851383,18,0
1477939217,24,1
1478027049,35,0
1478115139,27,0
1478202995,27,11
1478276440,31,0
1478364247,34,0
1478452361,42,0
1478540196,23,0
1478628256,33,3
1478716111,37,0
1478803977,35,0
1478891781,37,0
1478979629,27,3
1479067477,27,3
1479140666,37,2
1479228499,51,0
1479316348,18,0
1479404199,25,3
1479492072,34,0
1479579856,46,0
1479667701,44,0
1479755803,22,0
1479843613,246,3
1479931466,23,0
1480004911,35,0
1480092749,21,1
1480180837,18,0
1480268657,23,0
1480356500,18,3
1480444577,37,9
1480532502,24,1
1480620256,28,0
1480708358,45,6
1480796183,57,0
1480869394,20,0
1480957290,29,0
1481047156,33,2
1481137396,34,3
1481225537,25,0
1481313371,31,0
1481387047,33,0
1481474900,28,0
1481563466,29,6
1481651299,38,0
1481739153,14,0
1481826978,29,0
1481914873,55,0
1482002663,43,3
1482090507,33,0
1482178359,27,0
1482251556,31,0
1482339378,36,0
1482427710,39,1
1482523293,41,3
1482596673,20,0
1482684500,42,0
1482772607,29,0
1482860438,25,0
1482948522,30,6
1483036345,36,0
1483124513,73,0
1483212267,23,0
1483300101,20,0
1483387942,34,0
1483461133,28,0
1483549282,31,0
1483637068,32,0
1483724903,28,0
1483813230,34,3
1483901778,26,3
1483990110,29,0
1484077940,34,0
1484166270,31,0
1484239451,26,0
1484327782,20,0
1484416345,22,1
1484504181,14,0
1484592025,53,0
1484680133,35,3
1484768184,34,0
1484856087,18,1
1484929453,22,0
1485017298,27,0
1485105699,27,3
1485193451,32,0
1485281775,33,0
1485370112,41,0
1485458192,16,0
1485546040,24,2
1485634116,30,3
1485707787,38,0
1485795697,59,0
1485883896,25,0
1485971774,25,3
1486060098,39,0
1486148185,35,0
1486236504,16,0
1486324352,15,0
1486412666,28,0
1486485850,31,0
1486573701,23,0
1486661776,36,0
1486750125,34,0
1486837944,36,0
1486925782,26,0
1487013673,48,0
1487101447,37,0
1487189567,22,3
1487263210,20,3
1487351066,26,0
1487438911,43,3
1487526745,63,0
1487614825,30,0
1487702651,65,0
1487790508,43,0
1487878344,45,0
1487966192,31,0
1488054265,26,0
1488127446,20,3
1488215291,19,0
1488303150,29,0
1488390981,34,0
1488479047,30,0
1488566923,31,0
1488654743,40,0
1488742584,27,0
1488830914,22,0
1488918755,410,9
1488991963,33,3
1489080260,24,0
1489168344,39,0
1489256428,30,0
1489344501,36,0
1489432362,25,0
1489520418,31,0
1489608272,28,0
1489696360,29,3
1489769587,38,1
1489857629,40,0
1489945476,31,0
1490033537,32,0
1490121849,29,4
1490209716,28,0
1490297537,30,3
1490385394,31,0
1490473454,32,3
1490546906,27,0
1490634762,21,0
1490722809,21,0
1490810920,41,0
1490898745,33,0
1490986593,23,4
1491074657,24,0
1491162502,25,0
1491250592,27,0
1491323778,21,1
1491414034,32,0
1491501876,32,0
1491589691,43,0
1491677563,28,0
1491765409,21,3
1491853213,29,0
1491941334,21,0
1492029155,20,3
1492102345,25,0
1492190191,22,0
1492278035,21,0
1492365870,27,0
1492453712,35,0
1492541530,42,6
1492629400,28,0
1492717458,18,6
1492805773,33,0
1492893858,27,1
1492967062,25,0
1493054910,31,6
1493142644,14,0
1493230628,32,0
1493318652,109,3
1493407002,18,0
1493495049,13,0
1493583150,25,0
1493670993,31,0
1493744164,23,0
1493832248,17,0
1493920097,21,0
1494007933,20,3
1494095772,21,0
1494183872,21,0
1494271702,26,1
1494359553,22,0
1494447638,21,0
1494528251,28,0
1494616341,37,1
1494705379,25,0
1494786049,29,0
1494873852,28,0
1494961690,19,0
1495049568,30,4
1495137700,41,3
1495225477,153,0
1495313798,33,0
1495386980,19,0
1495474817,29,0
1495562920,25,0
1495650830,24,0
1495731711,23,0
1495819718,15,0
1495907540,20,0
1495995402,22,0
1496083216,32,0
1496171307,16,0
1496259275,19,0
1496350370,28,0
1496424508,22,0
1496513792,17,0
1496601618,19,0
1496689466,30,0
1496777294,211,5
1496865152,35,0
1496953234,38,0
1497041049,28,0
1497114275,33,0
1497202108,25,0
1497289931,20,0
1497377778,31,0
1497466369,33,0
1497554182,25,0
1497642044,40,0
1497730114,28,0
1497818189,49,0
1497891712,45,0
1497979732,30,2
1498067830,43,0
1498155624,37,0
1498243729,26,3
1498331570,11,0
1498419614,17,0
1498507905,20,0
1498595811,26,0
1498683718,18,0
1498757062,63,1
1498845130,25,0
1498933221,18,0
1499021067,31,1
1499108897,16,0
1499196767,31,0
1499284874,27,0
1499372913,32,0
1499460761,29,0
1499534179,20,0
1499622021,25,0
1499709868,25,0
1499801097,1008,1
1499890857,17,0
1499978679,15,0
1500052117,25,0
1500139965,18,1
1500227792,14,0
1500316332,22,0
1500404463,23,4
1500492761,21,3
1500580579,22,4
1500669165,32,3
1500756983,19,3
1500830418,20,1
1500918498,24,0
1501006610,28,1
1501094655,34,0
1501183726,23,0
1501271532,25,0
1501359855,33,0
1501447719,33,0
1501521151,29,0
1501609227,33,0
1501697562,22,0
1501785355,41,3
1501873710,32,0
1501962045,41,0
1502050611,41,0
1502138425,56,0
1502226743,38,0
1502299946,43,0
1502388156,49,0
1502476609,27,0
1502564919,34,0
1502652999,31,0
1502741575,33,0
1502829647,30,0
1502917710,32,0
1502991165,390,1
1503079002,16,0
1503167323,35,0
1503255666,20,0
1503343713,29,0
1503431771,32,1
1503519610,33,0
1503607948,46,4
1503696011,45,0
1503769459,43,0
1503857792,27,3
1503945629,34,3
1504033474,39,0
1504121549,49,0
1504209636,28,0
1504297458,23,0
1504385530,21,0
1504473626,27,0
1504547306,39,0
1504635855,35,3
1504724443,40,0
1504813223,98,6
1504901546,70,0
1504989623,55,0
1505077456,53,2
1505150905,44,0
1505239758,40,0
1505327547,39,0
1505415855,38,6
1505504186,36,0
1505593473,35,0
1505681532,40,1
1505769853,67,0
1505843051,50,0
1505931150,94,3
1506019710,178,0
1506108019,28,0
1506195866,42,6
1506283937,27,0
1506372017,28,0
1506459863,26,0
1506547937,16,0
1506621148,31,3
1506709705,27,0
1506798261,37,0
1506886340,23,0
1506975652,32,4
1507063717,32,6
1507152499,108,13778
1507225698,13816,69
1507314030,30,3
1507401858,33,0
1507490171,26,0
1507578494,433,4
1507666575,21,0
1507754656,36,1
1507843229,34,0
1507916900,33,0
1508005231,33,0
1508093301,35,0
1508181141,32,0
1508268994,39,0
1508357057,41,2
1508445622,38,0
1508533474,28,0
1508621790,46,0
1508695234,34,3
1508783552,40,0
1508871390,64,4
1508959471,26,3
1509048035,28,0
1509136824,36,3
1509225139,28,0
1509313234,19,0
1509386912,67,1
1509474974,31,2
1509562830,30,0
1509650895,47,0
1509738986,33,0
1509827053,38,0
1509915151,32,0
1510002976,28,0
1510090808,44,0
1510164501,64,0
1510252597,55,3
1510341850,36,0
1510429945,42,0
1510517783,55,0
1510606353,17,0
1510696113,27,0
1510769802,41,0
1510857850,29,1
1510946658,20,4
1511035950,31,0
1511124284,32,0
1511212123,30,2
1511299937,44,0
1511373153,46,0
1511461235,40,0
1511556985,31,0
1511644823,33,0
1511732912,25,0
1511806374,73,0
1511894166,27,0
1511982016,40,4
1512069854,25,1
1512158198,36,1
1512246028,1049,1
1512334577,128,0
1512422900,282,1
1512497327,90,1
1512585414,287,5
1512676349,148,7102
1512764433,7307,50
1512852988,737,16
1512941317,227,1
1513015250,2260,6
1513103561,85,3
1513191645,33,3
1513279955,69,2
1513367820,45,0
1513455851,80,0
1513543946,33,0
1513632027,172,2
1513721344,123,0
1513795207,1159,4
1513884275,115,0
1513972597,82,0
1514060906,159,3
1514149948,132,3
1514238280,111,6
1514311722,104,0
1514399804,53,3
1514488187,86,0
1514576195,121,2
1514664509,133,0
1514753054,136,6
1514841138,71,0
1514929457,455,4
1515003389,129,1
1515092625,67,2
1515181469,49,6
1515270270,42,2
1515359311,38,6
1515447856,39,1
1515522036,37,3
1515610838,46,24
1515699156,37,1
1515787467,37,1
1515876023,31,1
1515964603,30,2
1516052417,68,4
1516140747,36,2
1516214433,48,1
1516303476,26,0
1516391785,65,3
1516480115,45,0
1516567936,37,0
1516657002,49,5
1516745795,32,0
