DateTime,Entries,UniqueIPs
1514709181,127,128
1514712781,130,131
1514716381,131,132
1514723581,134,135
1514727181,140,141
1514730781,139,140
1514734381,138,139
1514737981,137,138
1514745181,140,141
1514748782,141,142
1514755981,137,138
1514759582,138,139
1514763182,137,138
1514766781,136,137
1514770381,139,140
1514777581,134,135
1514781181,136,137
1514788381,130,131
1514791981,133,134
1514795581,135,136
1514799181,135,135
1514802782,133,133
1514809982,127,128
1514813581,133,134
1514820781,130,131
1514824381,133,134
1514827981,128,129
1514831581,131,132
1514835182,128,129
1514842381,126,127
1514845981,127,128
1514853182,128,129
1514856781,129,130
1514860381,127,128
1514863981,131,132
1514867581,128,129
1514871181,127,128
1514874781,128,129
1514878381,131,132
1514881981,127,127
1514885581,126,126
1514889181,131,131
1514892781,128,128
1514896381,128,128
1514899981,134,135
1514907181,142,143
1514910782,142,143
1514917981,139,140
1514921581,142,143
1514925181,141,142
1514932381,143,144
1514935981,149,150
1514939581,142,143
1514943181,143,144
1514946781,146,147
1514950381,141,142
1514953981,142,143
1514957581,142,143
1514964781,139,140
1514968381,140,141
1514971981,142,143
1514979182,143,144
1514982781,140,141
1514986382,138,139
1514989981,141,142
1514993582,142,143
1514997181,138,139
1515000781,143,144
1515004381,144,145
1515007981,143,144
1515011581,141,142
1515015181,141,142
1515018781,142,143
1515022830,143,144
1515025981,139,140
1515029581,143,144
1515036781,141,142
1515040381,142,143
1515044429,146,147
1515047582,142,143
1515051181,142,143
1515058381,141,142
1515061981,147,148
1515065582,140,141
1515069182,141,142
1515072781,142,143
1515076381,136,137
1515079981,140,141
1515083581,148,149
1515087181,144,145
1515094381,142,143
1515097982,142,143
1515101581,143,144
1515105181,140,141
1515109229,144,145
1515112381,139,140
1515115981,140,141
1515119581,141,142
1515123181,139,140
1515126782,134,135
1515130382,139,140
1515137582,141,142
1515141181,142,143
1515144781,136,136
1515151981,137,137
1515155581,133,133
1515159181,132,132
1515162781,127,127
1515166381,133,133
1515169982,132,132
1515177181,133,133
1515180781,137,137
1515184382,138,138
1515191581,139,139
1515195181,141,141
1515202381,136,136
1515205981,137,137
1515213181,134,134
1515216781,135,135
1515220381,137,137
1515223982,128,128
1515227582,129,129
1515231181,134,134
1515238381,128,128
1515241981,129,129
1515249181,133,133
1515252781,131,131
1515259981,132,132
1515263581,129,129
1515267181,130,130
1515270781,128,128
1515277981,124,124
1515281581,127,127
1515285181,128,128
1515288781,130,130
1515292381,126,126
1515295981,125,125
1515299581,126,126
1515303181,125,125
1515306781,128,128
1515313981,128,128
1515317581,129,129
1515321181,128,128
1515324781,120,120
1515328381,124,124
1515335581,120,120
1515339181,122,122
1515346381,122,122
1515349981,121,121
1515353581,124,124
1515360781,126,126
1515364381,129,129
1515367981,126,126
1515371581,125,125
1515378781,129,129
1515382382,129,129
1515385981,123,123
1515389581,121,121
1515393181,123,123
1515400381,122,122
1515403981,126,126
1515407581,123,123
1515414781,126,126
1515418381,129,129
1515421982,128,128
1515425581,130,130
1515429181,129,129
1515432781,126,126
1515436381,129,129
1515439981,129,129
1515443581,125,125
1515447182,128,128
1515450781,126,126
1515454381,128,128
1515461581,131,131
1515465181,130,130
1515468781,134,134
1515472381,131,131
