DateTime,AddedIPs,RemovedIPs
1513564381,3,0
1513585981,1,1
1513593182,1,0
1513596781,3,6
1513603981,1,0
1513607581,1,0
1513611181,0,2
1513618381,1,0
1513621981,0,1
1513625581,1,0
1513629182,1,0
1513639982,1,0
1513643582,0,2
1513647181,1,0
1513650781,1,0
1513654381,0,1
1513657981,1,0
1513668781,1,0
1513675982,0,1
1513679581,1,1
1513683181,3,0
1513686781,0,1
1513690381,3,0
1513693982,0,1
1513697581,0,1
1513704782,1,2
1513711981,2,0
1513715581,1,0
1513719181,0,3
1513722781,1,0
1513726381,0,1
1513733582,1,0
1513744381,1,0
1513747981,0,1
1513755182,2,0
1513762381,0,2
1513765982,1,1
1513773181,0,1
1513776781,1,0
1513783981,2,0
1513787581,1,0
1513798381,2,1
1513809181,1,0
1513816381,0,2
1513819982,1,0
1513823581,1,0
1513830781,0,1
1513837982,0,1
1513848781,0,2
1513852381,1,0
1513855981,0,1
1513859581,0,1
1513863181,1,0
1513866781,1,0
1513881181,0,2
1513888381,1,0
1513891982,1,1
1513895581,0,1
1513899181,1,0
1513909981,2,1
1513913581,1,1
1513920781,1,0
1513924381,0,3
1513927981,0,2
1513931581,1,0
1513935181,1,0
1513942381,0,1
1513945981,1,0
1513949581,0,1
1513953181,1,0
1513963981,1,0
1513967581,0,1
1513971181,0,1
1513978381,1,0
1513985581,2,1
1513989181,0,2
1513996381,0,1
1514007181,2,3
1514010781,2,0
1514021581,1,0
1514035981,1,0
1514039581,0,2
1514043181,2,1
1514050381,3,1
1514053982,1,0
1514057581,0,1
1514068381,0,2
1514075581,1,1
1514086381,1,0
1514089981,0,2
1514093581,2,0
1514097181,1,0
1514104382,2,0
1514107981,1,0
1514118781,0,2
1514125981,2,1
1514133181,0,3
1514140381,1,1
1514143981,0,1
1514147581,3,0
1514154781,0,1
1514161981,2,0
1514165581,0,1
1514172781,3,0
1514176381,0,3
1514183582,1,0
1514187181,0,1
1514194382,2,2
1514201581,2,0
1514205181,0,2
1514212381,1,0
1514223181,1,0
1514226781,2,2
1514237581,1,1
1514244781,2,0
1514251982,0,1
1514255581,2,1
1514259182,1,0
1514266381,3,2
1514269982,2,1
1514277181,1,0
1514284381,0,1
1514287981,1,0
1514291581,2,0
1514295181,0,3
1514298781,3,0
1514302382,1,0
1514309581,1,1
1514313182,1,0
1514316782,0,3
1514323982,2,0
1514327582,0,1
1514338381,0,2
1514341981,1,0
1514363582,0,1
1514367181,0,1
1514377981,1,2
1514381581,1,0
1514388781,2,0
1514399581,3,4
1514403181,1,1
1514410381,0,1
1514421181,1,0
1514424782,0,1
1514435581,1,0
1514446381,2,0
1514449981,0,1
1514457181,1,2
1514467981,0,2
1514475181,1,1
1514482381,0,1
1514493182,0,1
1514503982,1,2
1514511181,0,2
1514514781,1,1
